笲M@9_aquiredId,AchievementGroupId,Type,GroupType,Name,Desc,TaskType,ItemAbilityId,CompleteNotifyType,TaskCount,AchievementIcon,EffectType,EffectParam,EffectType2,EffectParam2
10201,,102,8,5,학살 특성 무기 레벨 (1단계),학살 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,1,0,15,Icon_ItemAchievement_Weapon,29,149,253,
10202,10201,102,8,5,학살 특성 무기 레벨 (2단계),학살 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,1,0,30,Icon_ItemAchievement_Weapon,29,299,253,
10203,10202,102,8,5,학살 특성 무기 레벨 (3단계),학살 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,1,0,15,Icon_ItemAchievement_Weapon,29,506,253,
10204,10203,102,8,5,학살 특성 무기 레벨 (4단계),학살 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,1,0,30,Icon_ItemAchievement_Weapon,29,748,253,
10205,10204,102,8,5,학살 특성 무기 레벨 (5단계),학살 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,1,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
10301,,103,8,5,학살 특성 무기 강화 (1단계),학살 특성을 가진 +10강 무기를 수집하세요.,56,1,0,10,Icon_ItemAchievement_01,10,95,29,67
10302,10301,103,8,5,학살 특성 무기 강화 (2단계),학살 특성을 가진 +15강 무기를 수집하세요.,56,1,0,15,Icon_ItemAchievement_01,10,190,29,134
10303,10302,103,8,5,학살 특성 무기 강화 (3단계),학살 특성을 가진 +20강 무기를 수집하세요.,56,1,0,20,Icon_ItemAchievement_01,10,322,29,227
10304,10303,103,8,5,학살 특성 무기 강화 (4단계),학살 특성을 가진 +25강 무기를 수집하세요.,56,1,0,25,Icon_ItemAchievement_01,10,476,29,336
10305,10304,103,8,5,학살 특성 무기 강화 (5단계),학살 특성을 가진 +30강 무기를 수집하세요.,56,1,0,30,Icon_ItemAchievement_01,10,733,29,518
10401,,104,8,5,학살 특성 레벨 (1단계),2레벨 학살 특성을 가진 무기를 수집하세요.,48,1,0,2,Icon_ItemAchievement_Ability_01,58,99,29,24
10402,10401,104,8,5,학살 특성 레벨 (2단계),4레벨 학살 특성을 가진 무기를 수집하세요.,48,1,0,4,Icon_ItemAchievement_Ability_01,58,199,29,48
10403,10402,104,8,5,학살 특성 레벨 (3단계),6레벨 학살 특성을 가진 무기를 수집하세요.,48,1,0,6,Icon_ItemAchievement_Ability_01,58,337,29,82
10404,10403,104,8,5,학살 특성 레벨 (4단계),8레벨 학살 특성을 가진 무기를 수집하세요.,48,1,0,8,Icon_ItemAchievement_Ability_01,58,498,29,122
10405,10404,104,8,5,학살 특성 레벨 (5단계),10레벨 학살 특성을 가진 무기를 수집하세요.,48,1,0,10,Icon_ItemAchievement_Ability_01,58,767,29,188
10501,,105,8,5,학살 특성 무기 초월 (1단계),학살 특성을 가진 32레벨 초월 무기를 수집하세요.,47,1,0,32,Icon_ItemAchievement_01,101,85,29,30
10502,10501,105,8,5,학살 특성 무기 초월 (2단계),학살 특성을 가진 34레벨 초월 무기를 수집하세요.,47,1,0,34,Icon_ItemAchievement_01,101,171,29,61
10503,10502,105,8,5,학살 특성 무기 초월 (3단계),학살 특성을 가진 36레벨 초월 무기를 수집하세요.,47,1,0,36,Icon_ItemAchievement_01,101,290,29,103
10504,10503,105,8,5,학살 특성 무기 초월 (4단계),학살 특성을 가진 38레벨 초월 무기를 수집하세요.,47,1,0,38,Icon_ItemAchievement_01,101,429,29,152
