Id,GroupId,Name,ItemList,Grade,Set2OptionInfoId,Set3OptionInfoId,Set4OptionInfoId,Set5OptionInfoId
101,100,푸른 늑대의 송곳니,"210010,220010,230010,240010",1,2100102,2100103,2100104,
102,100,푸른 늑대의 송곳니,"210011,220011,230011,240011",2,2100112,2100113,2100114,
103,100,푸른 늑대의 송곳니,"210012,220012,230012,240012",3,2100122,2100123,2100124,
104,100,푸른 늑대의 송곳니,"210013,220013,230013,240013",4,2100132,2100133,2100134,
105,100,푸른 늑대의 송곳니,"210014,220014,230014,240014",5,2100142,2100143,2100144,
106,100,푸른 늑대의 송곳니,"210015,220015,230015,240015",6,2100152,2100153,2100154,
107,100,푸른 늑대의 송곳니,"210016,220016,230016,240016",7,2100162,2100163,2100164,
201,200,추적자의 발걸음,"210020,220020,230020,240020",1,2100202,2100203,2100204,
202,200,추적자의 발걸음,"210021,220021,230021,240021",2,2100212,2100213,2100214,
203,200,추적자의 발걸음,"210022,220022,230022,240022",3,2100222,2100223,2100224,
204,200,추적자의 발걸음,"210023,220023,230023,240023",4,2100232,2100233,2100234,
205,200,추적자의 발걸음,"210024,220024,230024,240024",5,2100242,2100243,2100244,
206,200,추적자의 발걸음,"210025,220025,230025,240025",6,2100252,2100253,2100254,
207,200,추적자의 발걸음,"210026,220026,230026,240026",7,2100262,2100263,2100264,
301,300,통치자의 위엄,"210030,220030,230030,240030",1,2100302,2100303,2100304,
302,300,통치자의 위엄,"210031,220031,230031,240031",2,2100312,2100313,2100314,
303,300,통치자의 위엄,"210032,220032,230032,240032",3,2100322,2100323,2100324,
304,300,통치자의 위엄,"210033,220033,230033,240033",4,2100332,2100333,2100334,
305,300,통치자의 위엄,"210034,220034,230034,240034",5,2100342,2100343,2100344,
306,300,통치자의 위엄,"210035,220035,230035,240035",6,2100352,2100353,2100354,
307,300,통치자의 위엄,"210036,220036,230036,240036",7,2100362,2100363,2100364,
401,400,악몽의 손길,"210040,220040,230040,240040",1,2100402,2100403,2100404,
402,400,악몽의 손길,"210041,220041,230041,240041",2,2100412,2100413,2100414,
403,400,악몽의 손길,"210042,220042,230042,240042",3,2100422,2100423,2100424,
404,400,악몽의 손길,"210043,220043,230043,240043",4,2100432,2100433,2100434,
405,400,악몽의 손길,"210044,220044,230044,240044",5,2100442,2100443,2100444,
406,400,악몽의 손길,"210045,220045,230045,240045",6,2100452,2100453,2100454,
407,400,악몽의 손길,"210046,220046,230046,240046",7,2100462,2100463,2100464,
501,500,멸망의 기운,"210050,220050,230050,240050",1,2100502,2100503,2100504,
502,500,멸망의 기운,"210051,220051,230051,240051",2,2100512,2100513,2100514,
503,500,멸망의 기운,"210052,220052,230052,240052",3,2100522,2100523,2100524,
504,500,멸망의 기운,"210053,220053,230053,240053",4,2100532,2100533,2100534,
505,500,멸망의 기운,"210054,220054,230054,240054",5,2100542,2100543,2100544,
506,500,멸망의 기운,"210055,220055,230055,240055",6,2100552,2100553,2100554,
507,500,멸망의 기운,"210056,220056,230056,240056",7,2100562,2100563,2100564,
601,600,위풍당당한 목소리,"210060,220060,230060,240060",1,2100602,2100603,2100604,
602,600,위풍당당한 목소리,"210061,220061,230061,240061",2,2100612,2100613,2100614,
603,600,위풍당당한 목소리,"210062,220062,230062,240062",3,2100622,2100623,2100624,
604,600,위풍당당한 목소리,"210063,220063,230063,240063",4,2100632,2100633,2100634,
605,600,위풍당당한 목소리,"210064,220064,230064,240064",5,2100642,2100643,2100644,
606,600,위풍당당한 목소리,"210065,220065,230065,240065",6,2100652,2100653,2100654,
607,600,위풍당당한 목소리,"210066,220066,230066,240066",7,2100662,2100663,2100664,
704,700,주인의 기품,"210073,220073,230073,240073",4,2100732,2100733,2100734,
705,700,주인의 기품,"210074,220074,230074,240074",5,2100742,2100743,2100744,
706,700,주인의 기품,"210075,220075,230075,240075",6,2100752,2100753,2100754,
707,700,주인의 기품,"210076,220076,230076,240076",7,2100762,2100763,2100764,
804,800,군단의 환호,"210083,220083,230083,240083",4,2100832,2100833,2100834,
805,800,군단의 환호,"210084,220084,230084,240084",5,2100842,2100843,2100844,
806,800,군단의 환호,"210085,220085,230085,240085",6,2100852,2100853,2100854,
807,800,군단의 환호,"210086,220086,230086,240086",7,2100862,2100863,2100864,
904,900,귀족의 기품,"210093,220093,230093,240093",4,2100932,2100933,2100934,
905,900,귀족의 기품,"210094,220094,230094,240094",5,2100942,2100943,2100944,
906,900,귀족의 기품,"210095,220095,230095,240095",6,2100952,2100953,2100954,
907,900,귀족의 기품,"210096,220096,230096,240096",7,2100962,2100963,2100964,
1001,1000,엘프의 날카로움,"310001,320001,330001",1,3100010,3100011,3100012,3100013
1002,1000,엘프의 날카로움,"310002,320002,330002",2,3100020,3100021,3100022,3100023
1003,1000,엘프의 날카로움,"310003,320003,330003",3,3100030,3100031,3100032,3100033
1004,1000,엘프의 날카로움,"310004,320004,330004",4,3100040,3100041,3100042,3100043
1005,1000,엘프의 날카로움,"310005,320005,330005",5,3100050,3100051,3100052,3100053
1006,1000,엘프의 날카로움,"310006,320006,330006",6,3100060,3100061,3100062,3100063
1007,1000,엘프의 날카로움,"310007,320007,330007",7,3100070,3100071,3100072,3100073
1101,1100,월석의 단단함,"310011,320011,330011",1,3100110,3100111,3100112,3100113
1102,1100,월석의 단단함,"310012,320012,330012",2,3100120,3100121,3100122,3100123
1103,1100,월석의 단단함,"310013,320013,330013",3,3100130,3100131,3100132,3100133
1104,1100,월석의 단단함,"310014,320014,330014",4,3100140,3100141,3100142,3100143
1105,1100,월석의 단단함,"310015,320015,330015",5,3100150,3100151,3100152,3100153
1106,1100,월석의 단단함,"310016,320016,330016",6,3100160,3100161,3100162,3100163
1107,1100,월석의 단단함,"310017,320017,330017",7,3100170,3100171,3100172,3100173
1201,1200,흑광의 기운,"310021,320021,330021",1,3100210,3100211,3100212,3100213
1202,1200,흑광의 기운,"310022,320022,330022",2,3100220,3100221,3100222,3100223
1203,1200,흑광의 기운,"310023,320023,330023",3,3100230,3100231,3100232,3100233
1204,1200,흑광의 기운,"310024,320024,330024",4,3100240,3100241,3100242,3100243
1205,1200,흑광의 기운,"310025,320025,330025",5,3100250,3100251,3100252,3100253
1206,1200,흑광의 기운,"310026,320026,330026",6,3100260,3100261,3100262,3100263
1207,1200,흑광의 기운,"310027,320027,330027",7,3100270,3100271,3100272,3100273
1301,1300,불사조의 숨결,"310031,320031,330031",1,3100310,3100311,3100312,3100313
1302,1300,불사조의 숨결,"310032,320032,330032",2,3100320,3100321,3100322,3100323
1303,1300,불사조의 숨결,"310033,320033,330033",3,3100330,3100331,3100332,3100333
1304,1300,불사조의 숨결,"310034,320034,330034",4,3100340,3100341,3100342,3100343
1305,1300,불사조의 숨결,"310035,320035,330035",5,3100350,3100351,3100352,3100353
1306,1300,불사조의 숨결,"310036,320036,330036",6,3100360,3100361,3100362,3100363
1307,1300,불사조의 숨결,"310037,320037,330037",7,3100370,3100371,3100372,3100373
1401,1400,나센의 피,"310041,320041,330041",1,3100410,3100411,3100412,3100413
1402,1400,나센의 피,"310042,320042,330042",2,3100420,3100421,3100422,3100423
1403,1400,나센의 피,"310043,320043,330043",3,3100430,3100431,3100432,3100433
1404,1400,나센의 피,"310044,320044,330044",4,3100440,3100441,3100442,3100443
1405,1400,나센의 피,"310045,320045,330045",5,3100450,3100451,3100452,3100453
1406,1400,나센의 피,"310046,320046,330046",6,3100460,3100461,3100462,3100463
1407,1400,나센의 피,"310047,320047,330047",7,3100470,3100471,3100472,3100473
1501,1500,나무의 그림자,"310051,320051,330051",1,3100510,3100511,3100512,3100513
1502,1500,나무의 그림자,"310052,320052,330052",2,3100520,3100521,3100522,3100523
1503,1500,나무의 그림자,"310053,320053,330053",3,3100530,3100531,3100532,3100533
1504,1500,나무의 그림자,"310054,320054,330054",4,3100540,3100541,3100542,3100543
1505,1500,나무의 그림자,"310055,320055,330055",5,3100550,3100551,3100552,3100553
1506,1500,나무의 그림자,"310056,320056,330056",6,3100560,3100561,3100562,3100563
1507,1500,나무의 그림자,"310057,320057,330057",7,3100570,3100571,3100572,3100573
1601,1600,은빛의 광채,"210100,220100,230100,240100",1,2101002,2101003,2101004,
1602,1600,은빛의 광채,"210101,220101,230101,240101",2,2101012,2101013,2101014,
1603,1600,은빛의 광채,"210102,220102,230102,240102",3,2101022,2101023,2101024,
1604,1600,은빛의 광채,"210103,220103,230103,240103",4,2101032,2101033,2101034,
1605,1600,은빛의 광채,"210104,220104,230104,240104",5,2101042,2101043,2101044,
1606,1600,은빛의 광채,"210105,220105,230105,240105",6,2101052,2101053,2101054,
1607,1600,은빛의 광채,"210106,220106,230106,240106",7,2101062,2101063,2101064,
1701,1700,어둠의 결속,"210110,220110,230110,240110",1,2101102,2101103,2101104,
1702,1700,어둠의 결속,"210111,220111,230111,240111",2,2101112,2101113,2101114,
1703,1700,어둠의 결속,"210112,220112,230112,240112",3,2101122,2101123,2101124,
1704,1700,어둠의 결속,"210113,220113,230113,240113",4,2101132,2101133,2101134,
1705,1700,어둠의 결속,"210114,220114,230114,240114",5,2101142,2101143,2101144,
1706,1700,어둠의 결속,"210115,220115,230115,240115",6,2101152,2101153,2101154,
1707,1700,어둠의 결속,"210116,220116,230116,240116",7,2101162,2101163,2101164,
1801,1800,신의 은총,"210120,220120,230120,240120",1,2101202,2101203,2101204,
1802,1800,신의 은총,"210121,220121,230121,240121",2,2101212,2101213,2101214,
1803,1800,신의 은총,"210122,220122,230122,240122",3,2101222,2101223,2101224,
1804,1800,신의 은총,"210123,220123,230123,240123",4,2101232,2101233,2101234,
1805,1800,신의 은총,"210124,220124,230124,240124",5,2101242,2101243,2101244,
1806,1800,신의 은총,"210125,220125,230125,240125",6,2101252,2101253,2101254,
1807,1800,신의 은총,"210126,220126,230126,240126",7,2101262,2101263,2101264,
1901,1900,전장의 회오리,"310061,320061,330061",1,3100610,3100611,3100612,3100613
1902,1900,전장의 회오리,"310062,320062,330062",2,3100620,3100621,3100622,3100623
1903,1900,전장의 회오리,"310063,320063,330063",3,3100630,3100631,3100632,3100633
1904,1900,전장의 회오리,"310064,320064,330064",4,3100640,3100641,3100642,3100643
1905,1900,전장의 회오리,"310065,320065,330065",5,3100650,3100651,3100652,3100653
1906,1900,전장의 회오리,"310066,320066,330066",6,3100660,3100661,3100662,3100663
1907,1900,전장의 회오리,"310067,320067,330067",7,3100670,3100671,3100672,3100673
2001,2000,황제의 영광,"210130,220130,230130,240130",1,2101302,2101303,2101304,
2002,2000,황제의 영광,"210131,220131,230131,240131",2,2101312,2101313,2101314,
2003,2000,황제의 영광,"210132,220132,230132,240132",3,2101322,2101323,2101324,
2004,2000,황제의 영광,"210133,220133,230133,240133",4,2101332,2101333,2101334,
2005,2000,황제의 영광,"210134,220134,230134,240134",5,2101342,2101343,2101344,
2006,2000,황제의 영광,"210135,220135,230135,240135",6,2101352,2101353,2101354,
2007,2000,황제의 영광,"210136,220136,230136,240136",7,2101362,2101363,2101364,
2101,2100,용사냥꾼의 투지,"210140,220140,230140,240140",1,2101402,2101403,2101404,
2102,2100,용사냥꾼의 투지,"210141,220141,230141,240141",2,2101412,2101413,2101414,
2103,2100,용사냥꾼의 투지,"210142,220142,230142,240142",3,2101422,2101423,2101424,
2104,2100,용사냥꾼의 투지,"210143,220143,230143,240143",4,2101432,2101433,2101434,
2105,2100,용사냥꾼의 투지,"210144,220144,230144,240144",5,2101442,2101443,2101444,
2106,2100,용사냥꾼의 투지,"210145,220145,230145,240145",6,2101452,2101453,2101454,
2107,2100,용사냥꾼의 투지,"210146,220146,230146,240146",7,2101462,2101463,2101464,
2201,2200,파멸의 마도사,"210150,220150,230150,240150",1,2101502,2101503,2101504,
2202,2200,파멸의 마도사,"210151,220151,230151,240151",2,2101512,2101513,2101514,
2203,2200,파멸의 마도사,"210152,220152,230152,240152",3,2101522,2101523,2101524,
2204,2200,파멸의 마도사,"210153,220153,230153,240153",4,2101532,2101533,2101534,
2205,2200,파멸의 마도사,"210154,220154,230154,240154",5,2101542,2101543,2101544,
2206,2200,파멸의 마도사,"210155,220155,230155,240155",6,2101552,2101553,2101554,
2207,2200,파멸의 마도사,"210156,220156,230156,240156",7,2101562,2101563,2101564,
