PetInfoId,Grade,Level,ExpForNextLevel,Resource,EffectSpeed,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4,EffectType5,EffectParam5,EffectType6,EffectParam6,EffectType7,EffectParam7,EffectType8,EffectParam8,SpawnEffect,DespawnEffect
1,1,1,2,BlackBear,640,1,20,2,20,60,26,67,15,102,9,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,2,2,BlackBear,640,1,24,2,24,60,31,67,18,102,10,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,3,2,BlackBear,640,1,28,2,28,60,36,67,21,102,12,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,4,2,BlackBear,640,1,32,2,32,60,41,67,24,102,14,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,5,3,BlackBear,640,1,36,2,36,60,46,67,27,102,16,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,6,3,BlackBear,640,1,40,2,40,60,52,67,30,102,18,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,7,3,BlackBear,640,1,44,2,44,60,57,67,33,102,19,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,8,3,BlackBear,640,1,48,2,48,60,62,67,36,102,21,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,9,4,BlackBear,640,1,52,2,52,60,67,67,39,102,23,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,10,4,BlackBear,640,1,56,2,56,60,72,67,42,102,25,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,11,4,BlackBear,640,1,60,2,60,60,78,67,45,102,27,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,12,4,BlackBear,640,1,64,2,64,60,83,67,48,102,28,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,13,5,BlackBear,640,1,68,2,68,60,88,67,51,102,30,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,14,5,BlackBear,640,1,72,2,72,60,93,67,54,102,32,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,15,5,BlackBear,640,1,76,2,76,60,98,67,57,102,34,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
1,1,16,5,BlackBear,640,1,80,2,80,60,104,67,60,102,36,253,,253,,253,,Common/VehicleSpawn,Common/VehicleSpawn
