Id,GroupId,Name,Type,DisplayLevel,Grade,EquipmentType1,EquipmentType2,WeaponType,ArmorType,Material,GachaInfoId,SoulCrystalType,PetEquipmentType,SummonGemGroupId,AcquirePerformanceType,AuctionSubGroupId,AuctionTradingUnit,IconTexture,MaxStackableCount,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,BasicOptionGroupId,AbilityInfoPreviewId,AbilityInfoId,SellingPrice,ProvidingExp,RequiredAdena,CoolTime,Resource,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,TypeDesc,ClassType,LimitDesc,UsingDesc,Desc,UseType,UseLevel,MaxUseLevel,Rarity,VisualEffectId,InventoryType,BagType,LootEffect,UseClassTransfer,Usable,UseQuickSlot,Loadable,ItemInfoId,PeriodItem,ItemUseDesc,GuildWarehouseGrantRestrict,LimitBreakInfoId
1021,1011,악마의 영혼석: 자켄,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_WorldBoss_Soulstone_Zaken,30000,253,,253,,253,,,,,10,,,,,19,,,,,소모품,,,"비밀의 숲 하층/비밀의 숲 학살지 몬스터에서 획득 가능하며
100개를 조합하여 ""악마의 스크롤: 자켄"" 혹은 ""결전의 징표: 자켄""을 획득할 수 있습니다.",,,,,0,,0,6,0,0,0,0,1,,,,0,
1022,1011,악마의 스크롤: 자켄,51,230,18,12,12,6,3,3,,9,4,,0,,,Icon_WorldBoss_Scroll_Zaken,30000,253,,253,,253,,,,,10,,,,,40,,,,,소모품,,,"결전의 징표 : 자켄을 획득할 수 있는 서브 퀘스트 스크롤입니다.
결전의 징표 : 자켄으로 자켄의 해적선에 입장할 수 있습니다.","수행 지역 : 기란 자치령
레벨 제한 : 230",,230,,0,,0,5,0,0,1,0,0,,,,0,
1023,1011,결전의 징표: 자켄,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_WorldBoss_Mark_Zaken,30000,253,,253,,253,,,,,10,,,,,,,,,,소모품,,,"자켄을 처치하기로 맹세한 자의 징표입니다.
자켄의 해적선에 입장 할 수 있습니다.",,,,,0,,0,6,0,0,0,0,0,,,,0,
2000,2000,전리품: 자켄의 선장모,98,230,18,12,12,6,3,3,,9,4,,0,,,UI_Icon_Quest_ProofOfZakenElimination,30000,253,,253,,253,,,,10,10,,,,,,,,,,소모품,,,"자켄이 쓰고 있던 해적 선장모입니다.
의뢰를 수행하면 마그나딘에서 영웅담을
전파하여 다른 모험가들의 사기를
진작시킬 수 있습니다.","수행 지역 : 마그나딘
레벨 제한 : 230",,230,,0,,0,5,0,0,1,0,0,,,,0,
2001,2001,전리품: 성스러운 별,98,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Xmas_01,30000,253,,253,,253,,,,10,10,,,,,,,,,,소모품,,,"천사 마샤에게서 얻은 것으로,
아름다운 빛을 발산하는 별입니다.
의뢰를 수행하면 마그나딘에서 크리스마스 트리가 완성되어
다른 모험가들과 함께 크리스마스 분위기를 즐길 수 있습니다.
이벤트 기간이 종료되면 더 이상 사용할 수 없습니다.","수행 지역 : 마그나딘
레벨 제한 : 1",,1,,0,,0,5,0,0,0,0,0,,,,0,
2002,2002,전리품: 성스러운 별,98,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Xmas_01,30000,253,,253,,253,,,,10,10,,,,,,,,,,소모품,,,"천사 마샤에게서 얻은 것으로,
아름다운 빛을 발산하는 별입니다.
의뢰를 수행하면 마그나딘에서 크리스마스 트리가 완성되어
다른 모험가들과 함께 크리스마스 분위기를 즐길 수 있습니다.
이벤트 기간이 종료되면 더 이상 사용할 수 없습니다.","수행 지역 : 마그나딘
레벨 제한 : 1",,1,,0,,0,5,0,0,0,0,0,,,,0,
10001,10000,봄기운 머금은 새싹,80,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_01,30000,8,910249,253,,253,,,,,10,,,,,,,,,,물약,0,,"다가오는 봄의 기운을 가득 머금은 새싹입니다.
이벤트 메뉴에서 아이템을 구입할 때 사용합니다.",10분간 방어력이 2000 증가합니다.,,,,0,100006,0,5,0,0,1,1,0,,,,0,
10002,10000,새싹 보관함,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_01,30000,253,,253,,253,,,,,0,,,,,,,,,,소모품,,,"새싹들이 안전하게 보관되어 있는 상자입니다.
상자를 열면 새싹 30개를 획득할 수 있습니다.",사용 후 획득한 아이템은 거래할 수 없습니다,1,,,0,,0,5,0,0,1,0,0,,,,0,
10003,10001,추가 완료권,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Asset_CompleteTicket,30000,253,,253,,253,,,,,10,,,,,,,,,,이벤트,0,,"아이멜의 교습소에서 오늘 완료 횟수를 모두 사용했더라도 추가 완료를 할 수 있는 티켓입니다.
이벤트 메뉴에서 사용할 수 있습니다.",,,,,0,,0,5,0,0,0,0,0,,,,0,
10004,10000,참 잘했어요,80,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_02,30000,8,910250,253,,253,,,,,10,,,,,,,,,,물약,0,,"훌륭한 혈맹원입니다!
이벤트 메뉴에서 아이템을 구입할 때 사용합니다.",10분간 공격력이 1500 증가합니다.,,,,0,301,0,5,0,0,1,1,0,,,,0,
