Type,ActorStatType,Name,IsPercentage,IsTime,Order,ClassInfoIdList,IconTexture,Revision
0,172,무기에 붙음,0,0,,,,0
1,0,물리 공격력,0,0,,,,2.5
2,1,마법 공격력,0,0,,,Icon_Stat_03,2.5
3,2,물리 공격력 증가율,1,0,10,,Icon_Stat_03,0
4,3,마법 공격력 증가율,1,0,11,,,0
5,4,일반 공격의 공격력,1,0,,,,0
6,5,파티원에 따른 공격력 증가율,1,0,,,,0
7,6,공격속도 증가율,1,0,9,,,0
8,172,버프,0,0,,,,0
9,11,크리티컬 대미지 증가율,1,0,6,,,0
14,9,크리티컬 확률 증가,1,0,2,,,0
15,10,크리티컬 저항률 증가,1,0,4,,,0
16,172,물리 대미지,0,0,,,,0
17,172,마법 대미지,0,0,,,,0
18,172,방어력 무시,0,0,,,,0
19,172,대상의 HP 감소,0,0,,,,0
20,172,대상의 HP %감소,1,0,,,,0
21,16,물리 방어력,0,0,,,,1.5
22,17,마법 방어력,0,0,,,Icon_Stat_04,1.5
23,18,물리 방어력 증가율,1,0,12,,Icon_Stat_04,0
24,19,마법 방어력 증가율,1,0,13,,,0
26,20,회피,0,0,18,,,1
27,172,회피 증가율,1,0,,,,0
28,22,회피율 증가,1,0,19,,,0
29,23,명중,0,0,16,,,1
30,172,명중 증가율,1,0,,,,0
31,25,명중률 증가,1,0,17,,,0
32,26,피해량 증가율,1,0,7,,,0
33,27,물리 피해량 증가율,1,0,,,,0
34,28,물리 피해량 증가율,1,0,,,,0
35,29,슬로우 대상에 대한 피해량 증가율,1,0,,,,0
36,30,방어 무시 대미지,0,0,22,,,2.5
37,31,피해량 감소율,1,0,8,,,0
38,32,물리 피해량 감소율,1,0,,,,0
39,33,마법 피해량 감소율,1,0,,,,0
40,34,고정 피해 감소,0,0,23,,,2.5
41,35,막기 확률,1,0,14,"5,11,35,41,95,101",,0
42,36,막기 대미지 감소율,1,0,15,"5,11,35,41,95,101",,0
43,172,도트 물리 대미지,0,0,,,,0
44,172,도트 마법 대미지,0,0,,,,0
45,172,공격력에 기반해 HP회복,0,0,,,,0
46,172,도트 힐,0,0,,,,0
47,172,지형 효과,0,0,,,,0
48,39,위협수치 증가율,1,0,,,,0
49,40,HP,0,0,,,,0
50,172,최대 HP대비 % HP 증가,1,0,,,,0
51,41,HP 회복량,0,0,26,,,0.2
52,42,HP 흡수율,1,0,28,,,0
53,172,HP 흡수(액티브로 흡수하는 스킬이다),0,0,,,,0
54,172,HP 흡수(본인 또는 파티원에게 나눠서 흡수된다),0,0,,,,0
55,172,무적,0,0,,,,0
56,172,투명,0,0,,,,0
