Id,Name,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,NetmarbleSItemId,Display,DisplayOrder,DisplayType,DisplayTypeValue,IsGotcha,CostType,CostValue,DiscountRate,SpecialDiscountRate,PurchaseFree,PurchaseFreeTime,PurchaseLimit,LimitPeriodeValue,PurchaseLimitValue,LimitPeriodStart,LimitPeriodEnd,LeagueLimit,SupportVersion,IconTexture,IconTexture2,PromotionType,RecommendPackage,Desc,ReplacementProduct,Desc2,FlatRatePeriod,RetentionPeriod,EfficiencyRate
1001,"20,000 아데나",1,6,,,,,,,0,100,10,,0,1,100,,,0,,0,,,,,,1.0.1,Icon_Shop_Adena_01,,25,0,"20,000 아데나를 획득합니다.",0,,,,
1002,"42,000 아데나",1,6,,,,,,,0,200,10,,0,1,200,,,0,,0,,,,,,,Icon_Shop_Adena_02,,25,0,"40,000+2,000 아데나를 획득합니다.",0,,,,
1003,"88,000 아데나",1,6,,,,,,,0,300,10,,0,1,400,,,0,,0,,,,,,,Icon_Shop_Adena_03,,25,0,"80,000+8,000 아데나를 획득합니다.",0,,,,
1004,"184,000 아데나",1,6,,,,,,,0,400,10,,0,1,800,,,0,,0,,,,,,,Icon_Shop_Adena_04,,25,0,"160,000+24,000 아데나를 획득합니다.",0,,,,
1005,"384,000 아데나",1,6,1,,,,,,0,500,10,,0,1,1600,,,0,,0,,,,,,,Icon_Shop_Adena_05,,25,0,"320,000+64,000 아데나를 획득합니다.",0,,,,
1006,"800,000 아데나",1,6,1,,,,,,0,600,10,,0,1,3200,,,0,,0,,,,,,,Icon_Shop_Adena_06,,25,0,"640,000+160,000 아데나를 획득합니다.",0,,,,
1100,"20,000 아데나 + 50 레드다이아",1,6,,,,,,,0,700,10,,0,22,100,,,0,,0,,,,,,1.0.1,Icon_Shop_Adena_RedDiaBonus_01,,2,0,"20,000 아데나 + 50 레드다이아를 획득합니다.",0,,,,
1101,"42,000 아데나 + 100 레드다이아",1,6,,,,,,,0,800,10,,0,22,200,,,0,,0,,,,,,,Icon_Shop_Adena_RedDiaBonus_02,,2,0,"42,000 아데나 + 100 레드다이아를 획득합니다.",0,,,,
1102,"88,000 아데나 + 200 레드다이아",1,6,,,,,,,0,900,10,,0,22,400,,,0,,0,,,,,,,Icon_Shop_Adena_RedDiaBonus_03,,2,0,"88,000 아데나 + 200 레드다이아를 획득합니다.",0,,,,
1103,"184,000 아데나 + 400레드다이아",1,6,,,,,,,0,1000,10,,0,22,800,,,0,,0,,,,,,,Icon_Shop_Adena_RedDiaBonus_04,,2,0,"184,000 아데나 + 400레드다이아를 획득합니다.",0,,,,
1104,"384,000 아데나 + 800 레드다이아",1,6,1,,,,,,0,1100,10,,0,22,1600,,,0,,0,,,,,,,Icon_Shop_Adena_RedDiaBonus_05,,2,0,"384,000 아데나 + 800 레드다이아를 획득합니다.",0,,,,
