RealQualityRate,QualityDisplayUI,AddPrefixName,ColorCode
1,1,하급,0x868686FF
2,2,하급,0x868686FF
3,3,하급,0x868686FF
4,4,하급,0x868686FF
5,5,하급,0x868686FF
6,6,하급,0x868686FF
7,7,하급,0x868686FF
8,8,하급,0x868686FF
9,9,하급,0x868686FF
10,10,하급,0x868686FF
11,11,하급,0x868686FF
12,12,하급,0x868686FF
13,13,하급,0x868686FF
14,14,하급,0x868686FF
15,15,하급,0x868686FF
16,16,하급,0x868686FF
17,17,하급,0x868686FF
18,18,하급,0x868686FF
19,19,하급,0x868686FF
20,20,하급,0x868686FF
21,21,하급,0x868686FF
22,22,하급,0x868686FF
23,23,하급,0x868686FF
24,24,하급,0x868686FF
25,25,하급,0x868686FF
26,26,하급,0x868686FF
27,27,하급,0x868686FF
28,28,하급,0x868686FF
29,29,하급,0x868686FF
30,30,하급,0x868686FF
31,31,하급,0x868686FF
32,32,하급,0x868686FF
33,33,하급,0x868686FF
34,34,하급,0x868686FF
35,35,하급,0x868686FF
36,36,하급,0x868686FF
37,37,하급,0x868686FF
38,38,하급,0x868686FF
39,39,하급,0x868686FF
40,40,하급,0x868686FF
41,41,하급,0x868686FF
42,42,하급,0x868686FF
43,43,하급,0x868686FF
44,44,하급,0x868686FF
45,45,하급,0x868686FF
46,46,하급,0x868686FF
47,47,하급,0x868686FF
48,48,하급,0x868686FF
49,49,하급,0x868686FF
50,50,중급,0x1F7AD6FF
51,51,중급,0x1F7AD6FF
52,52,중급,0x1F7AD6FF
53,53,중급,0x1F7AD6FF
54,54,중급,0x1F7AD6FF
55,55,중급,0x1F7AD6FF
56,56,중급,0x1F7AD6FF
57,57,중급,0x1F7AD6FF
58,58,중급,0x1F7AD6FF
59,59,중급,0x1F7AD6FF
60,60,중급,0x1F7AD6FF
61,61,중급,0x1F7AD6FF
62,62,중급,0x1F7AD6FF
63,63,중급,0x1F7AD6FF
64,64,중급,0x1F7AD6FF
65,65,중급,0x1F7AD6FF
66,66,중급,0x1F7AD6FF
67,67,중급,0x1F7AD6FF
68,68,중급,0x1F7AD6FF
69,69,중급,0x1F7AD6FF
70,70,상급,0x4F9001FF
71,71,상급,0x4F9001FF
72,72,상급,0x4F9001FF
73,73,상급,0x4F9001FF
74,74,상급,0x4F9001FF
75,75,상급,0x4F9001FF
76,76,상급,0x4F9001FF
77,77,상급,0x4F9001FF
78,78,상급,0x4F9001FF
79,79,상급,0x4F9001FF
80,80,상급,0x4F9001FF
81,81,상급,0x4F9001FF
82,82,상급,0x4F9001FF
83,83,상급,0x4F9001FF
84,84,상급,0x4F9001FF
85,85,최상급,0x00CAC8FF
86,86,최상급,0x00CAC8FF
87,87,최상급,0x00CAC8FF
88,88,최상급,0x00CAC8FF
89,89,최상급,0x00CAC8FF
90,90,최상급,0x00CAC8FF
91,91,최상급,0x00CAC8FF
92,92,최상급,0x00CAC8FF
93,93,최상급,0x00CAC8FF
94,94,최상급,0x00CAC8FF
95,95,최상급,0x00CAC8FF
96,96,최상급,0x00CAC8FF
97,97,최상급,0x00CAC8FF
98,98,최상급,0x00CAC8FF
99,99,최상급,0x00CAC8FF
100,100,전설급,0xAA2BFFFF
