ItemType,ItemID,MovableContents
7,0,77
19,0,59
2,0,59
0,0,59
6,0,59
5,0,59
4,0,59
20,0,57
3,0,57
1,0,57
23,0,21
14,0,20
37,0,20
62,0,93
61,0,93
60,0,93
29,0,18
16,0,19
53,0,77
85,0,119
86,0,119
87,0,119
88,0,119
21,0,24
67,0,93
32,0,62
33,0,60
52,0,102
46,0,56
47,0,56
48,0,56
70,0,93
72,0,93
73,0,93
71,0,93
81,0,21
89,0,119
84,0,141
97,0,60
103,0,22
11,0,0
11,10046,105
107,0,63
108,0,63
109,0,63
11,711101,63
11,711102,63
11,712101,63
11,712102,63
11,713101,63
11,713102,63
11,711201,63
11,711202,63
11,712201,63
11,712202,63
11,713201,63
11,713202,63
11,710001,63
11,10032,142
11,700901,63
11,700902,63
11,700903,63
11,700904,63
11,700905,63
11,700906,63
11,700907,63
102,0,143
110,0,146
111,0,146
112,0,148
11,0,147
84,0,148
105,0,119
106,0,93
