Id,TypeId,GroupId,Name,Description,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,IconTexture,Rarity
1,1,1,캐릭터,0,,,,,,,2
2,2,1,경험치,캐릭터의 레벨업을 위해 필요한 재료입니다.,1,66,2,6,,Icon_Exp_01,0
3,2,1,룬조각,룬 각인을 위해 필요한 재료입니다.,21,1,13,25,6,Icon_Asset_RuneStone_01,0
4,2,1,엘릭서 정수,약초와 조합하여 캐릭터의 능력치를 영구히 올리는 약입니다.,25,22,31,48,,Icon_Elixir_Red,0
5,2,1,약초,엘릭서 정수와 조합하여 캐릭터의 능력치를 영구히 올리는 약초입니다.,22,31,1,48,,Icon_Box_Herb_03,0
6,2,1,육성석,펫의 레벨업을 위해 필요한 재료입니다.,44,41,45,9,48,Icon_Asset_PetPromoteStone_01,0
7,2,1,소환석,펫의 소환과 승급에 필요한 재료입니다.,44,40,9,,,Icon_Asset_PetStoneBlackBear_01,0
8,2,1,탑승펫 장비 강화 주문서,펫 장비를 강화하기 위해 필요한 재료입니다.,20,36,9,,,Icon_PetEnchantScroll_01,0
9,2,1,펫 장비 연마제,펫 장비 레벨업을 위해 필요한 재료입니다.,44,9,,,,Icon_PetHelmet_LevelMaterial_01,0
10,2,1,스킬 포인트,일반 스킬을 레벨업하기 위해 필요한 재료입니다.,31,13,,,,Icon_Asset_SkillPoint_01,0
11,2,1,하거인의 비전서,궁극기 스킬을 레벨업하기 위해 필요한 재료입니다.,2,69,13,40,,Icon_SkillSecretBook_01,0
12,2,1,스킬북,레어 스킬을 레벨업하기 위해 필요한 재료입니다.,4,38,,,,Icon_SkillBook_01,0
13,2,1,페이지:메테오 스톰,스킬북 : 메테오 스톰을 만들기 위한 재료입니다.,63,,,,,Icon_SkillPaper_03,0
14,2,1,페이지:디펜스 존,스킬북 : 디펜스 존을 만들기 위한 재료입니다.,63,,,,,Icon_SkillPaper_02,0
15,2,1,페이지:미사일 볼트,스킬북 : 미사일 볼트를 만들기 위한 재료입니다.,38,2,,,,Icon_SkillPaper_03,0
16,2,1,페이지:앱솔루트 실드,스킬북 : 앱솔루트 실드를 만들기 위한 재료입니다.,38,37,,,,Icon_SkillPaper_02,0
17,2,1,페이지:힐링 스트라이크,스킬북 : 힐링 스트라이크를 만들기 위한 재료입니다.,38,37,,,,Icon_SkillPaper_02,0
18,2,1,페이지:포이즌 스트라이크,스킬북 : 포이즌 스트라이크를 만들기 위한 재료입니다.,38,37,,,,Icon_SkillPaper_01,0
