Id,Nme,Desc,TaskType,NpcAutoMoveID,TaskCount,RewardExp,RewardAdena,RewardIcon,MissionIcon
1,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
2,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
3,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
4,말하는 섬 서부 숲 말벌공략,숲 말벌 15회 처치하기,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
5,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
6,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
7,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
8,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
9,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
11,말하는 섬 서부 숲 말벌공략,숲 말벌 15회 처치하기,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
12,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
13,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
14,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
15,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
16,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
17,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
18,말하는 섬 서부 숲 말벌공략,숲 말벌 15회 처치하기,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
19,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
20,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
21,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
22,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
23,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
24,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
25,말하는 섬 서부 숲 말벌공략,숲 말벌 15회 처치하기,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
26,말하는 섬 서부 오크 일꾼공략,오크 일꾼 15회 처치하기,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
27,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
28,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
29,말하는 섬 서부 숲 가시 디코르공략,숲 가시 디코르 15회 처치하기,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
