Id,GuideQuestGroupId,Rank,RequiredId,Title,Desc,TaskType,TaskCount,RewardType,RewardItemInfoId,RewardCount,HelpURL
1001,1,1,,에피소드 완료,에피소드 <RedBold>1-2</> 클리어하기,90,1,6,440001,20,http://guide.netmarble.com/lineageII/140
1002,1,1,1001,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,2,490003,20,http://guide.netmarble.com/lineageII/141
1003,1,1,1002,에피소드 완료,에피소드 <RedBold>1-5</> 클리어하기,90,1,2,490003,30,http://guide.netmarble.com/lineageII/142
1004,1,1,1003,업적 점수,업적 점수 <RedBold>[Value]점</> 달성하기 ([Value1]/[Value2]),23,500,1,490002,10000,http://guide.netmarble.com/lineageII/143
1005,1,1,1004,전투력,최대 전투력 <RedBold>[Value]</> 달성하기 ([Value1]/[Value2]),29,8000,6,480005,1,http://guide.netmarble.com/lineageII/144
1006,1,1,1005,결투장,결투장 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2]),141,3,1,490002,10000,http://guide.netmarble.com/lineageII/145
1007,1,1,1006,장비 획득,장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),50,20,6,911123,1,http://guide.netmarble.com/lineageII/146
1008,1,1,1007,오만의 탑 도전,오만의 탑 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2]),92,3,6,440011,20,http://guide.netmarble.com/lineageII/147
1009,1,1,1008,룬 각인,룬 각인 <RedBold>[Value]회</> 각인 성공하기 ([Value1]/[Value2]),21,3,6,480004,1,http://guide.netmarble.com/lineageII/148
1010,1,1,1009,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,1,490002,30000,http://guide.netmarble.com/lineageII/149
1011,1,1,1010,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),130,5,6,490005,200,http://guide.netmarble.com/lineageII/150
1012,1,1,1011,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,3,6,400001,1000,http://guide.netmarble.com/lineageII/151
1013,1,1,1012,혈맹 상점,혈맹 버프 <RedBold>[Value]회</> 구입하기 ([Value1]/[Value2]),170,1,6,440001,20,http://guide.netmarble.com/lineageII/152
1014,1,1,1013,정예 던전,정예 던전 퀘스트 <RedBold>[Value]개</> 완료하기 ([Value1]/[Value2]),100,1,1,490002,50000,http://guide.netmarble.com/lineageII/153
1015,1,1,1014,장비 합성,장비 합성 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),58,2,6,910210,1,http://guide.netmarble.com/lineageII/154
1016,1,1,1015,집혼석 레벨업,집혼석 레벨업에 재료 <RedBold>[Value]개</> 사용 하기([Value1]/[Value2]),63,7,6,910211,1,http://guide.netmarble.com/lineageII/155
1017,1,1,1016,에피소드 완료,에피소드 <RedBold>3-5</> 클리어하기,90,1,2,490003,150,http://guide.netmarble.com/lineageII/156
1018,1,1,1017,오만의 탑,오만의 탑 <RedBold>[Value]층</> 클리어하기 ([Value1]/[Value2]),91,18,6,490008,1,http://guide.netmarble.com/lineageII/157
1019,1,1,1018,채집 던전,채집 던전에서 약초 <RedBold>[Value2]회</> 채집하기 ([Value1]/[Value2]),97,30,2,490003,150,http://guide.netmarble.com/lineageII/158
1020,1,1,1019,에피소드 완료,에피소드 <RedBold>4-5</> 클리어하기,90,1,6,490005,1000,http://guide.netmarble.com/lineageII/159
1021,1,1,1020, 전직 완료,<RedBold>전직 완료</> 하기,15,1,6,910204,1,http://guide.netmarble.com/lineageII/160
2001,2,1,,장비 분해,장비 <RedBold>[Value]회</> 분해하기 ([Value1]/[Value2]),71,4,6,910226,3,http://guide.netmarble.com/lineageII#cont/499
2002,2,1,2001,요일던전 클리어,요일던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),95,1,2,,300,http://guide.netmarble.com/lineageII#cont/500
2003,2,1,2002,빛나는 승급석 획득,빛나는 승급석 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,1,1,,200000,http://guide.netmarble.com/lineageII#cont/501
2004,2,1,2003,결정체 획득,결정체 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,30,6,510103,1,http://guide.netmarble.com/lineageII#cont/502
2005,2,1,2004,장비던전 클리어,장비던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),101,1,2,,300,http://guide.netmarble.com/lineageII#cont/503
2006,2,1,2005,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),53,1,6,900011,1,http://guide.netmarble.com/lineageII#cont/504
2007,2,1,2006,승급석 획득,승급석 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,10,6,510103,1,http://guide.netmarble.com/lineageII#cont/505
2008,2,1,2007,장비 분해,장비 <RedBold>[Value]회</> 분해하기 ([Value1]/[Value2]),71,8,6,911141,2,http://guide.netmarble.com/lineageII#cont/506
2009,2,1,2008,요일던전 클리어,요일던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),95,4,2,,500,http://guide.netmarble.com/lineageII#cont/528
2010,2,1,2009,빛나는 승급석 획득,빛나는 승급석 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,2,1,,300000,http://guide.netmarble.com/lineageII#cont/529
2011,2,1,2010,결정체 획득,결정체 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,100,6,510103,2,http://guide.netmarble.com/lineageII#cont/530
2012,2,1,2011,장비던전 클리어,장비던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),101,4,2,,300,http://guide.netmarble.com/lineageII#cont/531
2013,2,1,2012,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),53,1,6,900011,2,http://guide.netmarble.com/lineageII#cont/532
2014,2,1,2013,승급석 획득,승급석 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,20,6,510103,2,http://guide.netmarble.com/lineageII#cont/573
2015,2,1,2014,장비 분해,장비 <RedBold>[Value]개</> 분해하기 ([Value1]/[Value2]),71,12,6,911151,1,http://guide.netmarble.com/lineageII#cont/533
2016,2,1,2015,요일던전 클리어,요일던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),95,6,2,,500,http://guide.netmarble.com/lineageII#cont/539
2017,2,1,2016,빛나는 승급석 획득,빛나는 승급석 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,3,1,,500000,http://guide.netmarble.com/lineageII#cont/540
2018,2,1,2017,결정체 획득,결정체 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,500,6,510103,4,http://guide.netmarble.com/lineageII#cont/541
2019,2,1,2018,장비던전 클리어,장비던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),101,8,2,,500,http://guide.netmarble.com/lineageII#cont/542
2020,2,1,2019,빛나는 승급석 획득,빛나는 승급석 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),72,5,6,900011,3,http://guide.netmarble.com/lineageII#cont/547
2021,2,1,2020,레시피 획득,레시피 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),50,3,6,911013,1,http://guide.netmarble.com/lineageII#cont/548
3001,3,1,,레벨 달성,레벨 <RedBold>50</> 달성하기 ([Value1]/[Value2]),12,50,6,911006,3,http://guide.netmarble.com/lineageII#cont/507
3002,3,1,3001,소환석 던전 클리어,소환석 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),109,1,6,911005,1,http://guide.netmarble.com/lineageII#cont/508
3003,3,1,3002,탑승펫 장비 장착,탑승펫에게 <RedBold>장비 장착</>시키기 ([Value1]/[Value2]),198,1,1,,50000,http://guide.netmarble.com/lineageII#cont/509
3004,3,1,3003,탑승펫 장비 레벨업,탑승펫 <RedBold>장비 레벨업 [Value]회</> 시도하기 ([Value1]/[Value2]),190,3,6,911001,2,http://guide.netmarble.com/lineageII#cont/510
3005,3,1,3004,육성석 사용,탑승펫에게 육성석 <RedBold>[Value]회</> 사용하기 ([Value1]/[Value2]),193,1,6,910004,1,http://guide.netmarble.com/lineageII#cont/511
3006,3,1,3005,탑승펫 장비 강화,탑승펫 장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),191,1,6,470005,1,http://guide.netmarble.com/lineageII#cont/512
3007,3,1,3006,탑승펫 레벨 달성,탑승펫 레벨 <RedBold>[Value]</> 달성하기 ([Value1]/[Value2]),196,10,6,911006,5,http://guide.netmarble.com/lineageII#cont/513
3008,3,1,3007,탑승펫 승급,탑승펫 <RedBold>[Value]회</> 승급하기 ([Value1]/[Value2]),194,1,2,,500,http://guide.netmarble.com/lineageII#cont/514
3009,3,1,3008,소환석 던전 클리어,소환석 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),109,2,6,911005,3,http://guide.netmarble.com/lineageII#cont/515
3010,3,1,3009,탑승펫 장비 획득,A등급 이상 탑승펫 장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),195,2,1,,100000,http://guide.netmarble.com/lineageII#cont/516
3011,3,1,3010,탑승펫 장비 레벨업,탑승펫 <RedBold>장비 레벨업 [Value]회</> 시도하기 ([Value1]/[Value2]),190,5,6,911002,2,http://guide.netmarble.com/lineageII#cont/517
3012,3,1,3011,육성석 사용,탑승펫에게 육성석 <RedBold>[Value]회</> 사용하기 ([Value1]/[Value2]),193,3,6,910004,2,http://guide.netmarble.com/lineageII#cont/518
3013,3,1,3012,탑승펫 장비 강화,탑승펫 장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),191,3,6,470004,1,http://guide.netmarble.com/lineageII#cont/519
