GroupID,ConditionParam,RewardType,RewardItemInfoId,RewardCount,RewardIcon
1,,6,490005,3,Icon_Box_Rune_01
101,,6,490005,5,Icon_Box_Rune_01
2,,6,910307,7,Icon_GachaItem_Herb
2,,6,910308,1,Icon_Gacha_HerbPotion
102,,6,910307,10,Icon_GachaItem_Herb
102,,6,910308,2,Icon_Gacha_HerbPotion
3,,6,900015,1,Icon_Box_Honor_01
3,,1,,5000,Icon_Asset_Adena_01
103,,6,900016,1,Icon_Box_Honor_03
103,,1,,10000,Icon_Asset_Adena_01
4,0,5,,140,Icon_Exp_01
4,0,1,,2100,Icon_Asset_Adena_01
4,1,5,,140,Icon_Exp_01
4,1,1,,2100,Icon_Asset_Adena_01
4,2,5,,140,Icon_Exp_01
4,2,1,,2100,Icon_Asset_Adena_01
4,3,5,,140,Icon_Exp_01
4,3,1,,2100,Icon_Asset_Adena_01
4,4,5,,140,Icon_Exp_01
4,4,1,,2100,Icon_Asset_Adena_01
4,5,5,,140,Icon_Exp_01
4,5,1,,2100,Icon_Asset_Adena_01
4,6,5,,140,Icon_Exp_01
4,6,1,,2100,Icon_Asset_Adena_01
104,0,5,,200,Icon_Exp_01
104,0,6,910221,1,Icon_GachaItem_Transcendence
104,0,1,,3000,Icon_Asset_Adena_01
104,1,5,,200,Icon_Exp_01
104,1,6,410001,1,Icon_EnchantScroll_01
104,1,1,,3000,Icon_Asset_Adena_01
104,2,5,,200,Icon_Exp_01
104,2,6,420001,1,Icon_Asset_Upgrade_01
104,2,1,,3000,Icon_Asset_Adena_01
104,3,5,,200,Icon_Exp_01
104,3,6,410002,1,Icon_EnchantScroll_02
104,3,1,,3000,Icon_Asset_Adena_01
104,4,5,,200,Icon_Exp_01
104,4,6,420002,1,Icon_Asset_Upgrade_02
104,4,1,,3000,Icon_Asset_Adena_01
104,5,5,,200,Icon_Exp_01
104,5,6,410003,1,Icon_EnchantScroll_03
104,5,1,,3000,Icon_Asset_Adena_01
104,6,5,,200,Icon_Exp_01
104,6,6,420003,1,Icon_Asset_Upgrade_03
104,6,1,,3000,Icon_Asset_Adena_01
5,0,5,,5600,Icon_Exp_01
5,0,6,910221,1,Icon_GachaItem_Transcendence
5,0,1,,4900,Icon_Asset_Adena_01
5,1,5,,5600,Icon_Exp_01
5,1,6,410001,1,Icon_EnchantScroll_01
5,1,1,,4900,Icon_Asset_Adena_01
5,2,5,,5600,Icon_Exp_01
5,2,6,420001,1,Icon_Asset_Upgrade_01
5,2,1,,4900,Icon_Asset_Adena_01
5,3,5,,5600,Icon_Exp_01
5,3,6,410002,1,Icon_EnchantScroll_02
5,3,1,,4900,Icon_Asset_Adena_01
5,4,5,,5600,Icon_Exp_01
5,4,6,420002,1,Icon_Asset_Upgrade_02
5,4,1,,4900,Icon_Asset_Adena_01
5,5,5,,5600,Icon_Exp_01
5,5,6,410003,1,Icon_EnchantScroll_03
5,5,1,,4900,Icon_Asset_Adena_01
5,6,5,,5600,Icon_Exp_01
5,6,6,420003,1,Icon_Asset_Upgrade_03
5,6,1,,4900,Icon_Asset_Adena_01
105,0,5,,8000,Icon_Exp_01
105,0,6,910221,2,Icon_GachaItem_Transcendence
105,0,1,,7000,Icon_Asset_Adena_01
105,1,5,,8000,Icon_Exp_01
105,1,6,410001,2,Icon_EnchantScroll_01
105,1,1,,7000,Icon_Asset_Adena_01
105,2,5,,8000,Icon_Exp_01
105,2,6,420001,2,Icon_Asset_Upgrade_01
105,2,1,,7000,Icon_Asset_Adena_01
105,3,5,,8000,Icon_Exp_01
105,3,6,410002,2,Icon_EnchantScroll_02
105,3,1,,7000,Icon_Asset_Adena_01
105,4,5,,8000,Icon_Exp_01
105,4,6,420002,2,Icon_Asset_Upgrade_02
105,4,1,,7000,Icon_Asset_Adena_01
105,5,5,,8000,Icon_Exp_01
105,5,6,410003,2,Icon_EnchantScroll_03
105,5,1,,7000,Icon_Asset_Adena_01
105,6,5,,8000,Icon_Exp_01
105,6,6,420003,2,Icon_Asset_Upgrade_03
105,6,1,,7000,Icon_Asset_Adena_01
6,0,5,,10500,Icon_Exp_01
6,0,6,910221,2,Icon_GachaItem_Transcendence
6,0,1,,7000,Icon_Asset_Adena_01
6,1,5,,10500,Icon_Exp_01
6,1,6,410001,2,Icon_EnchantScroll_01
6,1,1,,7000,Icon_Asset_Adena_01
6,2,5,,10500,Icon_Exp_01
6,2,6,420001,2,Icon_Asset_Upgrade_01
6,2,1,,7000,Icon_Asset_Adena_01
6,3,5,,10500,Icon_Exp_01
6,3,6,410002,2,Icon_EnchantScroll_02
6,3,1,,7000,Icon_Asset_Adena_01
6,4,5,,10500,Icon_Exp_01
6,4,6,420002,2,Icon_Asset_Upgrade_02
6,4,1,,7000,Icon_Asset_Adena_01
6,5,5,,10500,Icon_Exp_01
6,5,6,410003,2,Icon_EnchantScroll_03
6,5,1,,7000,Icon_Asset_Adena_01
6,6,5,,10500,Icon_Exp_01
6,6,6,420003,2,Icon_Asset_Upgrade_03
6,6,1,,7000,Icon_Asset_Adena_01
106,0,5,,15000,Icon_Exp_01
106,0,6,910221,3,Icon_GachaItem_Transcendence
106,0,1,,10000,Icon_Asset_Adena_01
106,1,5,,15000,Icon_Exp_01
106,1,6,410001,3,Icon_EnchantScroll_01
106,1,1,,10000,Icon_Asset_Adena_01
106,2,5,,15000,Icon_Exp_01
106,2,6,420001,3,Icon_Asset_Upgrade_01
106,2,1,,10000,Icon_Asset_Adena_01
106,3,5,,15000,Icon_Exp_01
106,3,6,410002,3,Icon_EnchantScroll_02
106,3,1,,10000,Icon_Asset_Adena_01
106,4,5,,15000,Icon_Exp_01
106,4,6,420002,3,Icon_Asset_Upgrade_02
106,4,1,,10000,Icon_Asset_Adena_01
106,5,5,,15000,Icon_Exp_01
106,5,6,410003,3,Icon_EnchantScroll_03
106,5,1,,10000,Icon_Asset_Adena_01
106,6,5,,15000,Icon_Exp_01
106,6,6,420003,3,Icon_Asset_Upgrade_03
106,6,1,,10000,Icon_Asset_Adena_01
7,0,5,,17500,Icon_Exp_01
7,0,6,910221,3,Icon_GachaItem_Transcendence
7,0,1,,10500,Icon_Asset_Adena_01
7,1,5,,17500,Icon_Exp_01
7,1,6,410001,3,Icon_EnchantScroll_01
7,1,1,,10500,Icon_Asset_Adena_01
7,2,5,,17500,Icon_Exp_01
7,2,6,420001,3,Icon_Asset_Upgrade_01
