Id,Difficulty,Score,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,0,0,1,900025,4,,,,
2,0,10001,2,900025,6,,,,
3,0,20001,3,900025,8,,,,
4,0,30001,4,900025,10,,,,
5,0,40001,5,900025,12,911024,10,,
6,0,50001,6,900025,14,911024,20,,
7,1,0,1,900025,10,,,,
8,1,10001,2,900025,12,,,,
9,1,20001,3,900025,14,,,,
10,1,30001,4,900025,16,,,,
11,1,40001,5,900025,18,911024,20,,
12,1,50001,6,900025,20,911024,30,,
13,2,0,1,900025,14,,,,
14,2,10001,2,900025,16,,,,
15,2,20001,3,900025,18,,,,
16,2,30001,4,900025,20,,,,
17,2,40001,5,900025,22,911024,30,,
18,2,50001,6,900025,24,911024,40,,
19,3,0,1,911024,52,,,,
20,3,10001,2,911024,56,,,,
21,3,20001,3,911024,60,,,,
22,3,30001,4,911024,64,,,,
23,3,40001,5,911024,68,911024,40,,
24,3,50001,6,911024,72,911024,60,,
25,4,0,1,911024,60,,,,
26,4,10001,2,911024,64,,,,
27,4,20001,3,911024,68,,,,
28,4,30001,4,911024,72,,,,
29,4,40001,5,911024,78,911024,60,,
30,4,50001,6,911024,80,911024,80,,
31,5,0,1,911024,100,,,,
32,5,10001,2,911024,106,,,,
33,5,20001,3,911024,114,,,,
34,5,30001,4,911024,120,,,,
35,5,40001,5,911024,130,911024,80,,
36,5,50001,6,911024,132,911024,100,,
