Id,BookLevel,GroupId,MonsterId,CardBorder,SlotImage,BeadImage,UseLargeBeadImage,CardImage,MonsterCoreItemId,RequiredQuantity,StatusIcon,EffectType,EffectType2,EffectParam,HuntType,HuntingSpotId,NameDirection
1,0,1,20181,0,,,0,67,470011,5,Icon_Skill_Active_10112,1,2,10,0,,0
1,1,1,20181,0,,,0,67,470011,10,Icon_Skill_Active_10112,1,2,20,0,,0
1,2,1,20181,0,,,0,67,470011,15,Icon_Skill_Active_10112,1,2,30,0,,0
1,3,1,20181,0,,,0,67,470011,25,Icon_Skill_Active_10112,1,2,40,0,,0
1,4,1,20181,0,,,0,67,470011,30,Icon_Skill_Active_10112,1,2,50,0,,0
2,0,1,20182,1,,,0,68,470012,8,Icon_Skill_Unique_30001,21,22,15,0,,0
2,1,1,20182,1,,,0,68,470012,10,Icon_Skill_Unique_30001,21,22,30,0,,0
2,2,1,20182,1,,,0,68,470012,30,Icon_Skill_Unique_30001,21,22,45,0,,0
2,3,1,20182,1,,,0,68,470012,50,Icon_Skill_Unique_30001,21,22,60,0,,0
2,4,1,20182,1,,,0,68,470012,50,Icon_Skill_Unique_30001,21,22,75,0,,0
3,0,1,20183,1,,,0,68,470013,8,Icon_Skill_Passive_23211,58,253,20,0,,0
3,1,1,20183,1,,,0,68,470013,10,Icon_Skill_Passive_23211,58,253,40,0,,0
3,2,1,20183,1,,,0,68,470013,30,Icon_Skill_Passive_23211,58,253,60,0,,0
3,3,1,20183,1,,,0,68,470013,50,Icon_Skill_Passive_23211,58,253,80,0,,0
3,4,1,20183,1,,,0,68,470013,50,Icon_Skill_Passive_23211,58,253,100,0,,0
4,0,1,20184,0,,,0,67,470014,5,Icon_Skill_Passive_23251,60,253,20,0,,0
4,1,1,20184,0,,,0,67,470014,10,Icon_Skill_Passive_23251,60,253,40,0,,0
4,2,1,20184,0,,,0,67,470014,15,Icon_Skill_Passive_23251,60,253,60,0,,0
4,3,1,20184,0,,,0,67,470014,25,Icon_Skill_Passive_23251,60,253,80,0,,0
4,4,1,20184,0,,,0,67,470014,30,Icon_Skill_Passive_23251,60,253,100,0,,0
5,0,1,20185,0,,,0,67,470015,5,Icon_Skill_Passive_20232,101,253,10,0,,0
5,1,1,20185,0,,,0,67,470015,10,Icon_Skill_Passive_20232,101,253,20,0,,0
5,2,1,20185,0,,,0,67,470015,15,Icon_Skill_Passive_20232,101,253,30,0,,0
5,3,1,20185,0,,,0,67,470015,25,Icon_Skill_Passive_20232,101,253,40,0,,0
5,4,1,20185,0,,,0,67,470015,30,Icon_Skill_Passive_20232,101,253,50,0,,0
6,0,2,20281,0,,,0,67,470021,5,Icon_Skill_Passive_20233,102,253,12,0,,0
6,1,2,20281,0,,,0,67,470021,10,Icon_Skill_Passive_20233,102,253,24,0,,0
6,2,2,20281,0,,,0,67,470021,30,Icon_Skill_Passive_20233,102,253,36,0,,0
6,3,2,20281,0,,,0,67,470021,40,Icon_Skill_Passive_20233,102,253,48,0,,0
6,4,2,20281,0,,,0,67,470021,50,Icon_Skill_Passive_20233,102,253,60,0,,0
7,0,2,20282,0,,,0,67,470022,5,Icon_Skill_Passive_20234,10,253,7,0,,0
7,1,2,20282,0,,,0,67,470022,10,Icon_Skill_Passive_20234,10,253,14,0,,0
7,2,2,20282,0,,,0,67,470022,30,Icon_Skill_Passive_20234,10,253,21,0,,0
7,3,2,20282,0,,,0,67,470022,40,Icon_Skill_Passive_20234,10,253,28,0,,0
7,4,2,20282,0,,,0,67,470022,50,Icon_Skill_Passive_20234,10,253,35,0,,0
8,0,2,20283,0,,,0,67,470023,5,Icon_Skill_Passive_20235,11,253,8,0,,0
8,1,2,20283,0,,,0,67,470023,10,Icon_Skill_Passive_20235,11,253,16,0,,0
8,2,2,20283,0,,,0,67,470023,30,Icon_Skill_Passive_20235,11,253,24,0,,0
8,3,2,20283,0,,,0,67,470023,40,Icon_Skill_Passive_20235,11,253,32,0,,0
8,4,2,20283,0,,,0,67,470023,50,Icon_Skill_Passive_20235,11,253,40,0,,0
9,0,2,20284,1,,,0,68,470024,8,Icon_Skill_Passive_21251,29,253,11,0,,0
9,1,2,20284,1,,,0,68,470024,10,Icon_Skill_Passive_21251,29,253,22,0,,0
9,2,2,20284,1,,,0,68,470024,30,Icon_Skill_Passive_21251,29,253,33,0,,0
9,3,2,20284,1,,,0,68,470024,50,Icon_Skill_Passive_21251,29,253,44,0,,0
9,4,2,20284,1,,,0,68,470024,50,Icon_Skill_Passive_21251,29,253,55,0,,0
10,0,2,20298,3,,,0,70,470025,1,Icon_Skill_Passive_20231,26,253,22,0,,0
10,1,2,20298,3,,,0,70,470025,2,Icon_Skill_Passive_20231,26,253,44,0,,0
10,2,2,20298,3,,,0,70,470025,4,Icon_Skill_Passive_20231,26,253,66,0,,0
10,3,2,20298,3,,,0,70,470025,6,Icon_Skill_Passive_20231,26,253,88,0,,0
10,4,2,20298,3,,,0,70,470025,7,Icon_Skill_Passive_20231,26,253,110,0,,0
11,0,3,30081,2,,,0,69,472001,10,Icon_Skill_Active_10112,1,2,23,0,,0
11,1,3,30081,2,,,0,69,472001,20,Icon_Skill_Active_10112,1,2,46,0,,0
11,2,3,30081,2,,,0,69,472001,50,Icon_Skill_Active_10112,1,2,69,0,,0
11,3,3,30081,2,,,0,69,472001,70,Icon_Skill_Active_10112,1,2,92,0,,0
11,4,3,30081,2,,,0,69,472001,90,Icon_Skill_Active_10112,1,2,115,0,,0
12,0,3,30082,2,,,0,69,472002,10,Icon_Skill_Unique_30001,21,22,26,0,,0
12,1,3,30082,2,,,0,69,472002,20,Icon_Skill_Unique_30001,21,22,52,0,,0
12,2,3,30082,2,,,0,69,472002,50,Icon_Skill_Unique_30001,21,22,78,0,,0
12,3,3,30082,2,,,0,69,472002,70,Icon_Skill_Unique_30001,21,22,104,0,,0
12,4,3,30082,2,,,0,69,472002,90,Icon_Skill_Unique_30001,21,22,130,0,,0
13,0,3,30083,2,,,0,69,472003,10,Icon_Skill_Passive_23211,58,253,40,0,,0
13,1,3,30083,2,,,0,69,472003,20,Icon_Skill_Passive_23211,58,253,80,0,,0
13,2,3,30083,2,,,0,69,472003,50,Icon_Skill_Passive_23211,58,253,120,0,,0
13,3,3,30083,2,,,0,69,472003,70,Icon_Skill_Passive_23211,58,253,160,0,,0
13,4,3,30083,2,,,0,69,472003,90,Icon_Skill_Passive_23211,58,253,200,0,,0
14,0,4,30181,2,,,0,69,472011,20,Icon_Skill_Passive_23251,60,253,40,0,,0
14,1,4,30181,2,,,0,69,472011,40,Icon_Skill_Passive_23251,60,253,80,0,,0
14,2,4,30181,2,,,0,69,472011,80,Icon_Skill_Passive_23251,60,253,120,0,,0
14,3,4,30181,2,,,0,69,472011,120,Icon_Skill_Passive_23251,60,253,160,0,,0
14,4,4,30181,2,,,0,69,472011,140,Icon_Skill_Passive_23251,60,253,200,0,,0
15,0,4,30182,2,,,0,69,472012,20,Icon_Skill_Passive_20232,101,253,21,0,,0
15,1,4,30182,2,,,0,69,472012,40,Icon_Skill_Passive_20232,101,253,42,0,,0
15,2,4,30182,2,,,0,69,472012,80,Icon_Skill_Passive_20232,101,253,63,0,,0
15,3,4,30182,2,,,0,69,472012,120,Icon_Skill_Passive_20232,101,253,84,0,,0
15,4,4,30182,2,,,0,69,472012,140,Icon_Skill_Passive_20232,101,253,105,0,,0
16,0,4,30183,2,,,0,69,472013,20,Icon_Skill_Passive_20233,102,253,25,0,,0
16,1,4,30183,2,,,0,69,472013,40,Icon_Skill_Passive_20233,102,253,50,0,,0
16,2,4,30183,2,,,0,69,472013,80,Icon_Skill_Passive_20233,102,253,75,0,,0
16,3,4,30183,2,,,0,69,472013,120,Icon_Skill_Passive_20233,102,253,100,0,,0
16,4,4,30183,2,,,0,69,472013,140,Icon_Skill_Passive_20233,102,253,125,0,,0
17,0,4,30184,2,,,0,69,472014,20,Icon_Skill_Passive_20234,10,253,26,0,,0
17,1,4,30184,2,,,0,69,472014,40,Icon_Skill_Passive_20234,10,253,52,0,,0
17,2,4,30184,2,,,0,69,472014,80,Icon_Skill_Passive_20234,10,253,78,0,,0
17,3,4,30184,2,,,0,69,472014,120,Icon_Skill_Passive_20234,10,253,104,0,,0
17,4,4,30184,2,,,0,69,472014,140,Icon_Skill_Passive_20234,10,253,130,0,,0
18,0,5,20381,0,,,0,67,470031,10,Icon_Skill_Passive_20235,11,253,23,0,,0
18,1,5,20381,0,,,0,67,470031,20,Icon_Skill_Passive_20235,11,253,46,0,,0
18,2,5,20381,0,,,0,67,470031,40,Icon_Skill_Passive_20235,11,253,69,0,,0
18,3,5,20381,0,,,0,67,470031,60,Icon_Skill_Passive_20235,11,253,92,0,,0
18,4,5,20381,0,,,0,67,470031,70,Icon_Skill_Passive_20235,11,253,115,0,,0
19,0,5,20382,0,,,0,67,470032,10,Icon_Skill_Passive_21251,29,253,13,0,,0
19,1,5,20382,0,,,0,67,470032,20,Icon_Skill_Passive_21251,29,253,26,0,,0
19,2,5,20382,0,,,0,67,470032,40,Icon_Skill_Passive_21251,29,253,39,0,,0
19,3,5,20382,0,,,0,67,470032,60,Icon_Skill_Passive_21251,29,253,52,0,,0
19,4,5,20382,0,,,0,67,470032,70,Icon_Skill_Passive_21251,29,253,65,0,,0
20,0,5,20383,0,,,0,67,470033,10,Icon_Skill_Passive_20231,26,253,16,0,,0
20,1,5,20383,0,,,0,67,470033,20,Icon_Skill_Passive_20231,26,253,32,0,,0
20,2,5,20383,0,,,0,67,470033,40,Icon_Skill_Passive_20231,26,253,48,0,,0
20,3,5,20383,0,,,0,67,470033,60,Icon_Skill_Passive_20231,26,253,64,0,,0
20,4,5,20383,0,,,0,67,470033,70,Icon_Skill_Passive_20231,26,253,80,0,,0
21,0,5,20384,0,,,0,67,470034,10,Icon_Skill_Active_10112,1,2,21,0,,0
21,1,5,20384,0,,,0,67,470034,20,Icon_Skill_Active_10112,1,2,42,0,,0
21,2,5,20384,0,,,0,67,470034,40,Icon_Skill_Active_10112,1,2,63,0,,0
21,3,5,20384,0,,,0,67,470034,60,Icon_Skill_Active_10112,1,2,84,0,,0
21,4,5,20384,0,,,0,67,470034,70,Icon_Skill_Active_10112,1,2,105,0,,0
22,0,5,20385,0,,,0,67,470035,10,Icon_Skill_Unique_30001,21,22,22,0,,0
22,1,5,20385,0,,,0,67,470035,20,Icon_Skill_Unique_30001,21,22,44,0,,0
22,2,5,20385,0,,,0,67,470035,40,Icon_Skill_Unique_30001,21,22,66,0,,0
22,3,5,20385,0,,,0,67,470035,60,Icon_Skill_Unique_30001,21,22,88,0,,0
