Id,GroupType,SubType,Sort,Name,Description,Unit,PageRowCount
1001,0,0,2,전투력,전투력 순위,전투력,20
1002,0,0,8,탈리스만,탈리스만 전투력 순위,전투력,20
1,0,0,1,레벨,캐릭터 레벨 순위,레벨,20
2,0,0,3,물리 공격력,최대 물리 공격력 순위,물리공격력,20
3,0,0,5,물리 방어력,최대 물리 방어력 순위,물리방어력,20
4,0,0,4,마법 공격력,최대 마법 공격력 순위,마법공격력,20
5,0,0,6,마법 방어력,최대 마법 방어력 순위,마법방어력,20
6,0,0,7,HP,최대 HP 순위,HP,20
7,0,0,9,룬 각인,룬 각인 성공 횟수 순위,횟수,20
8,0,0,10,엘릭서,엘릭서 사용 순위,개수,20
9,0,0,11,몬스터 도감,완성한 몬스터 도감 순위,완성수,20
10,0,0,12,레벨 총합,서버 내 캐릭터 레벨 총합 순위,레벨,20
12,1,0,2,명예 점수,누적 명예 점수 순위,점수,20
13,1,0,4,누적 횟수,누적 결투장 횟수 순위,횟수,20
14,1,0,3,누적 승수,누적 결투장 승수 순위,승수,20
15,1,0,5,연승 횟수,최대 연승 횟수 순위,횟수,20
18,2,0,4,주간 공헌도,주간 혈맹 공헌도 개인 순위,공헌도,20
19,2,0,5,누적 공헌도,누적 혈맹 공헌도 개인 순위,공헌도,20
20,2,0,6,공성전 기여도,누적 공성전 기여도 개인 순위,기여도,20
21,2,0,7,요새전 기여도,누적 요새전 기여도 개인 순위,기여도,20
22,3,0,1,영웅 업적,영웅 업적 점수 순위,점수,20
27,3,0,4,출석,누적 출석 일수 순위,일수,20
28,4,0,1,최고가 거래,최고가 거래 순위,거래가,20
29,4,0,2,거래 횟수,최대 거래 횟수 순위,횟수,20
30,4,0,3,강화 횟수,최대 강화 횟수 순위,횟수,20
31,4,0,4,동반 강화,최대 동반 강화 순위,적용개수,20
32,4,0,5,합성 횟수,최대 합성 횟수 순위,횟수,20
33,4,0,6,승급 횟수,최대 승급 횟수 순위,횟수,20
34,4,0,7,초월 횟수,최대 초월 횟수 순위,횟수,20
35,5,2,1,오만의 탑,오만의 탑 도달 층수 순위,층수,20
48,6,0,1,혈맹 명성,혈맹 명성 순위,점수,20
49,6,0,2,혈맹 전투력,혈맹 전투력 순위,전투력,20
60,13,0,1,동맹 전투력,동맹 전투력 순위,전투력,20
70,6,0,3,척살 서버 랭킹,척살 서버 랭킹,척살횟수,20
1000,9,0,1,난투장,난투장 순위,점수,100
4000,10,0,1,명예의 전장,명예의 전장 전체 순위,점수,20
4001,10,0,2,명예의 전장,명예의 전장 브론즈 3 순위,점수,20
4002,10,0,3,명예의 전장,명예의 전장 브론즈 2 순위,점수,20
4003,10,0,4,명예의 전장,명예의 전장 브론즈 1 순위,점수,20
4004,10,0,5,명예의 전장,명예의 전장 실버 3 순위,점수,20
4005,10,0,6,명예의 전장,명예의 전장 실버 2 순위,점수,20
4006,10,0,7,명예의 전장,명예의 전장 실버 1 순위,점수,20
4007,10,0,8,명예의 전장,명예의 전장 골드 3 순위,점수,20
4008,10,0,9,명예의 전장,명예의 전장 골드 2 순위,점수,20
4009,10,0,10,명예의 전장,명예의 전장 골드 1 순위,점수,20
4010,10,0,11,명예의 전장,명예의 전장 플래티넘 3 순위,점수,20
4011,10,0,12,명예의 전장,명예의 전장 플래티넘 2 순위,점수,20
4012,10,0,13,명예의 전장,명예의 전장 플래티넘 1 순위,점수,20
4013,10,0,14,명예의 전장,명예의 전장 다이아 3 순위,점수,20
4014,10,0,15,명예의 전장,명예의 전장 다이아 2 순위,점수,20
4015,10,0,16,명예의 전장,명예의 전장 다이아 1 순위,점수,20
4016,10,0,17,명예의 전장,명예의 전장 마스터 순위,점수,20
4017,10,0,18,명예의 전장,명예의 전장 그랜드 마스터 순위,점수,20
4018,10,0,19,명예의 전장,명예의 전장 레전드 순위,점수,20
