Id,EffectType,EffectParam,EffectGrowth1,EffectGrowth2,PointCount
4,44,"0,0,10000,10000",1,1,
6,56,,,,
6,55,,,,
7,23,"20000,20000",1,1,
7,24,"20000,20000",1,1,
8,74,,,,
1001,74,,,,
1002,74,,,,
1003,74,,,,
1004,55,,,,
1004,99,"10000,  10000",,,
1005,55,,,,
1005,99,"10000,  10000",,,
1011,74,,,,
1012,74,,,,
1013,74,,,,
1014,74,,,,
1015,74,,,,
10111,74,,,,
10122,62,"-4000, -5000",1,1,
11211,48,"5000, 7000",,,
112124,76,,,,
112125,1,"-27, -5764",1.3,1,
112126,76,,,,
11213,127,"3000, 5000",1,1,
11213,23,"4000, 6000",1.3,1,
11213,24,"4000, 6000",1.3,1,
11214,184,,1,1,
112141,37,"1500,4000",1,1,
11221,21,"-100, -5150",1.3,1,
11222,74,,,,
112231,104,"3, 3",1,1,
112231,7,"300, 600",1,1,3
112241,104,"2,2",1,1,3
112241,1,"56096,346412",1,1,3
112241,14,"3500,7000",1,1,3
112241,21,"-13265,-73956",1,1,3
11231,31,"-3500, -5000",1,1,
11232,74,,,,
112331,7,"2000, 3000",1,1,
112332,27,"4500, 6500",1,1,
112341,186,,1,1,
112341,237,"60000,102000",1,1,
112341,62,"5000,5000",1,1,
112341,28,"10000,10000",1,1,
112341,7,"4000,4000",1,1,
112341,103,"100,100",1,1,
112341,240,,1,1,
11242,62,"-2000, -5000",1,1,
112424,43,"0,0,1500,3000",1,1,
11243,103,"400, 400",1,1,
11243,3,"3000, 5000",1.4,1,
11243,29,"233, 5317",1.5,1,
11244,10,"260, 14138",1.5,1,
11244,33,"500, 1000",1,1,3
11244,34,"500, 1000",1,1,3
11245,62,"-20000,-20000",1,1,
11251,44,"12, 3016, 100, 100",1.3,1,
112531,65,"-5000,-2000",1,1,
112531,133,"1500,3000",1,1,
112531,2,"472,21000",1,1,
112542,99,"10000,10000",1,1,
112542,79,"10000,10000",1,1,
112542,23,"5000,5000",1,1,
112542,24,"5000,5000",1,1,
112541,74,,,,
112544,74,,,,
112545,74,,,,
11261,74,,,,
11262,46,"582, 34632, 1500, 2500",1.35,1,
11263,181,"56713,378723",1,1,
112634,162,"3500,3500",1,1,
12211,48,"3000, 3000",,,
12212,136,"-5000, -5000",1,1,
122125,62,"-1500,-3000",1,1,
12214,28,"3000,6000",1.3,1,
12214,37,"1500,3000",1,1,
12214,99,"2000,5000",1,1,
122131,55,,,,
122132,62,"3000, 5000",1,1,
122132,7,"1500,3000",1,1,
12221,62,"-2000, -4000",1,1,
122231,1,"331, 18725",1.5,1,
122231,2,"331, 18725",1.5,1,
122231,21,"331, 18725",1.5,1,
122231,22,"331, 18725",1.5,1,
122241,14,"700, 1500",1,1,
122241,9,"1000, 2500",1,1,
122251,140,"3000,3000",1,1,
122251,1,"18698,144338",1,1,
122251,2,"18698,144338",1,1,
122252,140,"5000,5000",1,1,
122252,1,"18698,144338",1,1,
122252,2,"18698,144338",1,1,
12231,23,"-1500, -2500",1,1,
12231,24,"-1500, -2500",1,1,
12231,7,"-2000, -3500",1,1,
12231,62,"-5000, -8000",1,1,
12232,74,,,,
12233,7,"2000, 4000",1,1,
12233,62,"3000, 4500",1,1,
12233,52,"10, 100",1,1,3
12241,14,"100, 2080",1,1,
12242,23,"-500, -1500",1,1,
122431,10,"346, 26720",1.5,1,
122441,62,"3500, 5000",1,1,
122441,7,"1000, 3000",1,1,
12234,74,,,,
12245,197,,,,
122451,16,"9171,36255,6300,7700,9171,36255,6300",1,1,
12251,62,"-4000, -7000",1,1,
12252,62,"-4000, -7000",1,1,
122521,74,,,,
122531,62,"-2000,-4000",1,1,
122614,62,"-1000, -1000",1,1,
122615,38,"-3500, -5000",1,1,
122615,39,"-3500, -5000",1,1,
12263,29,"50, 3000",1.35,1,
122631,70,"3000, 6000",1,1,
12264,23,"4000, 6000",1,1,
12264,24,"4000, 6000",1,1,
12265,99,"3500,8000",1,1,
122651,70,"200000,200000",1,1,
122653,55,,,,
122654,181,"32407,216413",1,1,
13211,23,"-2000, -3000",1,1,
13211,24,"-2000, -3000",1,1,
132113,62,"-2000,-4000",1,1,
13211,76,,,,
132125,74,,,,
132126,76,,,,
132126,79,"10000, 10000",1,1,
13213,23,"2500, 2500",1,1,
13213,24,"2500, 2500",1,1,
13213,21,"1187, 44293",1.5,1,
13213,22,"1187, 44293",1.5,1,
13213,114,132132,1.5,1,
132132,62,"-5000, -5000",1,1,
132141,1,"12465,96225",1,1,
132141,2,"12465,96225",1,1,
132141,7,"1500,3500",1,1,
132141,52,"300,900",1,1,
132142,48,"-10000,-10000",1,1,
132144,167,0,,,
132145,167,0,,,
13222,62,"-4000, -5000",1,1,
132221,62,"1000, 2500",1,1,
132231,1,"510, 28808",1.5,1,
132241,7,"2000, 3000",1,1,
13225,99,"10000,10000",1,1,
13225,62,"1000,2500",1,1,
13225,21,"30510,204121",1,1,
13225,37,"1000,2000",1,1,
13231,43,"504, 1152, 3000, 4000",1.3,1,
13232,43,"11, 2306, 100, 100",1.35,1,
132322,74,,,,
132331,9,"10000, 20000",1,1,
132332,14,"10000, 10000",1,1,
13234,58,"27745,2774500",1,1,
13234,1,"1155,115500",1,1,
13234,2,"1155,115500",1,1,
13234,21,"8562,856200",1,1,
13234,22,"8562,856200",1,1,
13234,10,"955,95500",1,1,
13234,11,"1058,105800",1,1,
13234,29,"834,83400",1,1,
13234,26,"896,89600",1,1,
13234,101,"922,92200",1,1,
13234,51,"455,45500",1,1,
13234,131,"300000,300000",1,1,
13234,132,"-30000,-30000",1,1,
13234,37,"4000,4000",1,1,
13234,55,,,,
13234,7,"5000,5000",1,1,
13242,74,,,,
13243,7,"4000, 5000",1,1,
13244,1,"955, 40341",1.5,1,
13244,27,"-3000, -3000",1,1,
132454,1,"16662,80682",1,1,
13251,62,"-1000, -3970",1,1,
13252,23,"-2000, -3000",1.3,1,
13252,24,"-2000, -3000",1.3,1,
13252,62,"-4000, -5000",1,1,
132531,2,"1276, 57616",1.5,1,
132541,162,"10000,10000",1,1,
132541,58,"36741,3674100",1,1,
132541,1,"1545,154500",1,1,
132541,2,"1545,154500",1,1,
132541,21,"16754,1675400",1,1,
132541,22,"16754,1675400",1,1,
132541,10,"955,95500",1,1,
132541,11,"1058,105800",1,1,
132541,29,"834,83400",1,1,
132541,26,"896,89600",1,1,
132541,101,"922,92200",1,1,
132541,51,"367,36700",1,1,
132541,131,"300000,300000",1,1,
132541,132,"-12000,-12000",1,1,
132541,37,"4000,4000",1,1,
132541,7,"5000,5000",1,1,
132541,99,"10000,10000",1,1,
132623,62,"-3500,-5000",1,1,
132625,128,,,,
132542,76,,,,
1325412,62,"-2500,-2500",1,1,
132624,33,"100, 2100",1,1,
132631,2,"637,28808",1,1,
132631,52,"300,600",1,1,
132632,115,"13264, 0",,,
132633,32,"1000,2000",1,1,
132651,153,"99,99",1,1,
132651,1,"22438,138564",1,1,
132651,2,"22438,138564",1,1,
132651,114,13266,1,1,
132661,55,,,,
132663,181,"44072,223632",1,1,
14211,23,"-2000, -3000",1,1,
14211,24,"-2000, -3000",1,1,
14211,76,,,,
14212,74,,,,
14213,3,"-2000, -2000",,,
14213,4,"-2000, -2000",,,
14214,58,"26534,202174",1,1,
14214,37,"2000,4000",1,1,
14214,1,"18698,163583",1,1,
14214,32,"1000,3000",1,1,
14222,74,,,,
14223,1,"1114, 57616",1.5,1,
14223,37,"1000, 3500",1,1,
14224,74,,,,
14231,15,"-1500, -3000",1,1,
14232,62,"-2500, -4000",1,1,
142321,128,,,,
142331,89,"2300, 4000",1,1,
142331,62,"1000, 2000",1,1,
142331,114,24233,,,
14234,31,"-10000,-10000",1,1,
142341,74,,,,
142351,43,"66111,463939,95000,161500",1,1,
142352,128,,1,1,
242331,43,"2865, 25935",1.3,1,
242332,62,"-2500, -4000",1,1,
14241,43,"477, 4322, 1000, 2000",1.3,1,
14242,62,"-4000, -5000",1,1,
142421,114,142422,,,
142422,103,"200, 500",1,1,
14251,74,,,,
142531,237,"1500, 3000",1,1,
142531,37,"500, 1500",1,1,
1425423,181,"33208,222165",1,1,
142542,62,"-2500,-2500",1,1,
142543,62,"-2500,-2500",1,1,
142544,62,"-2500,-2500",1,1,
142545,62,"-2500,-2500",1,1,
14261,21,"594, 9284",1.3,1,
14261,22,"594, 9284",1.3,1,
14262,74,,,,
142631,58,"1336,70120",1.5,1,
142631,59,"500, 1500",1,1,
14264,21,"33163,221870",1,1,
14264,22,"33163,221870",1,1,
20211,21,"445, 13130",1.8,1,
20211,22,"445, 13130",1.8,1,
20221,1,"383, 11411",1.8,1,
20221,2,"383, 11411",1.8,1,
20231,62,"1000, 2500",1,1,
20241,29,"1137,34992",1.5,1,
20251,9,"3000, 10000",1,1,
20261,58,"582, 17143",1.8,1,
21212,21,"53062,354994",1,1,
21212,22,"53062,354994",1,1,
21221,1,"24, 1989",1.5,1,
21223,1,"18698,125093",1,1,
21223,7,"1000,2500",1,1,
212232,55,,,,
21231,70,"1000, 3000",1,1,
212311,1,"268, 7987",1.8,1,
21232,62,"1500,1500",1,1,
21232,7,"1000,2000",1,1,
21232,10,"11435,92448",1,1,
21241,62,"-2000, -4000",1,1,
21242,43,"1, 1, 2000, 4000",1,1,
