Id,Title,Name,NameEN,Grade,Type,InteractionType,ScaleFactor,VisibleLevel,Level,BasicAttackSkillInfoIdList,CreateSkillInfoId,IgnoreHitAnim,Aggressive,Movable,Rotatable,IsMonster,SpawnAnim,DisableSpawnVFX,SpawnVFX,HitFX,HitSocket,HitSound,BP_Name,IconTexture,QuestOnly,AppearanceScenePlay,IsBoss,MonsterCoreItemInfoId,RaceType,RaceIconPath,JobIconPath,CutSceneType,UseMatineeActor,MonsterType,MonsterGrade,InteractionVoiceID,QuestFinishVoiceID,IconTexture2,IconTitle,MinimapMark
1,,하기오스 스킬 테스트용,CrumaCore_NoDeath,3,17,24,1,0,174,,,1,1,0,0,1,,0,,,,,BP_CrumaCore_NoDeath, Icon_MonsterCore_Sample,0,0,1,,1,Icon_Ability_MagicalCreature,,,1,2,3,0,0,,,0
2,,하기오스 AI 테스트용,Trisha,3,17,24,1,0,174,,,1,1,1,1,1,,0,,,,,BP_Trisha,Icon_MonsterCore_Trisha,0,0,1,,1,Icon_Ability_MagicalCreature,Icon_Ability_Boss,,1,2,3,0,0,,,0
19,,회복의 샘,HealingFountain,5,6,24,1,0,70,,401,0,0,0,0,0,,0,,,,,BP_HealingFountain, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
31,,레드팀 서쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
32,,레드팀 동쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
33,,레드팀 성물 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
34,,블루팀 서쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
35,,블루팀 동쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
36,,블루팀 성물 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
20,,회복의 샘,HealingFountain,5,6,24,1,0,70,,401,0,0,0,0,0,,0,,,,,BP_HealingFountain, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
37,,레드팀 서쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
38,,레드팀 동쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
39,,레드팀 성물 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
40,,블루팀 서쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
41,,블루팀 동쪽 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
42,,블루팀 성물 방어탑,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
43,,클래스 변경 수정,ClassTransform_Crystal,5,17,24,1,0,70,,,0,0,0,0,0,,0,,,,,BP_FreeFortress_GadgetName_ClassCrystal,,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
44,,클래스 변경 수정,ClassTransform_Crystal,5,17,24,1,0,70,,,0,0,0,0,0,,0,,,,,BP_FreeFortress_GadgetName_ClassCrystal,,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
45,,바람의 제단,WindOfAltar,5,17,24,1,0,70,,,0,0,0,0,0,,0,,,,,BP_FreeFortress_GadgetName_Altar,,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
46,,대지의 제단,GroundOfAlar,5,17,24,1,0,70,,,0,0,0,0,0,,0,,,,,BP_FreeFortress_GadgetName_Altar,,0,0,0,,7,Icon_Ability_None,,,1,5,7,0,0,,,0
101,,중앙 공성기지,CastleSiege_GuardTower,5,4,24,1,0,116,80009,,0,1,0,0,1,,0,,,,,BP_CastleSiege_GuardTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
102,,동쪽 공성기지,CastleSiege_GuardTower,5,4,24,1,0,116,80009,,0,1,0,0,1,,0,,,,,BP_CastleSiege_GuardTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
103,,서쪽 공성기지,CastleSiege_GuardTower,5,4,24,1,0,116,80009,,0,1,0,0,1,,0,,,,,BP_CastleSiege_GuardTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
104,,중앙 외성문,CastleSiege_CastleGate,5,3,24,1,0,116,,451,0,0,0,0,1,,0,,,,,BP_CastleSiege_CastleGate, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
105,,동쪽 외성문,CastleSiege_CastleGate,5,3,24,1,0,116,,451,0,0,0,0,1,,0,,,,,BP_CastleSiege_CastleGate, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
106,,서쪽 외성문,CastleSiege_CastleGate,5,3,24,1,0,116,,451,0,0,0,0,1,,0,,,,,BP_CastleSiege_CastleGate, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
107,,정문 왼쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
108,,정문 오른쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
109,,알현실문 왼쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
110,,알현실문 오른쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
115,,불의 문 왼쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
116,,불의 문 오른쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
117,,물의 문 왼쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
118,,물의 문 오른쪽 방어탑 ,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,0,0,0,,7,Icon_Ability_None,,,0,5,7,0,0,,,0
