Index,Id,Name,BoxType,BoxItemInfoId,MinItemCount
1,910002,깜짝 상자1,2,440001,1
1000,910003,깜짝 상자2,0,440001,1
2000,910004,강화주문서 묶음 상자,0,410001,1
2001,910004,강화주문서 묶음 상자,0,410002,1
2002,910004,강화주문서 묶음 상자,0,410003,1
3000,910005,축복받은 강화주문서 묶음 상자,0,410011,1
3001,910005,축복받은 강화주문서 묶음 상자,0,410012,1
3002,910005,축복받은 강화주문서 묶음 상자,0,410013,1
4000,910006,승급석 묶음 상자,0,420001,1
4001,910006,승급석 묶음 상자,0,420002,1
4002,910006,승급석 묶음 상자,0,420003,1
5000,910007,약초 묶음 상자,0,450001,1
5001,910007,약초 묶음 상자,0,450002,1
5002,910007,약초 묶음 상자,0,450003,1
5003,910007,약초 묶음 상자,0,450004,1
6000,910008,엘릭서 정수 묶음 상자,0,452001,1
6001,910008,엘릭서 정수 묶음 상자,0,452002,1
6002,910008,엘릭서 정수 묶음 상자,0,452003,1
6003,910008,엘릭서 정수 묶음 상자,0,452004,1
7000,910012,정원의 수호자의 축복,2,450001,1
7001,910012,정원의 수호자의 축복,2,450002,1
7002,910012,정원의 수호자의 축복,2,450003,1
7003,910012,정원의 수호자의 축복,2,450004,1
7004,910012,정원의 수호자의 축복,2,452001,1
7005,910012,정원의 수호자의 축복,2,452002,1
7006,910012,정원의 수호자의 축복,2,452003,1
7007,910012,정원의 수호자의 축복,2,452004,1
7008,910012,정원의 수호자의 축복,2,450001,1
7009,910012,정원의 수호자의 축복,2,450002,1
7010,910012,정원의 수호자의 축복,2,450003,1
7011,910012,정원의 수호자의 축복,2,450004,1
8000,910309,붉은 스타 스톤 상자,1,490049,1
8001,910309,붉은 스타 스톤 상자,1,490049,3
8002,910309,붉은 스타 스톤 상자,1,490049,5
8003,910309,붉은 스타 스톤 상자,1,490049,7
8004,910309,붉은 스타 스톤 상자,1,490049,10
8005,910309,붉은 스타 스톤 상자,1,490049,12
8006,910309,붉은 스타 스톤 상자,1,490049,15
8007,910309,붉은 스타 스톤 상자,1,490049,20
8008,910309,붉은 스타 스톤 상자,1,490049,30
8009,910309,붉은 스타 스톤 상자,1,490049,50
9000,910101,C 등급 장비 상자,1,110010,1
9001,910101,C 등급 장비 상자,1,110020,1
9002,910101,C 등급 장비 상자,1,110030,1
9003,910101,C 등급 장비 상자,1,120010,1
9004,910101,C 등급 장비 상자,1,120020,1
9005,910101,C 등급 장비 상자,1,120030,1
9006,910101,C 등급 장비 상자,1,130010,1
9007,910101,C 등급 장비 상자,1,130020,1
9008,910101,C 등급 장비 상자,1,130030,1
9009,910101,C 등급 장비 상자,1,140010,1
9010,910101,C 등급 장비 상자,1,140020,1
9011,910101,C 등급 장비 상자,1,140030,1
9012,910101,C 등급 장비 상자,1,150010,1
9013,910101,C 등급 장비 상자,1,150020,1
9014,910101,C 등급 장비 상자,1,150030,1
9015,910101,C 등급 장비 상자,1,160010,1
9016,910101,C 등급 장비 상자,1,160020,1
9017,910101,C 등급 장비 상자,1,160030,1
9018,910101,C 등급 장비 상자,1,110050,1
9019,910101,C 등급 장비 상자,1,120050,1
9020,910101,C 등급 장비 상자,1,130050,1
9021,910101,C 등급 장비 상자,1,140050,1
9022,910101,C 등급 장비 상자,1,150050,1
9023,910101,C 등급 장비 상자,1,160050,1
9078,910101,C 등급 장비 상자,1,110070,1
9079,910101,C 등급 장비 상자,1,120070,1
9080,910101,C 등급 장비 상자,1,130070,1
9081,910101,C 등급 장비 상자,1,140070,1
9082,910101,C 등급 장비 상자,1,150070,1
9083,910101,C 등급 장비 상자,1,160070,1
