Id,Type,Grade,Name,ActivityType,ActivityVolatile,ActivityCondition1,ActivityCondition2,StatType1,StatValue1,StatType2,StatValue2,StatType3,StatValue3,StatType4,StatValue4,BattlePointRating,TitleIcon,TitleIcon2,FontColor,Description,DisplayHide
1000100,1,0,모험의 시작,9,0,10000000,3,44,147,172,0,172,0,172,0,220,UI_CharacterTitle01,,B7B7B7FF,모험을 시작한 용사에게 주어지는 첫 칭호입니다.,0
1000200,0,0,기부천사,0,0,50710,3,46,147,172,0,172,0,172,0,147,UI_CharacterTitle01,,B7B7B7FF,업적 '나의 것은 우리의 것 (10단계)' 를 완료 시 활성 됩니다.,0
1000300,0,0,개근상,0,0,21410,3,41,78,172,0,172,0,172,0,15,UI_CharacterTitle01,,B7B7B7FF,업적 '보고 있어도 보고싶은 (10단계)' 를 완료 시 활성 됩니다.,0
1000400,0,0,사랑과 우정사이,0,0,50310,3,50,78,172,0,172,0,172,0,11,UI_CharacterTitle01,,B7B7B7FF,업적 '내 친구에게는 아깝지 않아 (10단계)' 를 완료 시 활성 됩니다.,0
1000500,0,0,재벌 1세,0,0,40110,3,23,147,172,0,172,0,172,0,147,UI_CharacterTitle01,,B7B7B7FF,업적 '티끌은 소용 없다 (10단계)' 를 완료 시 활성 됩니다.,0
1000600,0,0,몬스터 헌터,0,0,10110,3,20,147,172,0,172,0,172,0,147,UI_CharacterTitle01,,B7B7B7FF,업적 '무차별 사냥꾼 (11단계)' 를 완료 시 활성 됩니다.,0
1000700,1,0,견습 검투사,14,1,10000000,3,44,164,172,0,172,0,172,0,246,UI_CharacterTitle01,,B7B7B7FF,"명예의 전장에서 '실버1' 리그로 승격 시 활성 됩니다.
(조건을 유지하는 동안에만 칭호를 보유 할 수 있으며,
새 시즌 시작 시, 다시 조건을 달성해야 활성 됩니다.)",0
1000800,1,0,하급 승부사,1,0,10000,3,46,164,172,0,172,0,172,0,164,UI_CharacterTitle01,,B7B7B7FF,결투장 랭킹 10000위 이내에 도달 시 활성 됩니다.,0
1000900,1,0,힘의 추종자,9,0,10000,3,41,87,172,0,172,0,172,0,17,UI_CharacterTitle01,,B7B7B7FF,전투력 랭킹 10000위 이내에 도달 시 활성 됩니다.,0
1001000,1,0,수습 탐구자,8,0,10000,3,50,87,172,0,172,0,172,0,13,UI_CharacterTitle01,,B7B7B7FF,레벨 랭킹 10000위 이내에 도달 시 활성 됩니다.,0
1001200,0,0,육성의 달인,0,0,42110,3,20,147,172,0,172,0,172,0,147,UI_CharacterTitle01,,B7B7B7FF,업적 '사료가 아닙니다 (10단계)' 를 완료 시 활성 됩니다.,0
1001300,0,0,소울 헌터,0,0,41210,3,44,173,172,0,172,0,172,0,259,UI_CharacterTitle01,,B7B7B7FF,업적 '빛나는 것들은 많아 (10단계)' 를 완료 시 활성 됩니다.,0
1001400,0,0,포펫 운영자,0,0,32810,3,46,173,172,0,172,0,172,0,173,UI_CharacterTitle01,,B7B7B7FF,업적 '애정을 듬뿍 담아 (10단계)' 를 완료 시 활성 됩니다.,0
1001500,0,0,콜렉터,0,0,30110,3,41,92,172,0,172,0,172,0,18,UI_CharacterTitle01,,B7B7B7FF,업적 '고물상은 아니지만 (10단계)' 를 완료 시 활성 됩니다.,0
1001600,0,0,연금술사,0,0,41310,3,50,92,172,0,172,0,172,0,13,UI_CharacterTitle01,,B7B7B7FF,업적 '나를 빛나게 해주는 것 (10단계)' 를 완료 시 활성 됩니다.,0
1001700,0,0,듀얼리스트,0,0,11510,3,23,173,172,0,172,0,172,0,173,UI_CharacterTitle01,,B7B7B7FF,업적 '승리의 징표 (10단계)' 를 완료 시 활성 됩니다.,0
1001800,0,0,뽑기의 달인,0,0,21210,3,20,173,172,0,172,0,172,0,173,UI_CharacterTitle01,,B7B7B7FF,업적 '운이 실력일 리 없어 (10단계)' 를 완료 시 활성 됩니다.,0
1001900,0,0,코어 헌터,0,0,41410,3,44,170,172,0,172,0,172,0,255,UI_CharacterTitle01,,B7B7B7FF,업적 '전리품 수집 (10단계)' 를 완료 시 활성 됩니다.,0
1400100,0,0,시즌2 슈퍼 루키,16,0,1201101,3,46,170,172,0,172,0,172,0,170,UI_CharacterTitle01,,B7B7B7FF,"'명예의 전장 시즌2 루키의 징표' 를 사용 시 활성 됩니다.
(해당 징표는 명예의 전장 시즌2 종료 후, '실버3' 리그 이상으로 진입한 용사에게 지급 됩니다.)",1
1400200,0,0,시즌3 슈퍼 루키,16,0,1201102,3,41,90,172,0,172,0,172,0,18,UI_CharacterTitle01,,B7B7B7FF,"'명예의 전장 시즌3 루키의 징표' 를 사용 시 활성 됩니다.
(해당 징표는 명예의 전장 시즌3 종료 후, '실버3' 리그 이상으로 진입한 용사에게 지급 됩니다.)",0
1400300,0,0,시즌4 슈퍼 루키,16,0,1201103,3,50,90,172,0,172,0,172,0,13,UI_CharacterTitle01,,B7B7B7FF,"'명예의 전장 시즌4 루키의 징표' 를 사용 시 활성 됩니다.
(해당 징표는 명예의 전장 시즌4 종료 후, '실버3' 리그 이상으로 진입한 용사에게 지급 됩니다.)",1
2000100,1,1,전문 검투사,14,1,10000000,3,0,146,1,146,172,0,172,0,730,UI_CharacterTitle02,,D2FFA5FF,"명예의 전장에서 '플래티넘1' 리그로 승격 시 활성 됩니다.
(조건을 유지하는 동안에만 칭호를 보유 할 수 있으며,
새 시즌 시작 시, 다시 조건을 달성해야 활성 됩니다.)",0
2000200,1,1,상급 승부사,1,0,5000,3,16,168,17,168,172,0,172,0,504,UI_CharacterTitle02,,D2FFA5FF,결투장 랭킹 5000위 이내에 도달 시 활성 됩니다.,0
2000300,1,1,빼어난 강자,9,0,5000,3,44,246,41,122,172,0,172,0,393,UI_CharacterTitle02,,D2FFA5FF,전투력 랭킹 5000위 이내에 도달 시 활성 됩니다.,0
2000400,1,1,고위 탐구자,8,0,5000,3,46,246,50,122,172,0,172,0,264,UI_CharacterTitle02,,D2FFA5FF,레벨 랭킹 5000위 이내에 도달 시 활성 됩니다.,0
2000600,0,1,몬스터 다이어리,0,0,21010,3,34,6,20,236,172,0,172,0,251,UI_CharacterTitle02,,D2FFA5FF,업적 '절규의 땅 지역 도감 ' 를 완료 시 활성 됩니다.,0
