EventId,EventGroupId,DiceRewardType,BoardId,RewardItemType,RewardItemInfoId,RewardItemCount,EventItemPeriodId
301,3,1,1,0,,,0
302,3,1,2,6,400001,200,0
303,3,1,3,6,400002,30,0
304,3,1,4,6,490005,500,0
305,3,1,5,6,440002,10,0
306,3,1,6,6,440012,10,0
307,3,1,7,6,911083,1,0
308,3,1,8,6,490049,20,0
309,3,1,9,1,,10000,0
310,3,1,10,6,490066,30,0
311,3,1,11,6,1000101,1,0
312,3,1,12,6,510105,100,0
313,3,1,13,6,510104,100,0
314,3,1,14,6,490066,30,0
315,3,1,15,6,1000102,2,0
316,3,1,16,6,400001,200,0
317,3,1,17,6,911083,1,0
318,3,1,18,6,911001,1,0
319,3,1,19,6,910308,3,0
320,3,1,20,6,910007,5,0
321,3,1,21,1,,10000,0
322,3,1,22,6,490049,20,0
323,3,1,23,1,,10000,0
324,3,1,24,6,490066,30,0
325,3,1,25,6,510105,150,0
326,3,1,26,6,510104,150,0
327,3,1,27,6,911002,1,0
328,3,1,28,6,910222,1,0
329,300,100,1,6,900011,1,0
330,300,100,2,1,,30000,0
331,300,100,3,6,510104,500,0
332,300,100,4,6,911048,3,0
333,300,100,5,6,400000,1,0
334,300,100,6,6,510105,1000,0
335,300,100,7,6,910222,1,0
336,300,100,8,1,,50000,0
337,300,100,9,6,911048,5,0
338,300,100,10,2,,800,0
339,300,100,11,1,,50000,0
340,300,100,12,6,910222,1,0
341,300,100,13,1,,100000,0
342,300,100,14,6,900011,3,0
343,300,100,15,6,400000,2,0
401,4,1,1,0,,,0
402,4,1,2,6,911048,1,0
403,4,1,3,6,911048,1,0
404,4,1,4,6,911048,2,0
405,4,1,5,1,,10000,0
406,4,1,6,6,910217,1,0
407,4,1,7,6,910217,1,0
408,4,1,8,6,910217,2,0
409,4,1,9,1,,10000,0
410,4,1,10,6,911041,1,0
411,4,1,11,6,910220,1,0
412,4,1,12,6,910221,1,0
413,4,1,13,6,910220,2,0
414,4,1,14,6,910221,2,0
415,4,1,15,6,490027,1,0
416,4,1,16,6,910221,1,0
417,4,1,17,1,,10000,0
418,4,1,18,6,910221,2,0
419,4,1,19,1,,10000,0
420,4,1,20,6,911021,1,0
421,4,1,21,1,,10000,0
422,4,1,22,6,910237,1,0
423,4,1,23,1,,10000,0
424,4,1,24,6,910237,2,0
425,4,1,25,6,490027,1,0
426,4,1,26,6,910237,1,0
427,4,1,27,1,,30000,0
428,4,1,28,6,490037,1,0
429,400,100,1,6,919138,1,0
430,400,100,2,1,,100000,0
431,400,100,3,6,911025,1,0
432,400,100,4,6,400000,1,0
433,400,100,5,2,,1000,0
434,400,100,6,6,910237,3,0
435,400,100,7,6,490038,1,0
436,400,100,8,1,,150000,0
437,400,100,9,6,910237,5,0
438,400,100,10,6,400000,3,0
501,5,1,1,0,,,0
502,5,1,2,6,900006,1,0
503,5,1,3,6,911022,1,0
504,5,1,4,6,481104,1,0
505,5,1,5,6,481103,1,0
506,5,1,6,6,481103,1,0
507,5,1,7,6,490027,1,0
508,5,1,8,6,900006,1,0
509,5,1,9,6,481103,1,0
510,5,1,10,6,481104,1,0
511,5,1,11,6,481103,1,0
512,5,1,12,6,481103,1,0
513,5,1,13,6,911022,1,0
514,5,1,14,6,481103,1,0
515,5,1,15,6,900006,1,0
516,5,1,16,6,481104,1,0
517,5,1,17,6,481103,1,0
518,5,1,18,6,900006,1,0
519,5,1,19,6,490027,1,0
520,5,1,20,6,481104,1,0
521,5,1,21,6,481103,1,0
522,5,1,22,6,911022,1,0
523,5,1,23,6,900006,1,0
524,5,1,24,6,481104,1,0
525,5,1,25,6,481103,1,0
526,5,1,26,6,481104,1,0
527,5,1,27,6,900006,1,0
528,5,1,28,6,490037,1,0
529,500,100,1,6,911025,1,0
530,500,100,2,6,481106,1,0
531,500,100,3,6,490026,1,0
532,500,100,4,6,400000,1,0
533,500,100,5,6,911034,2,0
534,500,100,6,6,910237,5,0
535,500,100,7,6,490038,1,0
536,500,100,8,6,481106,1,0
537,500,100,9,6,400000,3,0
538,500,100,10,6,911018,1,0
