GuildRecordType,GroupType,GuildRecordString
0,2,[Param1] 혈맹원이 [Param2] 아데나를 기부했습니다.
1,2,[Param1] 혈맹원이 [Param2] 피의 증거를 기부했습니다. 
2,1,혈맹 버프 [Param1]가 [Param2] 레벨이 되었습니다.
3,1,<FontYellow>혈맹 레벨이 [Param1] 레벨이 되었습니다.</>
4,5,[Param1] 혈맹과의 <FontRed>전쟁이 선포</> 되었습니다.
6,5,[Param1] 혈맹이 동맹에 <FontBlue>합류</>하였습니다.  
7,5,[Param1] 혈맹과의 동맹이 <FontRed>파기</>되었습니다.
8,1,[Param1] 혈맹원께서 [Param2] 등급이 되었습니다.
10,1,[Param1] 님께서 혈맹에 <FontBlue>가입</> 했습니다.
11,1,[Param1] 님이 혈맹에서 <FontRed>탈퇴</> 했습니다.
12,4,<FontYellow>[Param1]에서 세금으로 다이아 상자 [Param2]개를 징수했습니다.</>
13,3,혈맹 던전 <FontBlue>[Param1]</> 공략에 성공했습니다.
14,3,혈맹 업적 <FontGreen>[Param1]</> 공략에 성공했습니다.
15,3,<FontYellow>[Param1]의 주인이 되었습니다.</>
16,3,<FontYellow>[Param1]의 주인이 되었습니다.</>
17,4,[Param1] 혈맹원에게 [Param2] [Param3]개를 <FontGreen>선물</>했습니다.
18,4,[Param1] 혈맹원에게 [Param2] [Param3]개를 <FontBlue>포상</>했습니다.
19,4,모든 혈맹원에게 [Param1][Param2]개를 <FontBlue>포상</>했습니다.
20,5,[Param1] 혈맹과의 전쟁에서 <FontBlue>승리</>했습니다.
21,5,[Param1] 혈맹과의 전쟁에서 <FontRed>패배</>했습니다.
22,5,[Param1] 혈맹과의 전쟁에서 무승부했습니다.
23,4,[Param1]군주가 공성 상점에서 [Param2]을 구매했습니다.
24,2,[Param1] 혈맹원이 [Param2] 붉은 스타 스톤을 기부했습니다.
9,1,[Param1]님에서 [Param2]님께 <FontRed>군주 자동 위임</>.
25,1,<FontYellow>혈맹 아지트를 구매하였습니다.</>
26,1,<FontYellow>혈맹 아지트가 [Param1] 레벨이 되었습니다.</>
27,1,<FontYellow>결속의 수정이 [Param1] 레벨로 성장했습니다.</>
28,3,[Param1]의 소유권을 포기할 예정입니다.
29,3,[Param1]의 소유권을 포기했습니다.
30,5,[Param1] 혈맹과의 전쟁이 합의하에 종료되었습니다.
32,5,[Param1] 동맹을 <FontBlue>창설</>하였습니다.
33,5,[Param1] 동맹에 <FontBlue>합류</>하였습니다.
34,5,[Param1] 동맹을 <FontRed>탈퇴</>하였습니다.
35,5,"[Param1] 동맹이 <FontRed>해산</>되어, 역사 속으로 사라집니다."
37,5,[GuildName] 혈맹으로부터 [Count]명의 요새전 용병을 지원받았습니다.
39,5,[GuildName] 혈맹으로부터 [Count]명의 공성전 용병을 지원받았습니다.
36,5,[GuildName] 혈맹의 요새전에 [Count]명의 용병을 파견했습니다.
38,5,[GuildName] 혈맹의 공성전에 [Count]명의 용병을 파견했습니다.
40,3,[Name1]님께서 [Name2]님을 척살했습니다.
