Id,ContentShow,Name,Difficulty,RecommendedAttack,RecommendedDefense,RecommendedPower,Type,IntParam,RecommendedPC,RecommendedLevel,EnterLevelRestriction,BackgroundImage,WorldId,RepresentRewardId,RepresentRewardName,RepresentRewardDescription,RepresentRewardIconPath,RepresentRewardID1,RepresentRewardCount1,RepresentRewardID2,RepresentRewardCount2,RepresentRewardID3,RepresentRewardCount3,AddSubLevel,Description,ResetGemType,ResetGemCount,SubLevelForLight,BGM,ConflictRegular,HardMode,RecommendedAbilityType,RecommendedAbilityPower,SummonMonsterInfo,MidBossAbilityType,LastBossAbilityType
200,1,엘프의 유적지 1층,1,1605,2174,11600,1,1,,,16,Texture/Image_Dungeon_Elite_01,200,1,,,,400002,,490049,,3001,,,"엘프가 휴먼에게 마법을 가르치던 학교로, 휴먼은 마법 에너지가 가득한 이곳에서 대륙의 주인이 될 반석을 세웠습니다.",25,,,,0,,6,,,6,6
201,1,엘프의 유적지 2층,1,4872,6195,26700,1,2,,,20,Texture/Image_Dungeon_Elite_01,201,3,,,,400002,,490049,,3001,,,"엘프가 주인이던 시절, 실력이 아주 뛰어난 휴먼에게만 개방하던 층으로 1층보다 강한 마법 에너지가 작용합니다.",25,,,,0,,6,,,6,6
202,1,개미굴 지하 1층,1,7732,9597,70300,1,3,,,30,Texture/Image_Dungeon_Elite_02,202,5,,,,400002,,490049,,3001,,,흑마법으로 인한 대폭발로 생겨난 황무지에 적응하여 살아남은 거대 개미들의 굴입니다.,25,,,,0,,6,,,6,6
203,1,개미굴 지하 2층,1,10974,13466,130700,1,4,,,45,Texture/Image_Dungeon_Elite_02,203,7,,,,400002,,490049,,3001,,,"개미들이 소중한 것을 숨기기 위해 더욱 복잡한 미로로 이루어져, 개미가 아니라면 길을 찾기 매우 어렵습니다.",25,,,,0,,6,,,6,6
204,1,크루마 탑 2층,1,15561,18975,205900,1,5,,,65,Texture/Image_Dungeon_Elite_03,204,8,,,,400002,,490049,,3001,,,고대 거인들이 새로운 생명을 만들어내기 위한 생체연구를 진행하던 이동요새 겸 연구소로 연구실 보호를 위한 공간입니다.,25,,,,0,,6,,,6,6
205,1,크루마 탑 3층,1,20870,25349,279700,1,6,,,90,Texture/Image_Dungeon_Elite_03,205,9,,,,400002,,490049,,3001,,,"본래 탑의 목적대로 생체연구가 진행되었던 연구실이 많은 층으로, 거인들의 마법 에너지가 가득합니다.",25,,,,0,,6,,,6,6
206,1,상아탑 지하 1층,1,26875,32560,336200,1,7,,,128,Texture/Image_Dungeon_Elite_04,206,10,,,,400002,,490049,,3001,,,"운석 네뷸라이트가 떨어지며 생겨난 공간이며 과거 연구실 겸 도서관이었으나, 마법사의 폭주 사건으로 폐쇄된 곳입니다.",25,,,,0,,6,,,6,6
207,1,상아탑 지하 2층,1,33559,40585,384500,1,8,,,140,Texture/Image_Dungeon_Elite_04,207,10,,,,400002,,490049,,3001,,,"연금술 실험실이 있던 공간이었으나, 현재는 바닥을 뚫고 자란 딱딱한 광물 같은 버섯들이 가득 자란 공간입니다.",25,,,,0,,6,,,6,6
208,1,상아탑 지하 3층,1,26875,32560,462500,1,9,,,162,Texture/Image_Dungeon_Elite_04,208,10,,,,400002,,490049,,3001,,,"운석 네뷸라이트가 있는 장소이며, 네뷸라이트의 영향으로 강화된 마물들이 미쳐 날뛰는 공간입니다.",25,,,,0,,6,,,6,6
209,1,상아탑 지하 연구소,1,,,660500,1,10,,,182,Texture/Image_Dungeon_Elite_04,209,15,,,,400002,,490049,,1000103,,,"네뷸라이트에 미쳐 인체 실험을 진행했던 어느 상아탑 마법사의 연구소이자 그의 봉인지로, 실험체들이 득시글거립니다.",25,,,,1,,6,,,6,6
