SetId,Name,CardSetLevel,SetMaxLevel,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4,EffectType5,EffectParam5,EffectType6,EffectParam6,EffectType7,EffectParam7,EffectType8,EffectParam8,EffectType9,EffectParam9,EffectType10,EffectParam10
1,날카로운 이빨들,0,5,1,0,2,0,21,0,22,0,58,0,60,0,101,0,102,0,10,0,11,0
1,날카로운 이빨들,1,5,1,8,2,8,21,14,22,14,58,9,60,11,101,4,102,4,10,6,11,6
1,날카로운 이빨들,2,5,1,16,2,16,21,28,22,28,58,18,60,23,101,9,102,9,10,12,11,12
1,날카로운 이빨들,3,5,1,24,2,24,21,42,22,42,58,28,60,34,101,14,102,14,10,18,11,18
1,날카로운 이빨들,4,5,1,32,2,32,21,56,22,56,58,37,60,46,101,19,102,19,10,24,11,24
1,날카로운 이빨들,5,5,1,41,2,41,21,70,22,70,58,47,60,58,101,24,102,24,10,31,11,31
6,전설의 명사수,0,5,1,0,2,0,21,0,22,0,58,0,60,0,101,0,102,0,10,0,11,0
6,전설의 명사수,1,5,1,32,2,32,21,55,22,55,58,36,60,45,101,19,102,19,10,24,11,24
6,전설의 명사수,2,5,1,64,2,64,21,110,22,110,58,73,60,90,101,38,102,38,10,49,11,49
6,전설의 명사수,3,5,1,96,2,96,21,165,22,165,58,110,60,135,101,57,102,57,10,74,11,74
6,전설의 명사수,4,5,1,128,2,128,21,220,22,220,58,147,60,180,101,76,102,76,10,99,11,99
6,전설의 명사수,5,5,1,160,2,160,21,276,22,276,58,184,60,226,101,95,102,95,10,124,11,124
10,고르곤 여왕의 일가,0,5,1,0,2,0,21,0,22,0,58,0,60,0,101,0,102,0,10,0,11,0
10,고르곤 여왕의 일가,1,5,1,44,2,44,21,75,22,75,58,50,60,62,101,26,102,26,10,34,11,34
10,고르곤 여왕의 일가,2,5,1,88,2,88,21,151,22,151,58,101,60,124,101,52,102,52,10,68,11,68
10,고르곤 여왕의 일가,3,5,1,132,2,132,21,227,22,227,58,152,60,186,101,78,102,78,10,102,11,102
10,고르곤 여왕의 일가,4,5,1,176,2,176,21,303,22,303,58,203,60,248,101,104,102,104,10,136,11,136
10,고르곤 여왕의 일가,5,5,1,220,2,220,21,379,22,379,58,254,60,311,101,131,102,131,10,171,11,171
14,이계의 악마,0,5,1,0,2,0,21,0,22,0,58,0,60,0,101,0,102,0,10,0,11,0
14,이계의 악마,1,5,1,57,2,57,21,99,22,99,58,66,60,81,101,34,102,34,10,44,11,44
14,이계의 악마,2,5,1,115,2,115,21,198,22,198,58,132,60,162,101,68,102,68,10,89,11,89
14,이계의 악마,3,5,1,172,2,172,21,298,22,298,58,199,60,244,101,103,102,103,10,133,11,133
14,이계의 악마,4,5,1,230,2,230,21,397,22,397,58,265,60,325,101,137,102,137,10,178,11,178
14,이계의 악마,5,5,1,288,2,288,21,497,22,497,58,332,60,407,101,172,102,172,10,223,11,223
15,아덴의 고위 용족,0,5,1,0,2,0,21,0,22,0,58,0,60,0,101,0,102,0,10,0,11,0
15,아덴의 고위 용족,1,5,1,66,2,66,21,114,22,114,58,76,60,93,101,39,102,39,10,51,11,51
15,아덴의 고위 용족,2,5,1,132,2,132,21,228,22,228,58,152,60,187,101,78,102,78,10,102,11,102
15,아덴의 고위 용족,3,5,1,198,2,198,21,342,22,342,58,229,60,280,101,118,102,118,10,154,11,154
15,아덴의 고위 용족,4,5,1,264,2,264,21,456,22,456,58,305,60,374,101,157,102,157,10,205,11,205
15,아덴의 고위 용족,5,5,1,331,2,331,21,571,22,571,58,382,60,468,101,197,102,197,10,257,11,257
18,치명적인 아름다움,0,5,1,0,2,0,21,0,22,0,58,0,60,0,101,0,102,0,10,0,11,0
18,치명적인 아름다움,1,5,1,82,2,82,21,141,22,141,58,94,60,116,101,49,102,49,10,63,11,63
18,치명적인 아름다움,2,5,1,164,2,164,21,283,22,283,58,189,60,232,101,98,102,98,10,127,11,127
18,치명적인 아름다움,3,5,1,246,2,246,21,425,22,425,58,284,60,348,101,147,102,147,10,191,11,191
18,치명적인 아름다움,4,5,1,328,2,328,21,567,22,567,58,379,60,464,101,196,102,196,10,255,11,255
18,치명적인 아름다움,5,5,1,411,2,411,21,709,22,709,58,474,60,581,101,245,102,245,10,319,11,319
