Id,Difficulty,ClearRankScore,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,0,0,1,911006,2,,,,
2,0,40,2,911006,4,,,,
3,0,55,3,911006,6,,,,
4,0,65,4,911006,8,,,,
5,0,75,5,911006,10,,,,
6,0,85,6,911006,12,,,,
7,1,0,1,911006,8,,,,
8,1,40,2,911006,10,,,,
9,1,55,3,911006,12,,,,
10,1,65,4,911006,14,,,,
11,1,75,5,911006,16,,,,
12,1,85,6,911006,18,,,,
13,2,0,1,911006,14,,,,
14,2,40,2,911006,16,,,,
15,2,55,3,911006,18,,,,
16,2,65,4,911006,20,,,,
17,2,75,5,911006,22,,,,
18,2,85,6,911006,24,,,,
19,3,0,1,911006,20,,,,
20,3,40,2,911006,22,,,,
21,3,55,3,911006,24,,,,
22,3,65,4,911006,26,,,,
23,3,75,5,911006,28,,,,
24,3,85,6,911006,30,,,,
25,4,0,1,911006,30,,,,
26,4,40,2,911006,32,,,,
27,4,55,3,911006,34,,,,
28,4,65,4,911006,36,,,,
29,4,75,5,911006,38,,,,
30,4,85,6,911006,40,,,,
