Id,GroupType,Title,Desc,TaskType,TaskCondition,TaskCount,RewardActivityPoint,RewardGroupId
5,0,안 사면 손해,무료 상자 3회 구입,44,,3,10,4
6,0,오만의 탑 도전자,오만의 탑 소탕,93,,1,20,5
7,0,우정을 다져보자!,친구와 인사하기로 우정 20P 획득,183,,20,30,10
8,0,봉인된 기억의 성소로!,오늘의 요일던전 1회 공략 성공,95,All,1,30,1
10,0,왕성한 혈맹 활동!,혈맹 기부 1회,163,,1,20,9
11,0,진정한 실력자!,결투장 3회 도전,141,,3,50,6
12,0,혈맹 활동의 기본!,혈맹 출석하기,162,,1,10,11
14,0,일일 퀘스트 수행!,일일 퀘스트 12회 완료 하기,130,,12,50,2
15,0,주간 퀘스트 수행!,주간 퀘스트 10회 완료 하기,131,,10,60,2
17,0,정예 던전 탐험!,정예 던전 퀘스트 1회 완료 하기,100,,1,60,13
20,0,마법의 약초를 모으자!,채집던전에서 20회 채집하기,97,,20,40,8
22,0,장비의 제왕,프리미엄 장비 1회 구입,45,Advanced,1,20,3
35,0,장비 던전 탐험!,장비 던전 1회 완료 하기,101,All,1,30,13
36,0,아데나 던전 탐험!,아데나 던전 1회 완료 하기,102,All,1,25,1
37,0,경험치 던전 탐험!,경험치 던전 1회 완료 하기,103,All,1,25,1
38,0,소환석 던전 탐험!,소환석 던전 1회 완료 하기,109,All,1,30,13
