Id,Type,UiType,Priority,IsAllScenePrint,FormatKey1,FormatKey2,FormatKey3,FormatKey4
1,1,BP_BroadCastMessageUI,1,1,BROADCAST_CHARACTER_LEVELUP,,BROADCAST_CHARACTER_LEVELUP_GUILD,
2,2,BP_BroadCastMessageUI,1,1,BROADCAST_INFINITYFLOOR_CLEAR,,BROADCAST_INFINITYFLOOR_CLEAR_GUILD,
3,9,BP_BroadCastMessageUI,1,1,BROADCAST_ACQUIRE_ITEMGRADE,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER,BROADCAST_ACQUIRE_ITEMGRADE_GUILD,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER_GUILD
4,10,BP_BroadCastMessageUI,1,1,BROADCAST_ACQUIRE_ITEMGRADE,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER,BROADCAST_ACQUIRE_ITEMGRADE_GUILD,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER_GUILD
5,11,BP_BroadCastMessageUI,1,1,BROADCAST_ITEM_ENCHANT_SUCCESS,,BROADCAST_ITEM_ENCHANT_SUCCESS_GUILD,
6,12,BP_BroadCastMessageUI,1,1,BROADCAST_ITEM_ENCHANT_FAIL,,BROADCAST_ITEM_ENCHANT_FAIL_GUILD,
7,13,BP_BroadCastMessageUI,1,1,BROADCAST_ITEM_LIMITBREAK_COUNT,,BROADCAST_ITEM_LIMITBREAK_COUNT_GUILD,
8,20,BP_BroadCastMessageUI,1,1,BROADCAST_ACHIEVEMENT_LEVEL,,BROADCAST_ACHIEVEMENT_LEVEL_GUILD,
9,21,BP_BroadCastMessageUI,1,1,BROADCAST_PVP_HONOR_RANK,,BROADCAST_PVP_HONOR_RANK_GUILD,
10,22,BP_BroadCastMessageUI,5,1,BROADCAST_PVP_WIN_RANK,,BROADCAST_PVP_WIN_RANK_GUILD,
11,23,BP_BroadCastMessageUI,1,1,BROADCAST_SHOPREWARD_DAILYCHARGE,,BROADCAST_SHOPREWARD_DAILYCHARGE_GUILD,
12,24,BP_BroadCastMessageUI,1,1,BROADCAST_SHOPREWARD_DAILYCONSUME,,BROADCAST_SHOPREWARD_DAILYCONSUME_GUILD,
13,25,BP_BroadCastMessageUI,1,0,BROADCAST_CLASS_TRANSFER,,BROADCAST_CLASS_TRANSFER_GUILD,
14,3,BP_BroadCastMessageUI,1,1,BROADCAST_FIRST_GUILD_LEVELUP,,,
15,30,BP_BroadCastMessageUI,5,1,BROADCAST_CASTLESIEGE_ATTACK_WIN,,,
16,31,BP_BroadCastMessageUI,5,1,BROADCAST_CASTLESIEGE_DEFENCE_WIN,,,
17,40,BP_BroadCastMessageUI,5,1,BROADCAST_BATTLEFIELD_RANK_WIN,,BROADCAST_BATTLEFIELD_RANK_WIN_GUILD,
18,41,BP_BroadCastMessageUI,5,1,BROADCAST_BATTLEFIELD_RANK_WIN,,BROADCAST_BATTLEFIELD_RANK_WIN_GUILD,
19,43,BP_BroadCastMessageUI,5,1,BROADCAST_BATTLEFIELD_BEFORE_START,,,
20,44,BP_BroadCastMessageUI,5,1,BROADCAST_BATTLEFIELD_START,,,
21,45,BP_BroadCastMessageUI,5,1,BROADCAST_BATTLEFIELD_DAILY_END_RANK,,BROADCAST_BATTLEFIELD_DAILY_END_RANK_GUILD,
23,15,BP_BroadCastMessageUI,1,1,BROADCAST_CAPE_LIMITBREAK_COUNT,,BROADCAST_CAPE_LIMITBREAK_COUNT_GUILD,
24,14,BP_BroadCastMessageUI,1,1,BROADCAST_PET_LIMITBREAK_COUNT,,BROADCAST_PET_LIMITBREAK_COUNT_GUILD,
25,32,BP_StabMessageUI,1,1,BROADCAST_STAB_PROCLAIM_ALL,BROADCAST_STAB_PROCLAIM_TARGET,,
26,33,BP_StabMessageUI,1,1,BROADCAST_STAB_FAIL_ALL,BROADCAST_STAB_FAIL_TARGET,,
27,34,BP_StabMessageUI,1,1,BROADCAST_STAB_SUCCESS_ALL,BROADCAST_STAB_SUCCESS_TARGET,,
28,35,BP_StabMessageUI,1,1,BROADCAST_STAB_PERFORM_ALL,BROADCAST_STAB_PERFORM_TARGET,,
