Id,Group,WorldId,SortNum,WorldGroupId,RewardType,EffectType,RewardQuantity,RewardIndex,PromotePoint,RewardProgress,RewardIcon
10101,1,1,1,1,6,1,1,910301,48,,
10201,2,2,2,1,6,1,2,910301,60,,
10301,3,200,3,2,6,1,1,910302,72,,
10401,4,201,4,2,6,1,2,910302,84,,
10501,5,3,5,3,6,1,3,910301,96,,
10601,6,4,6,3,6,1,4,910301,121,,
10701,7,5,7,3,6,1,5,910301,145,,
10801,8,6,8,3,6,1,6,910301,169,,
10901,9,202,9,4,6,1,3,910302,193,,
11001,10,203,10,4,6,1,4,910302,217,,
11101,11,7,11,5,6,1,7,910301,253,,
11201,12,8,12,5,6,1,8,910301,289,,
11301,13,9,13,5,6,1,9,910301,325,,
11401,14,10,14,5,6,1,10,910301,362,,
11501,15,204,15,6,6,1,5,910302,398,,
11601,16,205,16,6,6,1,6,910302,446,,
11701,17,11,17,7,6,1,7,910302,494,,
11801,18,12,18,7,6,1,8,910302,542,,
11901,20,13,19,7,6,1,9,910302,590,,
12001,21,14,20,7,6,1,10,910302,639,,
12101,19,206,21,8,6,1,9,910302,880,,
12201,22,207,22,8,6,1,10,910302,940,,
12301,23,208,23,8,6,1,11,910302,940,,
12302,29,209,24,8,6,1,10,910302,940,,
12401,24,15,25,9,6,1,10,910302,699,,
12501,25,16,26,9,6,1,10,910302,759,,
12601,26,17,27,9,6,1,10,910302,819,,
12701,27,210,28,10,6,1,10,910302,940,,
12801,28,211,29,10,6,1,10,910302,940,,
12802,30,212,30,10,6,1,10,910302,940,,
13101,31,18,31,11,6,1,10,910302,1012,,
13201,32,19,32,11,6,1,10,910302,1012,,
13301,33,20,33,11,6,1,10,910302,1012,,
13401,34,213,34,12,6,1,10,910302,1012,,
13501,35,214,35,12,6,1,10,910302,1012,,
13601,36,215,36,12,6,1,10,910302,1012,,
99999,999,400,999,13,0,1,,,,,
100000,2000,403,2000,,0,1,,,,,
