Id,SkillId,CollisionUnitGroup,CollisionUnitType,CollisionUnitParam,TargetType,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2,PointCount
11,1,,6,,12,16,,"0,0,30000,30000",,,
12,1,,6,,12,25,,,,,
21,2,,6,,12,47,,"4653,2000,0,0,360",,,
22,2,,6,,12,47,,"4653,2000,0,0,360",,,
23,2,,6,,12,47,,"4653,2000,0,0,360",,,
24,2,,6,,12,47,,"4653,2000,0,0,360",,,
25,2,,6,,12,47,,"4653,2000,0,0,360",,,
26,2,,6,,12,47,,"4653,2000,0,0,360",,,
31,3,,6,,12,47,,"4654,2000,0,0,360",,,
32,3,,6,,12,47,,"4654,2000,0,0,360",,,
33,3,,6,,12,47,,"4654,2000,0,0,360",,,
41,4,,6,,12,17,,"0,0,30000,30000",,,
42,4,,6,,12,8,,4,,,
51,5,,6,,12,25,,,,,
61,6,,6,,12,8,,6,,,
71,7,,6,,12,8,,7,,,
81,8,,6,,12,8,,8,,,
11011,1101,,6,,12,16,,"0,0,6720,6720",1,1,
11021,1102,,6,,12,16,,"0,0,5712,5712",1,1,
11031,1103,,6,,12,16,,"0,0,6720,6720",1,1,
11041,1104,,6,,12,16,,"0,0,5712,5712",1,1,
11051,1105,,6,,12,16,,"0,0,5712,5712",1,1,
11061,1106,,6,,12,16,,"0,0,12768,12768",1,1,
11062,1106,,6,,12,8,공통 넉다운,1002,,,
12011,1201,,6,,12,16,,"0,0,5712,5712",1,1,
12021,1202,,6,,12,16,,"0,0,4368,4368",1,1,
12031,1203,,6,,12,16,,"0,0,5712,5712",1,1,
12041,1204,,6,,12,16,,"0,0,6384,6384",1,1,
12051,1205,,6,,12,16,,"0,0,7392,7392",1,1,
12061,1206,,6,,12,16,,"0,0,13104,13104",1,1,
12062,1206,,6,,12,8,공통 넉다운,1002,,,
13011,1301,,6,,12,16,,"0,0,5040,5040",1,1,
13021,1302,,6,,12,16,,"0,0,5712,5712",1,1,
13031,1303,,6,,12,16,,"0,0,5040,5040",1,1,
13041,1304,,6,,12,16,,"0,0,8400,8400",1,1,
13051,1305,,6,,12,16,,"0,0,6048,6048",1,1,
13061,1306,,6,,12,16,,"0,0,12768,12768",1,1,
13062,1306,,6,,12,8,공통 넉다운,1002,,,
14011,1401,,6,,12,16,,"0,0,7728,7728",1,1,
14021,1402,,6,,12,16,,"0,0,5712,5712",1,1,
14031,1403,,6,,12,16,,"0,0,4704,4704",1,1,
14041,1404,,6,,12,16,,"0,0,5712,5712",1,1,
14051,1405,,6,,12,16,,"0,0,6720,6720",1,1,
14061,1406,,6,,12,16,,"0,0,15120,15120",1,1,
14062,1406,,6,,12,8,공통 넉다운,1002,,,
21011,2101,,6,,12,16,,"0,0,10150,10150",1,1,
21021,2102,,6,,12,16,,"0,0,5950,5950",1,1,
21031,2103,,6,,12,16,,"0,0,5950,5950",1,1,
21041,2104,,6,,12,16,,"0,0,8050,8050",1,1,
21051,2105,,6,,12,16,,"0,0,11200,11200",1,1,
21061,2106,,6,,12,16,,"0,0,13300,13300",1,1,
21062,2106,,6,,12,8,공통 넉다운,1002,,,
22011,2201,,6,,12,16,,"0,0,5250,5250",1,1,
22021,2202,,6,,12,16,,"0,0,4546,4546",1,1,
22031,2203,,6,,12,16,,"0,0,6300,6300",1,1,
22041,2204,,6,,12,16,,"0,0,8746,8746",1,1,
22051,2205,,6,,12,16,,"0,0,9450,9450",1,1,
22061,2206,,6,,12,16,,"0,0,16096,16096",1,1,
22062,2206,,6,,12,8,공통 넉다운,1002,,,
23011,2301,,6,,12,16,,"0,0,5595,5595",1,1,
23021,2302,,6,,12,16,,"0,0,4199,4199",1,1,
23031,2303,,6,,12,16,,"0,0,4545,4545",1,1,
23041,2304,,6,,12,16,,"0,0,11201,11201",1,1,
23051,2305,,6,,12,16,,"0,0,11547,11547",1,1,
23061,2306,,6,,12,16,,"0,0,12250,12250",1,1,
23062,2306,,6,,12,8,공통 넉다운,1002,,,
24011,2401,,6,,12,16,,"0,0,5950,5950",1,1,
24021,2402,,6,,12,16,,"0,0,11200,11200",1,1,
24031,2403,,6,,12,16,,"0,0,5950,5950",1,1,
24041,2404,,6,,12,16,,"0,0,10150,10150",1,1,
24051,2405,,6,,12,16,,"0,0,7000,7000",1,1,
24061,2406,,6,,12,16,,"0,0,15400,15400",1,1,
24062,2406,,6,,12,8,공통 넉다운,1002,,,
31011,3101,,6,,12,16,,"0,0,5950,5950",1,1,
31021,3102,,6,,12,16,,"0,0,5950,5950",1,1,
31031,3103,,6,,12,16,,"0,0,4901,4901",1,1,
31041,3104,,6,,12,16,,"0,0,7000,7000",1,1,
31051,3105,,6,,12,16,,"0,0,8050,8050",1,1,
31061,3106,,6,,12,16,,"0,0,4901,4901",1,1,
31071,3107,,6,,12,16,,"0,0,7000,7000",1,1,
31081,3108,,6,,12,16,,"0,0,11198,11198",1,1,
31082,3108,,6,,12,8,공통 넉다운,1002,,,
32011,3201,,6,,12,16,,"0,0,4200,4200",1,1,
32021,3202,,6,,12,16,,"0,0,7350,7350",1,1,
32031,3203,,6,,12,16,,"0,0,10500,10500",1,1,
32041,3204,,6,,12,16,,"0,0,4900,4900",1,1,
32051,3205,,6,,12,16,,"0,0,6300,6300",1,1,
32061,3206,,6,,12,16,,"0,0,6650,6650",1,1,
32071,3207,,6,,12,16,,"0,0,6300,6300",1,1,
32081,3208,,6,,12,16,,"0,0,8750,8750",1,1,
32082,3208,,6,,12,8,공통 넉다운,1002,,,
33011,3301,,6,,12,16,,"0,0,5250,5250",1,1,
33021,3302,,6,,12,16,,"0,0,4900,4900",1,1,
