Lv,MaximumGuildMemberCount,GuildWarehouseCount,NextLevelNeedExp,AssignableAssistantMaster,AssignableKnightsLeader,AssignableRoyalGuardLeader,PresentCount,PrizeCount,FortressMercenaryCount,CastleMercenaryCount
1,15,30,6930,0,0,0,3,5,1,1
2,16,30,30624,0,0,0,3,5,1,1
3,17,30,80784,1,0,0,3,5,1,1
4,18,30,144936,1,0,0,3,5,1,1
5,20,40,264000,1,1,0,5,5,1,1
6,21,40,373464,1,1,0,5,10,1,1
7,22,40,511632,1,1,0,5,10,1,1
8,23,40,692208,1,1,0,5,15,1,1
9,24,40,853632,1,1,0,5,15,1,1
10,26,50,1067040,1,2,1,7,20,2,2
11,27,50,1338120,1,2,1,7,20,2,2
12,28,50,1585920,1,2,1,7,25,2,2
13,29,50,1847880,1,2,1,7,25,2,2
14,30,50,2124000,1,2,1,7,30,2,2
15,32,60,2718720,1,3,1,10,30,4,4
16,33,60,2803680,1,3,1,10,35,4,4
17,34,60,3370080,1,3,1,10,35,4,4
18,35,60,3964800,1,3,1,10,40,4,4
19,36,60,4587840,1,3,1,10,40,4,4
20,38,70,5380800,1,3,2,12,45,6,6
21,39,70,6074640,1,3,2,12,45,6,6
22,40,70,6796800,1,3,2,12,50,6,6
23,41,70,7547280,1,3,2,12,50,6,6
24,42,70,8326080,1,3,2,12,55,6,6
25,44,80,9345600,1,3,2,12,55,8,8
26,45,80,10195200,1,3,2,15,60,8,8
27,46,80,11073120,1,3,2,15,60,8,8
28,47,80,11979360,1,3,2,15,65,8,8
29,48,80,12234240,1,3,2,15,65,8,8
30,50,90,0,1,3,2,15,70,10,10
