Id,BookLevel,TalismanId,RequiredQuantity,EffectType1,EffectParam1,EffectType2,EffectParam2
1,1,1400006,60,10,212,253,
1,2,1400006,90,10,424,253,
1,3,1400006,120,10,636,253,
1,4,1400006,150,10,848,253,
1,5,1400006,180,10,1060,253,
2,1,1400007,78,26,314,253,
2,2,1400007,117,26,629,253,
2,3,1400007,156,26,944,253,
2,4,1400007,195,26,1259,253,
2,5,1400007,234,26,1574,253,
3,1,1400029,42,60,157,253,
3,2,1400029,63,60,315,253,
3,3,1400029,84,60,473,253,
3,4,1400029,105,60,631,253,
3,5,1400029,126,60,789,253,
4,1,1400033,42,29,146,253,
4,2,1400033,63,29,292,253,
4,3,1400033,84,29,439,253,
4,4,1400033,105,29,585,253,
4,5,1400033,126,29,732,253,
5,1,1400021,7,21,136,22,136
5,2,1400021,10,21,272,22,272
5,3,1400021,14,21,408,22,408
5,4,1400021,17,21,544,22,544
5,5,1400021,21,21,680,22,680
6,1,1400013,3,101,122,253,
6,2,1400013,4,101,244,253,
6,3,1400013,6,101,366,253,
6,4,1400013,7,101,488,253,
6,5,1400013,9,101,610,253,
7,1,1400017,3,102,120,253,
7,2,1400017,4,102,241,253,
7,3,1400017,6,102,362,253,
7,4,1400017,7,102,483,253,
7,5,1400017,9,102,604,253,
8,1,1401006,4,11,212,253,
8,2,1401006,6,11,424,253,
8,3,1401006,8,11,636,253,
8,4,1401006,10,11,848,253,
8,5,1401006,12,11,1060,253,
9,1,1400034,100,29,209,253,
9,2,1400034,150,29,419,253,
9,3,1400034,200,29,629,253,
9,4,1400034,250,29,839,253,
9,5,1400034,300,29,1049,253,
10,1,1400025,5,58,154,253,
10,2,1400025,7,58,309,253,
10,3,1400025,10,58,464,253,
10,4,1400025,12,58,618,253,
10,5,1400025,15,58,773,253,
11,1,1400002,7,1,160,2,160
11,2,1400002,10,1,321,2,321
11,3,1400002,14,1,481,2,481
11,4,1400002,17,1,642,2,642
11,5,1400002,21,1,803,2,803
