Id,Menu,MenuName,GuildMenu,WarMenu,AgitMenu,EtcMenu
1,6,가입 방식 변경,1,0,0,0
1,7,혈맹 홍보,1,0,0,0
1,8,혈맹 공지 수정,1,0,0,0
1,9,혈맹 소개 수정,1,0,0,0
1,10,가입 신청 관리,1,0,0,0
1,11,혈맹원 등급 관리,1,0,0,0
1,12,혈맹원 추방,1,0,0,0
1,13,혈맹원 초대,1,0,0,0
1,14,혈맹 문장 변경,1,0,0,0
1,24,혈맹 업적 선택,1,0,0,0
1,20,포상,1,0,0,0
2,15,요새전 입찰,0,1,0,0
2,16,공성전 입찰,0,1,0,0
2,17,동맹 관리,0,1,0,0
2,18,적대 관리,0,1,0,0
2,31,동맹용병 관리,0,1,0,0
2,30,척살 선포,0,1,0,0
3,3,아지트 레벨업,0,0,1,0
3,5,결속의 수정 레벨업,0,0,1,0
3,4,관리인 고용,0,0,1,0
3,0,벽난로 관리,0,0,1,0
3,1,오픈 설정,0,0,1,0
3,2,외부인 추방,0,0,1,0
3,25,아지트 소환,0,0,1,0
3,26,혈맹퀘스트 완료,0,0,1,0
4,21,혈맹버프 레벨업,0,0,0,1
4,23,혈맹버프 사용,0,0,0,1
4,22,지휘채팅,0,0,0,1
4,27,혈맹던전 초기화,0,0,0,1
4,28,혈맹던전 기타기능,0,0,0,1
4,29,혈맹망토 관리,0,0,0,1
