Id,GroupId,RequiredId,RequiredGuildLevel,AchievementGroupType,Name,Desc,TaskType,TaskCount,PlayerRewardType1,PlayerRewardInfold1,PlayerRewardCount1,PlayerRewardType2,PlayerRewardInfold2,PlayerRewardCount2,GuildRewardType1,GuildRewardInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardInfold2,GuildRewardCount2,RewardBloodCrystal,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
1,1,,1,7,피를 나눈 사이,혈맹에서 출석 체크를 9회 이상 하세요.,162,9,1,,1000,6,490022,1,10,,15000,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
2,1,1,1,7,피를 나눈 사이,혈맹에서 출석 체크를 28회 이상 하세요.,162,28,1,,2000,6,490022,1,5,,2500,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
3,1,2,1,7,피를 나눈 사이,혈맹에서 출석 체크를 40회 이상 하세요.,162,40,1,,3000,6,490022,1,21,,7000,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
4,1,3,1,7,피를 나눈 사이,혈맹에서 출석 체크를 75회 이상 하세요.,162,75,1,,4000,6,490022,3,6,900007,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
5,1,4,1,7,피를 나눈 사이,혈맹에서 출석 체크를 100회 이상 하세요.,162,100,1,,6000,6,490022,3,10,,20000,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
6,1,5,1,7,피를 나눈 사이,혈맹에서 출석 체크를 125회 이상 하세요.,162,125,1,,8000,6,490022,3,5,,5000,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
7,1,6,1,7,피를 나눈 사이,혈맹에서 출석 체크를 180회 이상 하세요.,162,180,1,,10000,6,490022,5,21,,8000,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
8,1,7,1,7,피를 나눈 사이,혈맹에서 출석 체크를 240회 이상 하세요.,162,240,1,,12000,6,490022,5,5,,7000,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
9,1,8,1,7,피를 나눈 사이,혈맹에서 출석 체크를 315회 이상 하세요.,162,315,1,,15000,6,490022,5,6,900007,3,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
11,11,,1,7,같은 피의 전우,혈맹원에게 30번 인사하세요.,166,30,1,,1000,6,490022,1,10,,15000,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
12,11,11,1,7,같은 피의 전우,혈맹원에게 105번 인사하세요.,166,105,1,,2000,6,490022,1,5,,2500,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
13,11,12,1,7,같은 피의 전우,혈맹원에게 200번 인사하세요.,166,200,1,,3000,6,490022,1,21,,7000,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
14,11,13,1,7,같은 피의 전우,혈맹원에게 450번 인사하세요.,166,450,1,,4000,6,490022,3,6,900007,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
15,11,14,1,7,같은 피의 전우,혈맹원에게 800번 인사하세요.,166,800,1,,6000,6,490022,3,10,,20000,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
16,11,15,1,7,같은 피의 전우,혈맹원에게 1250번 인사하세요.,166,1250,1,,8000,6,490022,3,5,,5000,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
