ItemInfold,TalismanType,TalismanColor,StaticEffectType,StaticEffectId,RandomEffectType,RandomEffectId,QualityMax
1400001,1,1,1,800011001,1,800012001,6391
1400002,1,1,1,800021001,1,800022001,9933
1400003,1,1,1,800031001,1,800032001,12981
1400005,1,4,1,800051001,1,800052001,5289
1400006,1,4,1,800061001,1,800062001,8060
1400007,1,4,1,800071001,1,800072001,11033
1400009,1,2,1,800091001,1,800092001,5348
1400010,1,2,1,800101001,1,800102001,8179
1400011,1,2,1,800111001,1,800112001,11204
1400013,1,2,1,800131001,1,800132001,5379
1400014,1,2,1,800141001,1,800142001,8550
1400015,1,2,1,800151001,1,800152001,11421
1400017,1,3,1,800171001,1,800172001,4433
1400018,1,3,1,800181001,1,800182001,7046
1400019,1,3,1,800191001,1,800192001,9518
1400021,1,4,1,800211001,1,800212001,4862
1400022,1,4,1,800221001,1,800222001,8035
1400023,1,4,1,800231001,1,800232001,9893
1400025,1,3,1,800251001,1,800252001,5875
1400026,1,3,1,800261001,1,800262001,9510
1400027,1,3,1,800271001,1,800272001,12002
1400029,1,2,1,800291001,1,800292001,4291
1400030,1,2,1,800301001,1,800302001,7059
1400031,1,2,1,800311001,1,800312001,10909
1400033,1,1,1,800331001,1,800332001,5107
1400034,1,1,1,800341001,1,800342001,8462
1400035,1,1,1,800351001,1,800352001,10695
1401002,2,1,2,10002,2,20001,1462
1401005,2,2,2,10005,2,,474
1401006,2,2,2,10006,2,20004,1462
1401007,2,2,2,10007,2,20005,2844
1401010,2,3,2,10010,2,20007,1462
1401011,2,3,2,10011,2,20008,2844
1401013,2,4,2,10013,2,,441
1401014,2,4,2,10014,2,20010,1360
1410001,1,1,1,810011001,1,810012001,8558
1410002,1,2,1,810021001,1,810022001,8557
1410003,1,3,1,810031001,1,810032001,8560
1410004,1,4,1,810041001,1,810042001,8560
1410005,1,1,1,810051001,1,810052001,8559
1410006,1,2,1,810061001,1,810062001,8585
1410007,1,3,1,810071001,1,810072001,8562
1410008,1,2,1,810081001,1,810082001,8573
1410009,1,3,1,810091001,1,810092001,8576
1410010,1,4,1,810101001,1,810102001,8561
1410011,1,1,1,810111001,1,810112001,8561
1410012,1,2,1,810121001,1,810122001,8560
1410013,1,2,1,810131001,1,810132001,8559
1410014,1,3,1,810141001,1,810142001,8561
1410015,1,1,1,810151001,1,810152001,8565
1410016,1,3,1,810161001,1,810162001,8568
1410017,1,4,1,810171001,1,810172001,8567
1410018,1,1,1,810181001,1,810182001,8941
1410019,1,4,1,810191001,1,810192001,8939
