Id,Type,GroupId,Name,PortraitTexture,Message,Duration,Delay,Sound,GuideOnly
1,0,1,말로,DarkElf_Male_01,"건방진 놈들!
숨통을 끊어주마!",3,,,0
2,0,2,발디르,Human_Male_01,"루시엔!
놈들을 막는동안
마법을 부탁해!",3,,,0
3,0,2,루시엔,Elf_Female_01,"오케이!
끝나면 신호할게요!
조금만 버텨줘요!",3,,,0
4,0,2,발디르,Human_Male_01,"지원은 아직인가?
죽을 각오로 버텨라!",3,6,,0
5,0,2,루시엔,Elf_Female_01,"준비 끝!
비켜서세요!",3,6,,0
6,2,3,,,전설이 된 두 사람이 있다.,1.5,,,0
7,2,3,,,"지금,",1.5,1,,0
8,2,3,,,당신에 의해 전설이 다시 시작된다.,2,1,,0
9,0,4,발디르,Human_Male_01,"수비대장 말로가
쓰러졌다!
성문으로 진격한다!",3,,,0
10,0,5,발디르,Human_Male_01,"적 후속부대다!
물러서지 마라!",3,,,0
11,2,6,,,공격하라!!!!!,0.961,0.712,,0
12,2,6,,,단! 한 놈도! 살려두지 마라!!,2.075,5.606,,0
13,2,6,,,이 항구는 우리가 점령한다!!,2.881,3.284,,0
14,2,7,,,그런 건 말하지 못한다!!!,1.177,0,,0
15,2,7,,,후후후. 네놈 따위가 입을 다물어봐야 소용없다.,3.934,0.572,,0
16,2,7,,,역시..,0.639,7.869,,0
17,2,7,,,엘프의 유적지 쪽인가..,2.657,0,,0
18,2,8,,,조각이 이곳에 반응하는 것 같아요..,1.97,0,,0
19,2,9,,,물건은 준비됐겠지?,1.677,0,,0
20,2,9,,,군장! 말씀하신 물건입니다. ,1.94,0.455,,0
21,2,9,,,좋아!!,0.982,0,,0
22,2,9,,,인간들의 상징 따윈 더 이상 필요없다!,2.406,0.203,,0
23,2,10,,,인간들을 말살하라!!,2.369,1.472,,0
24,2,10,,,뭐지? 분명 이곳에 있었어야 하는데..,2.8,2.297,,0
25,2,10,,,설마!? 함정인 건가!?,1.292,0,,0
26,2,10,,,전군 돌격하라!!!,2.154,1.831,,0
27,2,10,,,말하는 섬을 위하여!!!,2.872,0.897,,0
28,2,11,,,네놈들 따위가 날 잡을 수 있을 거라 생각했나?,3.338,0,,0
29,2,11,,,그랑카인의 권능으로 명하노니,2.28,0,,0
30,2,11,,,나의 부름에 답하거라!,1.344,0.122,,0
31,2,11,,,카르페오스!!!,1.221,0,,0
32,2,11,,,마음껏 날뛰어라!,1.384,4.519,,0
33,2,12,,,아인하사드의 빛이여! ,1.598,0,,0
34,2,12,,,길을 열어주소서!,1.096,0.299,,0
35,2,12,,,저런 마물이...,1.004,17.399,,0
36,2,13,,,아 진짜야! 얼마나 웃겼는데!,1.581,3.076,,0
37,2,13,,,"글쎄, 엄마! 오크야 오크야!",2.905,0.641,,0
38,2,13,,,뭐..뭐야!?,0.555,1.367,,0
39,2,13,,,적들의 습격이다!!,0.812,6.323,,0
40,2,13,,,전투태세를 갖춰라!!,1.495,0,,0
41,2,13,,,절대로!! 이곳을 빼앗길 순 없다!!!,2.649,0,,0
42,2,14,,,역시.. 인간이 개입한 것인가.,2.371,0,,0
43,2,14,,,어서 빨리 이 사실을...,1.869,0,,0
44,2,14,,,호기심이 많을수록 일찍 죽는다던데....,2.946,2.658,,0
45,2,14,,,다크엘프 따위가 비밀을 파헤치려 하다니,2.803,0,,0
46,2,14,,,얘들아~ 마음대로 가지고 놀렴.,2.156,0.359,,0
47,2,14,,,설계도는 반드시 찾아오고~,2.299,0,,0
48,2,15,,,이곳이 분명하지?,1.404,0,,0
49,2,15,,,당신들! 누구시죠?,1.116,0.36,,0
50,2,15,,,이곳은 출입이 금지되어 있으니 돌아가 주세요.,1.944,0.756,,0
51,2,15,,,잠깐!,0.4,0.32,,0
52,2,15,,,우리를 막으려 하다니 귀여운 아가씨네.,3.096,1.152,,0
53,2,15,,,상대를 봐가면서 나서야지. 귀찮게 말이야.,3.204,1.188,,0
54,2,15,,,벌레 같은 것 때문에 시간만 낭비됐네.,3.095,0,,0
55,2,16,,,네놈들은 이곳에서 벗어나지 못할걸?,2.994,0,,0
56,2,16,,,모두 불타버려라!!,0.918,6.667,,0
57,2,17,,,에바여신의 이름으로 명한다.,1.7,7.5,,0
58,2,17,,,정화의 힘이여!!,1.4,0,,0
59,2,17,,,말하는 섬의 악을 멸하여라!!,1.9,0.4,,0
60,2,18,,,호호. 이곳에 물건이 있단 말이지?,1.734,9.149,,0
61,2,18,,,어이 거기~ 빨리 도망가는 게 좋을걸?,3.11,0.717,,0
62,2,18,,,저... 적의 습격이다!!!,2.153,0.06,,0
63,2,18,,,적들의 공격을 막아라!!!,2.033,4.126,,0
64,2,20,,,와이번을 쓰러뜨렸다! 전군 성문으로 돌격!,3.996,0,,0
65,2,21,,,모두 비키세요!!,1.389,0.91,,0
66,2,22,,,킹핀! 공포와 억압의 시대는 이제 끝이다!,3.356,0.427,,0
67,2,22,,,악랄한 너의 혈맹과 함께!,1.892,0.915,,0
68,2,22,,,재미있군. ,1.038,2.013,,0
69,2,22,,,알고 있느냐? ,1.159,0.549,,0
70,2,22,,,네놈이 서있는 그 자리에서 몇 명의 버러지들이 지금 너와 똑같은 말을 내뱉었는지!,5.004,0.427,,0
71,2,22,,,"그리고, 비굴하게 목숨을 구걸하며 무릎을 꿇었는지!",3.356,0.305,,0
72,2,22,,,결국 너도 그 중 하나가 될 것이다!,2.319,0.488,,0
73,2,22,,,아니! 이번엔 네 차례다 킹핀.,2.685,0.854,,0
74,2,22,,,전군!,0.671,1.037,,0
75,2,22,,,공격하라!,1.404,0.244,,0
76,2,24,,,"그 치열했던 시대는 결국 
발디르님이 아덴성을 점령하면서 
종결되었죠.",5.218,0.2,,0
77,2,24,,,앗! 말하는 섬에 벌써 다 왔나 봐요.,3.43,3.652,,0
78,2,24,,,"참 그거 알아요?
은빛용병단의 주역들 모두
말하는섬 출신이라는 거!",5.68,1.62,,0
79,2,24,,,"자! 어서 가요!
다시 아덴대륙의 전설이 될, 
우리의 혈맹을 찾아 떠나보자구요!",6.3,1.4,,0
84,0,51,루시엔,Elf_Female_01,"어서 출발하자!
이쪽이야!",3,,Tutorial_Dialogue_01_2_1,0
87,0,54,루시엔,Elf_Female_01,"지금이야!
성문을 부숴야 해!",3,,Tutorial_Dialogue_01_6_1,0
85,0,52,발디르,Human_Male_01,"병사들은
신호를 하면
들어오도록!",3,,Tutorial_Dialogue_01_7_1,0
88,0,57,경비대장,Officer,"적들을 포위했다.
흔적도 남기지 말고
없애버려라!",6,,Tutorial_Dialogue_01_7_2,0
83,0,50,루시엔,Elf_Female_01,조심해!!! 적의 증원군이야. 이들을 물리치고 진격해야 해.,5.5,,,0
86,0,99999,발디르,Human_Male_01,"이상하군.
생각보다 병력이 적어!",3,,,0
89,0,99999,루시엔,Elf_Female_01,"함정이에요!
아군 병사들의
지원이 필요해요!",4.5,,,0
90,0,99999,발디르,Human_Male_01,"이런!
병사들은 진격하라!",5,,,0
91,0,99999,엘핀,Dwarf_Female_01,"발디르! 성의
수호탑이 작동을
시작 했어요.",3.5,,,0
92,0,99999,엘핀,Dwarf_Female_01,"아!.. 안돼!!
동료들이
쓰러지고 있어요!!",5,,,0
93,0,99999,엘핀,Dwarf_Female_01,"어서 저 수호탑을 
파괴해야 겠어요!",2,,,0
94,0,99999,엘핀,Dwarf_Female_01,"이대로라면 
모두 당해버릴 꺼예요!!!",3,,,0
95,0,99999,혁명군 병사,CityGuard_01,"마.. 말로다!
적혈맹 부군주
말로가 나타났다!",6.5,,,0
96,0,99999,말로,DarkElf_Male_02,"크흑. 이런 벌레
같은 것들에게
패하다니. ",7,,,0
97,0,99999,말로,DarkElf_Male_02,"하지만, 네놈들도
킹핀님 앞에선...
크흐으으으~",6.5,,,0
98,0,99999,엘핀,Dwarf_Female_01,"발디르! 시간이
없어요! 서둘러
수호탑을 파괴해야
해요!",8,1.5,Mini_Tutorial_01_9,0
99,0,101,어둠의 군주,Icon_MonsterCore_DarkLord,"어둠에 잠식되거라
애송아...",3,1.5,,0
100,0,102,고르사우르,Icon_MonsterCore_Boreas,"인육 냄새가 
나는구나!! 누가 
방해하는 게냐?",3,,,0
102,0,104,니아,Student_01_02,"유물이 사라졌어요!
무슨 일이 
벌어진 거죠?",3,,,0
103,0,105,니아,Student_01_02,"아빠의 망토예요!
제발...
무사하셔야 할 텐데!",3,,,0
104,0,106,페르넬,Fernel,"이상하다고
생각하나?",3,,,0
105,0,106,페르넬,Fernel,"마을에선 발각될
수 있다는 것은
나도 알고 있는데,",3,,,0
106,0,106,페르넬,Fernel,"대체 왜 그들이 
이리로 갔는지
도통 모르겠네.",3,,,0
107,0,106,페르넬,Fernel,"일단 확실히 마을로
갔는지 경비병에게
물어보세.",3,,,0
108,0,107,유진,Noble_02,"오크들이네!
결계석 접근을
막아야 해!",3,,,0
109,0,108,유진,Noble_02,"큰일날뻔했군.
어서 이동하세.",3,,,0
110,0,109,케이브 키퍼,Icon_MonsterCore_SerpentSlave,"쉬이익!
기다리고 있었다!",2,,,0
112,0,111,러셀,ArmorMerchant_01,"저기 저 흑마법사!
기습 때 봤던 자군!
놓치면 안 돼!",2,,,0
113,0,111,흑마법사,DarkAssociation,"귀찮은 녀석이구나!
정말이지
용서할 수가 없군!!",2,,,0
114,0,111,흑마법사,DarkAssociation,"어둠의 결사의
앞길을 막는 자는
모두 처단한다!!",2,,,0
115,0,111,오크 호위병,Icon_MonsterCore_TurekOrcSkirmisher,"저쪽이다!
어둠의 결사님을
지켜라!",2,,,0
118,0,113,정화의 요정,Resident_03,"시간이 얼마 없어요.
점점 제 에너지가
사라지고 있어요.",3,,,0
119,0,113,정화의 요정,Resident_03,"이대로 가면 결국
섬은 어둠 에너지로
뒤덮일거예요.",3,,,0
120,0,113,정화의 요정,Resident_03,"장치까지 막는 것을 
보면, 치밀한 계획을
세운 것이 분명해요!!",3,,,0
121,0,114,러셀,ArmorMerchant_01,"이거 이미 시작됐군!
누가 많이 처치하는지
내기 한 번 하지!",3,,,0
