Id,GroupId,Name,TeamId,Type,UseType,ManualControl,ControlTime,ControlText,MultiControl,HitCancel,ForbidUserCancel,Radius,BPName,WorldInfoId,Visible,InitialSpawning,Period,Repeatable,LifeTime,ControlCoolingTime,MaxCount,BasePosX,BasePosY,BasePosZ,RotateP,RotateY,RotateR,SpawnRadius,TotalControlCount,ControlActionType1,ControlActionParam1,ControlActionType2,ControlActionParam2,ControlActionType3,ControlActionParam3,SiegeWarParentNpcSpawnInfoId,CollisionUnitType,CollisionUnitParam,InteractionType,InteractionAnimation,ActivateMaterial,InactivateMaterial,ControlProcessingEffect,ControlCompleteStartEffect,ControlCompleteLoopEffect,InstanceResetAfterControl,DisableSpawnVFX,ShowName
20000101,200001,엘프의 유적지 1층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,200,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4100",12,"{""npcInfoId"":30080, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20100101,201001,엘프의 유적지 2층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,201,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4200",12,"{""npcInfoId"":30180, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20200101,202001,개미굴 1층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,202,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4300",12,"{""npcInfoId"":30280, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20300101,203001,개미굴 2층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,203,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4400",12,"{""npcInfoId"":30380, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20400101,204001,크루마 2층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,204,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4500",12,"{""npcInfoId"":30480, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20500101,205001,크루마 3층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,205,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4600",12,"{""npcInfoId"":30580, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20600101,206001,상아탑 지하 1층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,206,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4700",12,"{""npcInfoId"":30680, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20700101,207001,상아탑 지하 2층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,207,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4800",12,"{""npcInfoId"":30780, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20800101,208001,상아탑 지하 3층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,208,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4900",12,"{""npcInfoId"":30880, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
20900101,209001,상아탑 지하 연구소 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,209,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4901",12,"{""npcInfoId"":31180, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
21000101,210001,비밀의 숲 상층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,210,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":5000",12,"{""npcInfoId"":30980, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
21100101,211001,비밀의 숲 하층 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,211,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":5100",12,"{""npcInfoId"":31080, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
21200101,212001,비밀의 숲 학살지 보물상자(글로벌 스폰용),0,12,1,1,5,자물쇠 따는 중,0,1,0,100,BP_Gadget_QuestScrollBox_01,212,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":5101",12,"{""npcInfoId"":31280, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",45,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0
