ColorType,MatchColor,Color
0,171,0xFFFFFFFF
1,171,0x000000FF
2,171,0x303943FF
3,171,0x1BBB62FF
4,171,0xC20501FF
5,171,0xFFC800FF
6,171,0x1252FFFF
7,171,0xEFEFEFFF
8,171,0xFF8000FF
9,171,0x1080E4FF
10,171,0xE5A932FF
11,171,0x699BD7FF
12,171,0xA9CC00FF
13,171,0xCC0000FF
14,171,0xFFFFFFFF
15,171,0xFFFFFFFF
16,171,0xFFFFFFFF
17,171,0xFF0000FF
18,171,0xFFFFFFFF
19,171,0x00A388FF
20,171,0xFF0A0AFF
21,171,0xFFFFFFFF
22,171,0x660066FF
23,171,0xFF0000FF
112,171,0x3F0600FF
24,171,0xE4EAD9FF
25,171,0xF52608FF
26,171,0x1AADF1FF
27,171,0x6DD223FF
28,171,0xFFB400FF
29,171,0xFF506EFF
30,171,0x00000099
108,171,0xFFC600FF
31,171,0x1252FFFF
32,171,0x96C8FAFF
33,171,0xffc600FF
34,171,0xFFFFFFFF
35,171,0xFF358BFF
36,171,0x4B9AFFFF
37,171,0x4B9AFFFF
38,171,0x00A388FF
39,171,0x00A388FF
40,171,0xFFFF9DFF
41,171,0xFFFFFFFF
168,171,0x38930AFF
169,171,0x38930AFF
167,171,0xBABABAFF
42,171,0xFFB400FF
43,171,0x00A388FF
44,171,0x399332FF
45,171,0xFFFFFFFF
46,171,0xFF358BFF
47,171,0x00A388FF
48,171,0x1252FFFF
49,171,0xFFB03BFF
50,171,0xa09c9cff
51,171,0x6ba6b7ff
52,171,0x53A629ff
53,171,0x2b9172ff
54,171,0xa955baff
55,171,0x4687A4FF
56,171,0x248AB76F
57,171,0x007EC6FF
58,171,0x68964FFF
59,171,0x99901E6F
60,171,0x00E40DFF
61,171,0x9A69ABFF
62,171,0xC561E26F
63,171,0xCE28D4FF
64,171,0xB48359FF
65,171,0xD0941B6F
66,171,0xFF8400FF
67,171,0x1B1B1BFF
68,171,0x0A1400FF
69,171,0x000A1EFF
70,171,0x000A1EFF
71,171,0x000A1EFF
72,171,0x6A6A6AFF
73,171,0x6F92B7FF
74,171,0x71A00EFF
75,171,0x00D0CEFF
76,171,0xB453FFFF
77,171,0x303943FF
78,171,0x4B9AFFFF
79,171,0xAF53CDFF
80,171,0x0E9418FF
81,171,0xD90E00FF
82,171,0x1F63EEFF
83,171,0x6A6A6AFF
84,171,0x6F92B7FF
85,171,0x71A00EFF
86,171,0x00D0CEFF
87,171,0xB453FFFF
88,171,0xF3902AFF
89,171,0xF3912AFF
90,171,0x41464CFF
171,171,0xEBFFE6FF
92,171,0x3B3D3FFF
93,171,0x4791F0FF
94,171,0xFFFFFF33
95,171,0x303943FF
96,171,0xFFFFFFFF
97,171,0xFFFFFFFF
98,171,0xFFFFFF7F
99,171,0x000000CC
100,171,0x00000066
101,171,0x50AA1EFF
102,171,0xFFD74BFF
103,171,0xFF506EFF
104,171,0x59D1CDFF
105,171,0xFF150FFF
106,171,0x078CD1FF
107,171,0xF52608FF
109,171,0x676A72FF
110,171,0x89C2FCFF
111,171,0xFFFFFFB3
113,171,0x78828CFF
114,171,0x0105C2FF
117,171,0x00E40DFF
118,171,0xF52608FF
171,171,0x00A8FFFF
171,171,0xFF2E4BFF
119,171,0xFF4E3CFF
120,171,0x6D0A0ADC
121,171,0xC41503D9
122,171,0x004191D9
123,171,0x0064EDD9
124,171,0x53800BD9
125,171,0x6F9E24D9
126,171,0xC33700D9
127,171,0xF56800D9
128,171,0xFFFFFFFF
129,171,0xFF8000FF
130,171,0xC20501FF
131,171,0x6A6A6AFF
132,171,0x6F92B7FF
133,171,0x71A00EFF
134,171,0x00D0CEFF
135,171,0xB453FFFF
136,171,0x0105C2FF
137,171,0xFF2E4BFF
138,171,0xFFC800FF
139,171,0xB453FFFF
140,171,0xFFFFFFFF
141,171,0x000000FF
142,171,0x5DAE40FF
143,171,0xF9BA45FF
144,171,0x8D81FCFF
145,171,0xDA4956FF
146,171,0x2CB7B8FF
147,171,0x3E91F7FF
148,171,0xD64797FF
149,171,0xA75BE4FF
150,171,0xFFD74BFF
151,171,0x070A0EFF
171,171,0x78828CFF
152,171,0x078EE9FF
153,171,0x515564FF
154,171,0xCA24CAFF
155,171,0x002801FF
156,171,0x9C3816FF
157,171,0xE10C0CFF
158,171,0x85AFB5FF
159,171,0x1240EEFF
160,171,0xB9B90DFF
161,171,0xD65009FF
162,171,0x4912E5FF
163,171,0x303943FF
164,171,0x303943FF
165,171,0xC20501FF
166,171,0x1BBB62FF
171,171,0xFFC800FF
170,171,0x00D0CEFF
