Id,RunePage,Group,RuneNumber,RuneLevel,EffectGroupId,EffectType1,EffectType2,EffectParam,CostAdena,CostRunePiece,StampProbability,RunePosX,RunePosY,TexturePath,TextureFramePath,RuneType
1000001,1,0,1,0,,84,253,0,0,0,0,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,1,10101,84,253,0,500,50,10000,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,2,10102,84,253,0,600,60,9500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,3,10103,84,253,0,750,80,9000,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,4,10104,84,253,0,1000,90,8500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,5,10105,84,253,0,1250,100,7500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,6,10106,84,253,0,1500,130,6500,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1000001,1,0,1,7,10107,84,253,0,2000,180,5000,-64,-64,MI_UI_Image_MiddleRuneStone,,4
1001001,1,1,1,0,,1,2,0,0,0,0,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,1,,1,2,9,500,50,10000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,2,,1,2,18,600,60,9500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,3,,1,2,27,750,80,9000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,4,,1,2,36,1000,90,8500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,5,,1,2,45,1250,100,7500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,6,,1,2,54,1500,130,6500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001001,1,1,1,7,,1,2,63,2000,180,5000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,0
1001002,1,1,2,0,,21,22,0,0,0,0,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,1,,21,22,12,600,70,9700,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,2,,21,22,24,720,80,9215,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,3,,21,22,36,900,100,8730,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,4,,21,22,48,1200,110,8245,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,5,,21,22,60,1500,130,7275,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,6,,21,22,72,1800,160,6305,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001002,1,1,2,7,,21,22,84,2400,230,4850,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,1
1001003,1,1,3,0,,58,253,0,0,0,0,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,1,,58,253,16,700,80,9400,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,2,,58,253,32,840,100,8930,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,3,,58,253,48,1050,120,8460,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,4,,58,253,64,1400,140,7990,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,5,,58,253,80,1750,160,7050,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,6,,58,253,96,2100,200,6110,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001003,1,1,3,7,,58,253,112,2800,280,4700,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,0,,60,253,0,0,0,0,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,1,,60,253,16,800,100,9100,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,2,,60,253,32,960,110,8645,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,3,,60,253,48,1200,140,8190,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,4,,60,253,64,1600,160,7735,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,5,,60,253,80,2000,190,6825,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,6,,60,253,96,2400,240,5915,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
1001004,1,1,4,7,,60,253,112,3200,330,4550,96,-228,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2000001,2,0,1,0,,84,253,0,0,0,0,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,1,10201,84,253,0,700,60,9700,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,2,10202,84,253,0,840,70,9215,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,3,10203,84,253,0,1050,90,8730,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,4,10204,84,253,0,1400,100,8245,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,5,10205,84,253,0,1750,120,7275,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,6,10206,84,253,0,2100,150,6305,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2000001,2,0,1,7,10207,84,253,0,2800,210,4850,-64,-64,MI_UI_Image_MiddleRuneStone,,4
2001001,2,1,1,0,,60,253,0,0,0,0,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,1,,60,253,17,700,60,9700,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,2,,60,253,34,840,70,9215,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,3,,60,253,51,1050,90,8730,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,4,,60,253,68,1400,100,8245,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,5,,60,253,85,1750,120,7275,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,6,,60,253,102,2100,150,6305,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001001,2,1,1,7,,60,253,119,2800,210,4850,-130,-196,UI_Icon_Rune_MaxMP,MI_UI_Image_MiddleRuneStone,2
2001002,2,1,2,0,,29,253,0,0,0,0,-130,-128,UI_Icon_Rune_HitValue,MI_UI_Image_MiddleRuneStone,1
2001002,2,1,2,1,,29,253,8,1000,80,9200,-130,-128,UI_Icon_Rune_HitValue,MI_UI_Image_MiddleRuneStone,1
2001002,2,1,2,2,,29,253,16,1200,100,8740,-130,-128,UI_Icon_Rune_HitValue,MI_UI_Image_MiddleRuneStone,1
2001002,2,1,2,3,,29,253,24,1500,120,8280,-130,-128,UI_Icon_Rune_HitValue,MI_UI_Image_MiddleRuneStone,1
