Id,SetId,CardNumber,CardLevel,ItemId,ItemCount,CostAdena,LevleUPRate,MaxAddRate,EffectType1,EffectParam1,EffectType2,EffectParam2,MonsterBookId
100101,1,1,0,3470011,1,1000,10000,10000,58,0,253,,1
100101,1,1,1,3470011,10,30000,5500,10000,58,4,253,,1
100101,1,1,2,3470011,15,30000,3500,10000,58,8,253,,1
100101,1,1,3,3470011,20,30000,2500,10000,58,12,253,,1
100101,1,1,4,3470011,25,30000,1500,10000,58,16,253,,1
100101,1,1,5,3470011,0,0,1,1,58,20,253,,1
100102,1,2,0,3470032,5,30000,10000,10000,11,0,253,,19
100102,1,2,1,3470032,10,30000,5500,10000,11,8,253,,19
100102,1,2,2,3470032,15,30000,3500,10000,11,16,253,,19
100102,1,2,3,3470032,20,30000,2500,10000,11,25,253,,19
100102,1,2,4,3470032,25,30000,1500,10000,11,33,253,,19
100102,1,2,5,3470032,0,0,1,1,11,42,253,,19
100103,1,4,0,3470053,5,30000,10000,10000,29,0,253,,34
100103,1,4,1,3470053,10,30000,5500,10000,29,38,253,,34
100103,1,4,2,3470053,15,30000,3500,10000,29,76,253,,34
100103,1,4,3,3470053,20,30000,2500,10000,29,114,253,,34
100103,1,4,4,3470053,25,30000,1500,10000,29,152,253,,34
100103,1,4,5,3470053,0,0,1,1,29,191,253,,34
100104,1,3,0,3470055,5,30000,10000,10000,102,0,253,,36
100104,1,3,1,3470055,10,30000,5500,10000,102,20,253,,36
100104,1,3,2,3470055,15,30000,3500,10000,102,40,253,,36
100104,1,3,3,3470055,20,30000,2500,10000,102,60,253,,36
100104,1,3,4,3470055,25,30000,1500,10000,102,80,253,,36
100104,1,3,5,3470055,0,0,1,1,102,100,253,,36
100601,6,1,0,3470054,5,30000,10000,10000,11,0,253,,35
100601,6,1,1,3470054,10,30000,5500,10000,11,26,253,,35
100601,6,1,2,3470054,15,30000,3500,10000,11,52,253,,35
100601,6,1,3,3470054,20,30000,2500,10000,11,79,253,,35
100601,6,1,4,3470054,25,30000,1500,10000,11,105,253,,35
100601,6,1,5,3470054,0,0,1,1,11,132,253,,35
100602,6,4,0,3470076,5,30000,10000,10000,29,0,253,,56
100602,6,4,1,3470076,10,30000,5500,10000,29,69,253,,56
100602,6,4,2,3470076,15,30000,3500,10000,29,138,253,,56
100602,6,4,3,3470076,20,30000,2500,10000,29,207,253,,56
100602,6,4,4,3470076,25,30000,1500,10000,29,276,253,,56
100602,6,4,5,3470076,0,0,1,1,29,346,253,,56
100603,6,2,0,3470082,5,30000,10000,10000,102,0,253,,60
100603,6,2,1,3470082,10,30000,5500,10000,102,45,253,,60
100603,6,2,2,3470082,15,30000,3500,10000,102,90,253,,60
100603,6,2,3,3470082,20,30000,2500,10000,102,136,253,,60
100603,6,2,4,3470082,25,30000,1500,10000,102,181,253,,60
100603,6,2,5,3470082,0,0,1,1,102,227,253,,60
100604,6,3,0,3470175,5,30000,10000,10000,26,0,253,,177
