Keyword,Url,NaverUrl,LocType
MapMove,http://guide.netmarble.com/lineageII#cont/42,,501
Chat,http://guide.netmarble.com/lineageII#cont/47,132967,502
PKMode,http://guide.netmarble.com/lineageII#cont/45,132944,503
Inventory,http://guide.netmarble.com/lineageII#cont/93,132966,504
Skill,http://guide.netmarble.com/lineageII#cont/53,132994,505
SkillBook,http://guide.netmarble.com/lineageII#cont/55,132997,506
SoulshotCraft,,,
Guild,http://guide.netmarble.com/lineageII#cont/98,132962,508
GuildCreate,http://guide.netmarble.com/lineageII#cont/98,132962,509
GuildEntrance,http://guide.netmarble.com/lineageII#cont/98,132962,510
GuildInfo,http://guide.netmarble.com/lineageII#cont/98,132962,511
GuildInventory,http://guide.netmarble.com/lineageII#cont/98,132962,512
GuildJoin,http://guide.netmarble.com/lineageII#cont/98,132962,513
GuildMain,http://guide.netmarble.com/lineageII#cont/98,132962,514
GuildMember,http://guide.netmarble.com/lineageII#cont/98,132962,515
GuildMemberInfo,http://guide.netmarble.com/lineageII#cont/98,132962,516
GuildQuest,http://guide.netmarble.com/lineageII#cont/98,132962,517
GuildRelationShip,http://guide.netmarble.com/lineageII#cont/98,132962,518
GuildShop,http://guide.netmarble.com/lineageII#cont/98,132962,519
Achievement,http://guide.netmarble.com/lineageII#cont/90,132943,520
ElixirCraft,http://guide.netmarble.com/lineageII#cont/39,132958,521
Friend,http://guide.netmarble.com/lineageII#cont/56,132963,522
CastleSiege,http://guide.netmarble.com/lineageII#cont/99,133089,523
CastleSiegeFestival,http://guide.netmarble.com/lineageII#cont/101,133093,524
FortressSiege,http://guide.netmarble.com/lineageII#cont/100,133091,525
Rune,http://guide.netmarble.com/lineageII#cont/40,132961,526
MonsterBook,http://guide.netmarble.com/lineageII#cont/50,132973,527
Ranking,http://guide.netmarble.com/lineageII#cont/95,132974,528
SoulCrystal,http://guide.netmarble.com/lineageII#cont/81,132992,529
SoulCrystalLevelUp,http://guide.netmarble.com/lineageII#cont/81,132992,530
AuctionHouse,http://guide.netmarble.com/lineageII#cont/48,132969,531
Shop,http://guide.netmarble.com/lineageII#cont/49,132970,532
ShopEquipment,http://guide.netmarble.com/lineageII#cont/49,132970,533
ShopUnbindEquipment,http://guide.netmarble.com/lineageII#cont/49,132970,534
ShopAdena,http://guide.netmarble.com/lineageII#cont/49,132970,535
ShopCash,http://guide.netmarble.com/lineageII#cont/49,132970,536
ShopTopaz,http://guide.netmarble.com/lineageII#cont/49,132970,537
ShopItem,http://guide.netmarble.com/lineageII#cont/49,132970,538
ShopMileage,http://guide.netmarble.com/lineageII#cont/49,132970,539
ShopPackage,http://guide.netmarble.com/lineageII#cont/49,132970,540
DailyDungeon,http://guide.netmarble.com/lineageII#cont/85,132927,541
EliteDungeon,http://guide.netmarble.com/lineageII#cont/84,132923,542
ExpDungeon,http://guide.netmarble.com/lineageII#cont/185,133002,543
InfinityDungeon,http://guide.netmarble.com/lineageII#cont/86,132928,544
CollectDungeon,http://guide.netmarble.com/lineageII#cont/87,132932,545
AdenaDungeon,http://guide.netmarble.com/lineageII#cont/184,133000,546
EquipDungeon,http://guide.netmarble.com/lineageII#cont/183,132936,547
EnchantScrollDungeon,,,
GuildDungeon,http://guide.netmarble.com/lineageII#cont/107,132935,549
Pvp,http://guide.netmarble.com/lineageII#cont/102,133005,550
Activity,http://guide.netmarble.com/lineageII#cont/182,132942,551
QuestMap,,,
WorldMap,,,
Party,http://guide.netmarble.com/lineageII#cont/57,132965,554
Promote,http://guide.netmarble.com/lineageII#cont/92,133007,555
DiamondShop,http://guide.netmarble.com/lineageII#cont/114,132970,556
DiamondShopFlatRate,http://guide.netmarble.com/lineageII#cont/114,132970,557
DiamondShopAnnuityGrowup,http://guide.netmarble.com/lineageII#cont/114,132970,558
DiamondShopAnnuityAccept,http://guide.netmarble.com/lineageII#cont/114,132970,559
DiamondShopChargeReward,http://guide.netmarble.com/lineageII#cont/114,132970,560
DiamondShopConsumeReward,http://guide.netmarble.com/lineageII#cont/114,132970,561
EventSurprizeBox,,,
EventItemEnchantGrade,,,
EventCastleSiegeFestival,http://guide.netmarble.com/lineageII#cont/101,133093,564
EquipmentLevelUp,http://guide.netmarble.com/lineageII#cont/74,132981,565
EquipmentUpgrade,http://guide.netmarble.com/lineageII#cont/75,132983,566
EquipmentComposition,http://guide.netmarble.com/lineageII#cont/76,132985,567
EquipmentEnchant,http://guide.netmarble.com/lineageII#cont/77,132986,568
EquipmentAbilityUp,http://guide.netmarble.com/lineageII#cont/78,132988,569
EquipmentOptionChange,http://guide.netmarble.com/lineageII#cont/79,132989,570
EquipmentLimitBreak,http://guide.netmarble.com/lineageII#cont/80,132990,571
ClassHierarchy,,132978,572
Gludio,http://guide.netmarble.com/lineageII#cont/60,133014,573
Dion,http://guide.netmarble.com/lineageII#cont/62,133016,574
Giran,http://guide.netmarble.com/lineageII#cont/63,133028,575
Oren,http://guide.netmarble.com/lineageII#cont/64,133059,576
TalkingIsland,http://guide.netmarble.com/lineageII#cont/59,133012,577
Quest,http://guide.netmarble.com/lineageII#cont/41,,578
EventJourney1,http://guide.netmarble.com/lineageII/140,133009,579
EventJourney2,http://guide.netmarble.com/lineageII/141,133010,580
EventJourney3,http://guide.netmarble.com/lineageII/142,133011,581
EventJourney4,http://guide.netmarble.com/lineageII/143,133020,582
EventJourney5,http://guide.netmarble.com/lineageII/144,133024,583
EventJourney6,http://guide.netmarble.com/lineageII/145,133026,584
EventJourney7,http://guide.netmarble.com/lineageII/146,133030,585
EventJourney8,http://guide.netmarble.com/lineageII/147,133032,586
EventJourney9,http://guide.netmarble.com/lineageII/148,133033,587
EventJourney10,http://guide.netmarble.com/lineageII/149,133034,588
EventJourney11,http://guide.netmarble.com/lineageII/150,133035,589
EventJourney12,http://guide.netmarble.com/lineageII/151,133039,590
EventJourney13,http://guide.netmarble.com/lineageII/152,133041,591
EventJourney14,http://guide.netmarble.com/lineageII/153,133042,592
EventJourney15,http://guide.netmarble.com/lineageII/154,133043,593
EventJourney16,http://guide.netmarble.com/lineageII/155,133044,594
EventJourney17,http://guide.netmarble.com/lineageII/156,133045,595
EventJourney18,http://guide.netmarble.com/lineageII/157,133046,596
EventJourney19,http://guide.netmarble.com/lineageII/158,133047,597
EventJourney20,http://guide.netmarble.com/lineageII/159,133051,598
EventJourney21,http://guide.netmarble.com/lineageII/160,133055,599
MainQuest,http://guide.netmarble.com/lineageII#cont/178,132929,600
DailyQuest,http://guide.netmarble.com/lineageII#cont/179,132933,601
WeeklyQuest,http://guide.netmarble.com/lineageII#cont/180,132938,602
InstantComplete,http://guide.netmarble.com/lineageII#cont/181,132941,603
ClassTransferQuest,http://guide.netmarble.com/lineageII#cont/186,132939,604
EventHotTime,http://guide.netmarble.com/lineageII#cont/187,135427,605
EventCompound,,135365,606
Character,http://guide.netmarble.com/lineageII#cont/35,133007,607
EquipmentCompound,http://guide.netmarble.com/lineageII/103,132991,608
CommonEvent1,http://guide.netmarble.com/lineageII#cont/1794,994120,609
CommonEvent2,http://guide.netmarble.com/lineageII#cont/1953,,
CommonEvent3,http://guide.netmarble.com/lineageII#cont/1500,1341408,611
CommonEvent4,http://guide.netmarble.com/lineageII#cont/1837,1498679,612
CommonEvent5,http://guide.netmarble.com/lineageII#cont/1497,994120,613
DiceEvent,http://guide.netmarble.com/lineageII#cont/1959,1472823,614
Pet,http://guide.netmarble.com/lineageII#cont/315,1325569,615
SummonStoneDungeon,http://guide.netmarble.com/lineageII#cont/325,1325575,616
GuildAgit,http://guide.netmarble.com/lineageII#cont/314,1325578,617
GuildAgitKeeperHire,http://guide.netmarble.com/lineageII#cont/317,1325584,618
GuildAgitCrystal,http://guide.netmarble.com/lineageII#cont/319,1325587,619
GuildAgitQuest,http://guide.netmarble.com/lineageII#cont/320,1325591,620
GuildAgitDinner,http://guide.netmarble.com/lineageII#cont/321,1325596,621
GuildAgitRelic,http://guide.netmarble.com/lineageII#cont/323,1325600,622
GuildAgitLiquid,http://guide.netmarble.com/lineageII#cont/322,1325602,623
EquipmentCrafting,http://guide.netmarble.com/lineageII#cont/543,1570436,623
ItemCrafting,http://guide.netmarble.com/lineageII#cont/544,1570439,623
GuildAgitFireplace,http://guide.netmarble.com/lineageII#cont/324,1570444,623
BattleField,http://guide.netmarble.com/lineageII#cont/545,1570441,623
BattleFieldOfBrave,http://guide.netmarble.com/lineageII#cont/545,1570441,623
EventDailyQuest1,http://guide.netmarble.com/lineageII#cont/1515,994120,624
CharacterTitle,http://guide.netmarble.com/lineageII#cont/881,994120,625
BattleDeckInfo,http://guide.netmarble.com/lineageII#cont/882,994120,626
GuildAgitAttend,http://guide.netmarble.com/lineageII#cont/878,994120,627
AgitPersonalQuest,http://guide.netmarble.com/lineageII#cont/879,994120,628
AgitGuildQuest,http://guide.netmarble.com/lineageII#cont/880,994120,629
Main,http://guide.netmarble.com/lineageII#cont/36,133007,607
GuildHelpBoard,http://guide.netmarble.com/lineageII#cont/914,,
Probability,http://guide.netmarble.com/lineageII#cont/907,,
PackShop,http://guide.netmarble.com/lineageII#cont/917,,
CheckBoard,http://guide.netmarble.com/lineageII#cont/915,,
GuildInvite,http://guide.netmarble.com/lineageII#cont/918,,
DiamondShopFlatRateAdena,http://guide.netmarble.com/lineageII#cont/114,132970,557
DiamondShopFlatRateAdena2,http://guide.netmarble.com/lineageII#cont/114,132970,557
cape,http://guide.netmarble.com/lineageII#cont/1208,,
PartyDungeonTitle,http://guide.netmarble.com/lineageII#cont/1205,,
AccountStorage,http://guide.netmarble.com/lineageII#cont/1207,,
PlayerStorage,http://guide.netmarble.com/lineageII#cont/1495,,
