Id,Name,TapType
1,AUCTION_HOUSE_TYPE_ALL,0
2,AUCTION_HOUSE_TYPE_ALL,1
20,AUCTION_GROUP_WEAPON,0
21,AUCTION_GROUP_WEAPON,1
30,AUCTION_GROUP_ARMOR,0
31,AUCTION_GROUP_ARMOR,1
40,AUCTION_GROUP_ACCESSORY,0
41,AUCTION_GROUP_ACCESSORY,1
50,AUCTION_GROUP_SOULSTONE,0
51,AUCTION_GROUP_SOULSTONE,1
60,AUCTION_GROUP_ELIXIR,1
70,AUCTION_GROUP_ENCHANT,1
80,AUCTION_GROUP_MONSTERCORE,1
85,AUCTION_GROUP_MONSTERCARD,1
90,AUCTION_GROUP_USEITEM,1
100,AUCTION_GROUP_SKILLBOOK,1
110,AUCTION_GROUP_EquipmentCraft,1
120,AUCTION_GROUP_PET,0
121,AUCTION_GROUP_PET,1
130,AUCTION_GROUP_TALISMAN,0
131,AUCTION_GROUP_TALISMAN,1
140,AUCTION_GROUP_ETC,0
141,AUCTION_GROUP_ETC,1
