ItemInfoId,CraftStep,MaterialItemInfoId,MaterialItemCount,StepAddEffectIncreaseRate
110015,0,701101,15,250
110015,1,711101,250,250
110015,2,420011,10,250
110015,3,510104,5000,250
110025,0,701102,15,250
110025,1,711101,250,250
110025,2,420011,10,250
110025,3,510104,5000,250
110035,0,701103,15,250
110035,1,711101,250,250
110035,2,420011,10,250
110035,3,510104,5000,250
110045,0,701104,15,250
110045,1,711102,250,250
110045,2,420011,10,250
110045,3,510104,5000,250
110055,0,701105,15,250
110055,1,711101,250,250
110055,2,420011,10,250
110055,3,510104,5000,250
110065,0,701106,15,250
110065,1,711102,250,250
110065,2,420011,10,250
110065,3,510104,5000,250
110075,0,701119,15,250
110075,1,711101,250,250
110075,2,420011,10,250
110075,3,510104,5000,250
120015,0,701107,15,250
120015,1,711101,250,250
120015,2,420011,10,250
120015,3,510104,5000,250
120025,0,701108,15,250
120025,1,711101,250,250
120025,2,420011,10,250
120025,3,510104,5000,250
120035,0,701109,15,250
120035,1,711101,250,250
120035,2,420011,10,250
120035,3,510104,5000,250
120045,0,701110,15,250
120045,1,711102,250,250
120045,2,420011,10,250
120045,3,510104,5000,250
120055,0,701111,15,250
120055,1,711101,250,250
120055,2,420011,10,250
120055,3,510104,5000,250
120065,0,701112,15,250
120065,1,711102,250,250
120065,2,420011,10,250
120065,3,510104,5000,250
120075,0,701120,15,250
120075,1,711101,250,250
120075,2,420011,10,250
120075,3,510104,5000,250
130015,0,701113,15,250
130015,1,711101,250,250
130015,2,420011,10,250
130015,3,510104,5000,250
130025,0,701114,15,250
130025,1,711101,250,250
130025,2,420011,10,250
130025,3,510104,5000,250
130035,0,701115,15,250
130035,1,711101,250,250
130035,2,420011,10,250
130035,3,510104,5000,250
130045,0,701116,15,250
130045,1,711102,250,250
130045,2,420011,10,250
130045,3,510104,5000,250
130055,0,701117,15,250
130055,1,711101,250,250
130055,2,420011,10,250
130055,3,510104,5000,250
130065,0,701118,15,250
130065,1,711102,250,250
130065,2,420011,10,250
130065,3,510104,5000,250
130075,0,701121,15,250
