Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,Has recuperado la conexión con el servidor.,,
3,Se ha creado un equipo.,,
4,Te has unido al equipo.,,
5,<FontGreen>[Name]</> se ha unido al equipo.,,
6,Has abandonado el equipo.,,
7,<FontGreen>[Name]</> ha abandonado el equipo.,,
8,Te han expulsado del equipo.,,
9,Se ha expulsado a <FontGreen>[Name]</> del equipo.,,
10,Te has convertido en el líder del equipo.,,
11,Se ha nombrado a <FontGreen>[Name]</> como nuevo líder de equipo.,,
12,El equipo se ha desbandado.,,
13,"<FontGreen>[Name]</> te ha invitado a que te unas a su equipo.
¿Quieres hacerlo? <FontRed>[Seconds]</> s.",Rechazar,Ingresar
14,Has rechazado unirte al equipo.,,
15,"Alguien ha solicitado unirse a tu equipo.
¿Aceptas? <FontRed>[Seconds]</> s",@13,Aceptar
16,Se ha cancelado el ingreso automático en equipo.,,
17,"Ubicación: <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</> quiere iniciar la aventura. ¿Quieres prepararte? <FontRed>[Seconds]</>s",@13,Aceptar
18,"Ubicación: <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</>
Vas a entrar en <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</> en <FontRed>[Seconds]</> segundo/s.
Prepárate para la batalla.",,
19,"Ubicación: <FontGreen>[WorldName]</>
<FontBlue>[Name]</> quiere invocarte.
¿Aceptas? <FontRed>[Seconds]</> s",A pie,Con portal
20,@19,Cerrar,Entrar
21,"Ubicación: <FontGreen>[WorldName]</>
¿Quieres ir al punto de reunión del equipo? <FontRed>[Seconds]</> s",@19,@19
22,@21,@20,@20
23,"Se ha formado el grupo <FontYellow>[Battlefield]</>.
Entra al campo de batalla <FontBlue>solo</> o en un <FontBlue>equipo de batalla</> con otros jugadores.",,
24,Te has unido al equipo de <FontYellow>[Battlefield]</>.,,
25,<FontGreen>[Name]</> se ha unido al equipo de <FontYellow>[Battlefield]</>.,,
26,El equipo de <FontYellow>[Battlefield]</> se ha disuelto.,,
27,Ha abandonado el equipo de <FontYellow>[Battlefield]</>.,,
28,<FontGreen>[Name]</> ha abandonado el equipo de <FontYellow>[Battlefield]</>.,,
