Id,PlaceName
1,Puerta vibrante
2,Ruinas de dolmen
3,Ciudad de la Isla parlante
4,Tierras devastadas
5,Obelisco de victoria
6,Campamento fortificado
7,Academia arcana de Einhovant
8,Bosque de viento
9,Bosque encantado
10,P. exploración occ.
11,Ruinas élficas
12,Puerto de Gludin
13,Ciudad de Gludin
14,Llanuras del molino de viento
15,Cementerio silencioso
16,Cam. saqueador
17,Castillo de la ciudad de Gludio
18,Campo de exterminio de monstruos
19,Granja devastada
20,Moradas hombres lag. maille
21,Lugar de acampada de orco turek
22,Lago Fellemere
23,Afueras del castillo de Gludio
24,Castillo de Gludio
25,Ruinas de Windawood
26,Campo de batalla
27,Santuario élfico caído
28,Estación de orcos turek
29,Dustbowl
30,Eriales
31,Lugar de acampada de Staris
32,Cresta de piedra roja
33,Afueras del castillo de Dion
34,Ciudad del castillo de Dion
35,Área de tala
36,Área agrícola de Dion
37,Refugio
38,Llanuras de Dion
39,Terreno inquietante
40,Campamento de arqueólogos
41,Lugar de la excavación
42,Tierra pantanosa
43,Entrada a la Torre de Cruma
44,Ciénaga sombría
45,Bosque tranquilo
46,Escondite de Ol Mahum
47,Explorador tanor
48,Área de conflicto
49,Granja de mandrágoras
50,Tierras de ejecución
51,Fortaleza de la agonía
52,Fortaleza en ruinas
53,Incinerador
54,Ciudad de Giran
55,Jardín de flores de Gorgon
56,Afueras del castillo de Giran
57,Bosque cantarín
58,Campamento de hombres lagarto langk
59,Solar desierto
60,Castillo de Giran
61,Ruta comercial
62,Playa del hombre muerto
63,Bosque de los gigantes
64,Puerto de Giran
65,Escondite de los bandidos Ol Mahum
66,Altar de gigante
67,Ciénaga viento salino
68,Cueva de oro
69,Hoyo del odio
70,Fortaleza de orcos breka
71,Paso del hombre muerto
72,Abismo del olvido
73,Valle de los cazadores
74,Torre de Oren
75,Afueras del castillo de Oren
76,Ciénaga de los hombres lagarto
77,Puesto de avanzada timak
78,Meseta de tanor enfurecido
79,Sello roto
80,Mar de esporas
81,Bosque de la bruja
82,Bosque del forajido
83,Bosque del mal
84,Campamento orco de Timak
85,Cráter de Torre de marfil
90,Grieta demoníaca
91,Fortaleza de la desesperación
92,Tumba del cazador
93,Tierra de los dragones
94,Entrada a la guarida de Antharas
95,Ruinas élficas 1
96,Ruinas élficas 2
97,Hormiguero 1
98,Hormiguero 2
99,Torre de Cruma 2
100,Torre de Cruma 3
101,Torre de marfil 1
102,Torre de marfil 2
103,Torre de marfil 3
104,Laboratorio de Torre de marfil
105,Espesura del bosque de los secretos
106,Sotobosque del bosque de los secretos
107,Lugar de matanza del bosque de los secretos
1001,Rastro de Varkaron
1002,Cueva La hormiga reina
1003,Torre de marfil 1
30000004,Puerto de Gludin
30000005,Sótano
30000006,Interior de la piedra de invocación del mal
30000007,Mundo exterior
30000008,Torre de Cruma 2
30000009,Abismo de Zaken
30000010,Abismo de Zaken
30000011,Territorio del rey de sangre
30000012,Torre de Cruma 3
