Name,AlarmDesc
Próximamente,
Evento,Tienda de edición limitada disponible.
Próximamente,
Fortalecimiento I,Échale un vistazo a los objetos a la venta.
Próximamente,
Lote de montura,Tienda de edición limitada disponible.
Próximamente,
Fortalecimiento II,Échale un vistazo a los objetos a la venta.
Recomendado,
Cajas de invocación,
Consumibles,
Pergamino,
Diamantes,
Adena,
Puntos de amistad,
Topacio,
Puntos de lealtad,
Refuerzo de diam. I,
Refuerzo de diam. II,
Refuerzo de diam. III,
Historia I,
Historia II,
Diamantes I,
Diamante por conexión,
Adena I,
Adena II,
Celebración de actualización,
Aventurero,
Equipamiento,
Personaje,
Clan,
Montura,
Recuerdo,
