Id,LeagueName
400,Sin colocar.
401,{LeagueStep} de bronce
402,@401
403,@401
404,{LeagueStep} de plata
405,@404
406,@404
407,{LeagueStep} de oro
408,@407
409,@407
410,Platino {LeagueStep}
411,@410
412,@410
413,Diamante {LeagueStep}
414,@413
415,@413
416,Dominar
417,Gran maestro
418,Leyenda
500,@400
501,@401
502,@401
503,@401
504,@404
505,@404
506,@404
507,@407
508,@407
509,@407
510,@410
511,@410
512,@410
513,@413
514,@413
515,@413
516,Maestro{LeagueStep}
517,@516
518,@516
519,Gran maestro {LeagueStep}
520,@519
521,@519
522,@418
