Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7000101,No hay bonificación por equipar una capa de clan.,,
7000201,@7000101,,
7000301,@7000101,,
7100101,"Obtén <Fontblue>{ViewEffectParam1}</> de experiencia adicional
al derrotar monstruos y al hacer extracciones.

(Aplica en: Terrenos/Hoyo de extracción)",Efecto de Capa de aventurero,Obtén <Fontblue>{ViewEffectParam1}</> de experiencia adicional por derrotar monstruos y al hacer extracciones.
7100102,@7100101,@7100101,@7100101
7100103,@7100101,@7100101,@7100101
7100104,@7100101,@7100101,@7100101
7100105,@7100101,@7100101,@7100101
7100106,@7100101,@7100101,@7100101
7100107,@7100101,@7100101,@7100101
7100108,@7100101,@7100101,@7100101
7100109,@7100101,@7100101,@7100101
7100110,@7100101,@7100101,@7100101
7100111,@7100101,@7100101,@7100101
7100112,@7100101,@7100101,@7100101
7100113,@7100101,@7100101,@7100101
7100114,@7100101,@7100101,@7100101
7100115,@7100101,@7100101,@7100101
7100116,@7100101,@7100101,@7100101
7100117,@7100101,@7100101,@7100101
7100118,@7100101,@7100101,@7100101
7100119,@7100101,@7100101,@7100101
7100120,@7100101,@7100101,@7100101
7100121,@7100101,@7100101,@7100101
7100122,@7100101,@7100101,@7100101
7100123,@7100101,@7100101,@7100101
7100124,@7100101,@7100101,@7100101
7100125,@7100101,@7100101,@7100101
7100126,@7100101,@7100101,@7100101
7100127,@7100101,@7100101,@7100101
7100128,@7100101,@7100101,@7100101
7100129,@7100101,@7100101,@7100101
7100130,@7100101,@7100101,@7100101
7100201,"<Fontblue>{ViewEffectParam1}</> de probabilidades de adquirir
un <Fontblue>Fragmento de sangre</> al derrotar a una Maldad de sangre.
Se pueden adquirir un máximo de 2000 cada día.

(No aplica a monstruos de 7 niveles menos, y la tasa podría cambiar según el daño producido).
(Aplica en: Mazmorras de élite)",Efecto de Capa de soldado de comando de sangre,"<Fontblue>{ViewEffectParam1}</> de probabilidades de adquirir
un <Fontblue>Fragmento de sangre adicional</> al derrotar a una Maldad de sangre."
7100202,@7100201,@7100201,@7100201
7100203,@7100201,@7100201,@7100201
7100204,@7100201,@7100201,@7100201
7100205,@7100201,@7100201,@7100201
7100206,@7100201,@7100201,@7100201
7100207,@7100201,@7100201,@7100201
7100208,@7100201,@7100201,@7100201
7100209,@7100201,@7100201,@7100201
7100210,@7100201,@7100201,@7100201
7100211,@7100201,@7100201,@7100201
7100212,@7100201,@7100201,@7100201
7100213,@7100201,@7100201,@7100201
7100214,@7100201,@7100201,@7100201
7100215,@7100201,@7100201,@7100201
7100216,@7100201,@7100201,@7100201
7100217,@7100201,@7100201,@7100201
7100218,@7100201,@7100201,@7100201
7100219,@7100201,@7100201,@7100201
7100220,@7100201,@7100201,@7100201
