Id,Name,Description
1,Mazmorra diaria,Consigue los materiales necesarios para hacerte más fuerte cada día.
2,Torre de la insolencia,¡Más y más! ¡Desafía tus límites!
3,Mazmorra de élite,¡Derrota poderosos monstruos y consigue muchísima exp.!
4,Mazmorra de extracción,¡Recoge hierbas mágicas para fabricar elixires!
5,Templo guardián,¡Protege artefactos sagrados para conseguir equipamiento!
6,Mazmorra de adenas,¡Roba la madriguera de un dragón avaricioso y consigue adenas!
7,Mazmorra de experiencia,"¡Ven conmigo, camarada, si quieres conseguir mucha exp.!"
8,Círculo de invocación,"¡Deshaz el sello del artefacto sagrado y
consigue piedras de invocación!"
9,Mazmorra de piedra de refinamiento,¡Destruye las bien custodiadas puertas dimensionales para conseguir recompensas!
10,Rastro de Varkaron,Las cuchillas afiladas de Varkaron te harán heridas profundas. 
11,Cueva La hormiga reina,"La hormiga reina, en su cueva oscura, es experta en venenos."
12,Sala Corazón de Cruma,"El custodio de la Torre de Cruma
que controla las mentes."
13,Maliss,Maliss la seductora
14,Altar de la locura,"¡Dirígete a la aldea
de los orcos locos!"
15,Tocador de la Condesa de Sangre,"¡Encuentra a los soldados de Giran desaparecidos
y a la condesa!"
