Id,TitleName
1001,Gobernador de Gludio
1002,Gobernador de Dion
1003,Gobernador de Giran
1004,Gobernador de Oren
2001,Maestro de la Carretera de Gludin
2002,Maestro de las Llanuras de Gludio
2003,Maestro de la Casa Windawood
2004,Maestro del Erial
2005,Maestro de las Llanuras de Dion
2006,Maestro de la Marisma de Cruma
2007,Maestro de la Cima de disonancia
2008,Maestro de los Sepulcros agonizantes
2009,Maestro de los Dominios de Giran
2010,Maestro de las Orillas de niebla sepulcral
2011,Maestro de la Isla del Diablo
2012,Maestro de la Necrópolis encantada
2013,Maestro del Valle del dragón
2014,Maestro de la Meseta Northwind
2015,Maestro de las Tierras eternas
2016,Maestro de la Torre de marfil
2017,Maestro de las Ruinas de dolmen
2018,Maestro de las Tierras devastadas
2019,Maestro del Obelisco de la victoria
2020,Maestro del Campamento fortificado
2021,Maestro del Bosque susurrante
2022,Maestro del Bosque encantado
2023,Maestro del Puesto de exploración occidental
2024,Maestro de las Ruinas élficas
