Id,Title,Desc
31001,Episodio completo,Completa el episodio <RedBold>1-2</>.
31002,Subida de nivel del equipamiento,Trata de subir el nivel del equipamiento <RedBold>[Value]</> vez/veces.([Value1]/[Value2])
31003,@31001,Completa el episodio <RedBold>1-5</>.
31004,Poder de combate,Alcanza <RedBold>[Value]</> puntos de poder de combate. ([Value1]/[Value2])
31005,Arena,Desafía la arena <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31006,Obtener equipamiento,Obtén <RedBold>[Value]</> equipamiento/s. ([Value1]/[Value2])
31007,Subir habilidad de nivel,Sube de nivel una habilidad <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31008,@31002,@31002
31009,Puntos por logro,Obtén <RedBold>[Value]</> punto/s de logro. ([Value1]/[Value2])
31010,Facturación en el clan,Conéctate al clan <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31011,Donación al clan,Haz una donación al clan <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31012,Tienda del clan,Compra potenciadores del clan <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31013,Entrar a la Torre de la Insolencia,Desafía la Torre de la Insolencia <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31014,Completar automáticamente la Torre de la insolencia,Completa automáticamente la Torre de la insolencia <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31015,Impronta de runas,Intenta grabar una runa <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31016,Combinar equipamiento,Intenta combinar equipamiento <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31017,@31001,Completa el episodio <RedBold>1-11</>.
31018,Aumentar el equipamiento,Intenta aumentar el equipamiento <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31019,Misión diaria,Completa <RedBold>[Value]</> misión/misiones diaria/s. ([Value1]/[Value2])
31020,@31015,Grabas runas <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31021,@31004,@31004
31101,Completar misión semanal,Completa la misión semanal <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31102,Mejorar equipamiento,Mejora el equipamiento <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31103,@31016,@31016
31104,Mazmorras de élite,Completa la mazmorra de élite <RedBold>[Value]</> vez/veces. ([Value1]/[Value2])
31105,Derrotar monstruos en Ruinas élficas 1.,Derrota a <RedBold>[Value]</> monstruos ([Value1]/[Value2]) en Ruinas élficas 1
31106,Consigue corazones de monstruo,Obtén <RedBold>[Value]</> corazón/corazones de monstruo. ([Value1]/[Value2])
31107,Registra corazones de monstruo,Registra <RedBold>[Value]</> corazón/corazones de monstruo. ([Value1]/[Value2])
