Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Capitana del puerto Psyche,"Hola. ¿Es tu primera vez en Isla Parlante? Si pulsas aquí, las misiones se desarrollarán de forma automatizada."
4001,,
4002,Capitán mercenario Douglas,Las misiones automatizadas paran una vez completadas. Toca para empezar la siguiente misión.
6001,@4002,Muy bien. ¡Estás hecho para esto! Vamos con otra misión.
11001,Capitán Harold,Todos tus objetos están en el inventario.
11002,,
11003,@11001,"Con la opción de equip. automático, puedes equiparte de manera rápida y fácil."
11004,,
11005,@11001,Es una función práctica para nuevos aventureros como tú. ¡Dale buen uso!
11006,,
12001,Feldheim,<YellowBold>Los refuerzos de alma</> potencian los ataques.
12002,@12001,¡Prueba a usar los refuerzos de alma automáticamente!
12003,@12001,Los refuerzos de alma solo se gastan <YellowBold>cuando atacas</>.
12004,@12001,"De lo contrario, permanecen bien guardados."
12005,@12001,¿No quieres usarlos automáticamente? Toca de nuevo.
12006,@12001,<YellowBold>Puedes comprar refuerzos de alma en la tienda</>. ¡No te quedes sin ellos!
12007,,
13001,Niah,Voy a explicarte cómo funcionan las mazmorras diarias.
13002,@13001,Verás la entrada en el menú Mazmorra.
13003,@13001,Toca este.
13004,@13001,¿Ves las diferentes mazmorras?
13005,@13001,"¡Si sigues con el entrenamiento, podrás adentrarte en ellas pronto!"
13006,@13001,"Por ahora, échale un vistazo a la mazmorra diaria."
13007,@13001,"En las <YellowBold>mazmorras diarias</>, <YellowBold>los monstruos cambian todos los días</>."
13008,@13001,¡Acaba con ellos para obtener <YellowBold>recompensas especiales</>!
13009,@13001,"Los monstruos más fuertes sueltan mejores recompensas, así que entrena para volverte más fuerte."
13010,@13001,"¡Venga, entra!"
13011,,
13012,,
13013,,
13014,@13001,La función Batalla automática está disponible si necesitas ayuda.
13015,,
13016,,
13017,,
13018,@13001,¡Vaya! ¡Has derrotado a un monstruo poderoso!
13019,,
13020,@13001,"Solo se entra unas cuantas veces al día, ¡pero oye! El número <YellowBold>se reinicia a diario</>."
13021,,
13022,,
13023,@13001,"<YellowBold>No contará como que has entrado</>si no lo consigues, ¡así que no temas intentarlo!"
13024,@13001,Ese ha sido un buen intento. ¡Ojalá haya más suerte la próxima vez!
13025,,
14001,Arconte Daniel,Échale un vistazo a los logros y recompensas obtenidas.
14002,@14001,Lo primero es entrar en Retos.
14003,@14001,Desde ahí podrás entrar en Logros.
14004,@14001,Se te reconocerán los <YellowBold>logros</> y recibirás <YellowBold>recompensas</> por ellos.
14005,@14001,Parece que has trabajado mucho. Ya has conseguido algunos <YellowBold>logros</>.
14006,@14001,Ve y pide la recompensa.
14007,,
14008,@14001,Bien hecho. Conseguirás <YellowBold>títulos y habilidades</> si tus hazañas lo merecen.
14009,@14001,Pasa por aquí para estar informado.
14010,@14001,Sigue trabajando duro y tus esfuerzos se verán recompensados pronto.
14011,@14001,"A más nivel de logro, más fuertes serán tus habilidades y recibirás objetos de abastec. como recompensa diaria."
14012,@14001,Ten en cuenta que <YellowBold>hay diferentes tipos de logros</>. No te olvides de ninguno.
14013,,
15001,Mercader Anais,La tienda está llena de suministros útiles.
15002,@15001,@13003
15003,@15001,"Me gusta este de aquí. ¡No te olvides de cuál es, ya que te será de ayuda más tarde!"
15004,@15001,¿A qué esperas! ¡Ábrelo!
15005,,
15006,@15001,¡Vaya! ¡Es una pieza de equipamiento estupenda!
15007,@15001,¿Sabes cómo mejorar el equipamiento? ¡<YellowBold>Subiéndolo de nivel</>!
