Id,Name,EffectTypeName,Desc
1,Can İksiri,Maks Can Artışı,Maks Can artıran bir iksir.
2,@1,@1,@1
3,@1,@1,@1
4,@1,@1,@1
5,@1,@1,@1
6,@1,@1,@1
10,Mana İksiri,Maks Mana Artışı,Maks Mana artıran bir iksir.
11,@10,@10,@10
12,@10,@10,@10
13,@10,@10,@10
14,@10,@10,@10
15,@10,@10,@10
19,Sldr. İksiri,Sldr. Artışı,Sldr. artıran bir iksir.
20,@19,@19,@19
21,@19,@19,@19
22,@19,@19,@19
23,@19,@19,@19
24,@19,@19,@19
28,Svn. İksiri,Svn. Artışı,Svn. artıran bir iksir.
29,@28,@28,@28
30,@28,@28,@28
31,@28,@28,@28
32,@28,@28,@28
33,@28,@28,@28
