Id,Name,Desc
1,Elf Harabeleri Dehliz 1’i fethet.,{TaskCount}x Likantrop yen.
2,@1,@1
3,@1,@1
4,@1,{TaskCount}x Desmodus yen.
5,@1,@4
6,@1,@4
7,@1,{TaskCount}x Korku Kanat yen.
8,@1,{TaskCount}x Ryukaon yen.
9,@1,{TaskCount}x Arachne yen.
10,@1,{TaskCount} adet Canavar Özü al.
11,@1,@10
12,@1,{TaskCount} zindan canavarı yen.
13,@1,@12
14,Elf Harabeleri Dehliz 2’yi fethet.,{TaskCount}x Cani Spartoi yen.
15,@14,{TaskCount}x Devriye Spartoi yen.
16,@14,{TaskCount}x Yalnız Örümcek yen.
17,@14,{TaskCount}x Yalnız Zehirli Örümcek yen.
18,@14,{TaskCount}x Cani Avcı yen.
19,@14,{TaskCount}x Saldırgan Spartoi yen.
20,@14,@14
21,@14,@15
22,@14,@16
23,@14,@17
24,@14,@18
25,@14,@19
26,@14,{TaskCount}x Maniskull yen.
27,@14,{TaskCount}x Felix yen.
28,@14,{TaskCount}x Ölüm Saçan yen.
29,@14,{TaskCount}x Necross yen.
30,@14,@10
31,@14,@10
32,@14,@10
33,@14,@12
34,@14,@12
35,@14,@12
36,Karınca Yuvası Dehliz 1’i fethet.,{TaskCount} Asker Karınca Larvası yen.
37,@36,{TaskCount} İşci Karınca Larvası yen.
38,@36,{TaskCount}x İşci Karınca yen.
39,@36,{TaskCount}x Asker Karınca yen.
40,@36,@36
41,@36,@37
42,@36,@38
43,@36,{TaskCount}x İstilacı yen.
44,@36,{TaskCount} İşçibaşı Karınca yen.
45,@36,@10
46,@36,@10
47,@36,@10
48,@36,@12
49,@36,@12
50,@36,@12
51,Karınca Yuvası Dehliz 2’yi fethet.,{TaskCount} Karınca Larvası yen.
52,@51,{TaskCount}x Ustabaşı Karınca yen.
53,@51,{TaskCount}x Acemi Karınca yen.
54,@51,@51
55,@51,@52
56,@51,@53
57,@51,{TaskCount}x Karınca Yuvası Muhafızı yen.
58,@51,{TaskCount}x Yumurtlama Yeri Muhafızı yen.
59,@51,@10
60,@51,@10
61,@51,@10
62,@51,@12
63,@51,@12
64,@51,@12
65,Cruma Kulesi Kat 2'yi fethet.,{TaskCount}x Mordeo'nun Yardakçısı yen.
66,@65,{TaskCount}x Excuro yen.
67,@65,{TaskCount}x Porta yen.
68,@65,{TaskCount}x Yüce Excuro yen.
69,@65,{TaskCount}x Modeo'nun Muhafızı yen.
70,@65,{TaskCount}x Bağlı Porta yen.
71,@65,{TaskCount}x Esrarlı Gözküre yen.
72,@65,{TaskCount}x Stelos yen.
73,@65,{TaskCount}x Efendi Mordeo yen.
74,@65,{TaskCount}x Serbo Prime yen.
75,@65,@10
76,@65,@10
77,@65,@10
78,@65,@10
79,@65,@10
80,@65,@10
81,@65,@12
82,@65,@12
83,@65,@12
84,@65,@12
85,@65,@12
86,@65,@12
87,Cruma Kulesi Kat 3'ü fethet.,{TaskCount}x Validus Muhafızı yen.
88,@87,{TaskCount}x Validus Devriyesi yen.
89,@87,{TaskCount}x Gustos Prime yen.
90,@87,{TaskCount}x Kusion Susceptor yen.
91,@87,{TaskCount}x Meforde yen.
92,@87,@87
93,@87,@88
94,@87,@89
95,@87,@90
96,@87,@91
97,@87,{TaskCount}x Greezo yen.
98,@87,{TaskCount}x Julius yen.
99,@87,{TaskCount}x Magnus yen.
100,@87,@10
101,@87,@10
102,@87,@10
103,@87,@12
104,@87,@12
105,@87,@12
107,Fildişi Kulesi Dehliz 1'i fethet.,{TaskCount} Yeraltı Sülüğü yen.
108,@107,{TaskCount}x Lekeli Gezgin Mantar yen.
109,@107,@107
110,@107,@108
111,@107,{TaskCount}x Mesheemp yen.
112,@107,{TaskCount}x Corepio yen.
113,@107,{TaskCount}x Preta yen.
114,@107,@10
115,@107,@10
116,@107,@10
117,@107,@12
118,@107,@12
119,@107,@12
120,Fildişi Kulesi Dehliz 2'yi fethet.,{TaskCount}x Bataklık Medusası yen.
121,@120,{TaskCount}x Mağara Medusası yen.
122,@120,{TaskCount}x Stakato Askeri yen.
123,@120,{TaskCount}x Stakato Eri yen.
124,@120,@120
125,@120,@121
126,@120,@122
127,@120,@123
128,@120,{TaskCount}x Vulture yen.
129,@120,{TaskCount}x Gargu yen.
130,@120,{TaskCount}x Morpheus yen.
131,@120,@10
132,@120,@10
133,@120,@10
134,@120,@12
135,@120,@12
136,Fildişi Kulesi Dehliz 3'ü fethet.,{TaskCount}x Muhafız İskelet yen.
137,@136,{TaskCount}x Karanlık Hayalet Prima yen.
138,@136,{TaskCount}x Siyah Prima yen.
139,@136,@136
140,@136,@137
141,@136,@138
142,@136,{TaskCount}x Kelle Kovalayan yen.
143,@136,{TaskCount}x Creatus yen.
144,@136,{TaskCount}x Kum Fırtınası yen.
145,@136,@10
146,@136,@10
147,@136,@10
148,@136,@12
149,@136,@12
150,Fildişi Kulesi Yer Altı Laboratuvarı'nı Fethet.,{TaskCount} Sapkın Kobay yen.
151,@150,{TaskCount} Kontrol Edilemeyen Golem yen.
152,@150,{TaskCount} Kobay Bağı yen.
153,@150,{TaskCount} Arızalı Meka Golem yen.
154,@150,{TaskCount} Huzursuz Çırak yen.
155,@150,{TaskCount} Huzursuz Büyücü yen.
156,@150,{TaskCount} Kara Kardeşlik Müfettişi yen.
157,@150,{TaskCount} Kara Kardeşlik Muhafızı yen.
158,@150,{TaskCount} Kara Kardeşlik Araştırmacısı yen.
159,@150,{TaskCount} Sapkın Yardımcı yen.
