Id,TitleName
1001,Gludio’nun Hükümdarı
1002,Dion’un Hükümdarı
1003,Giran’ın Hükümdarı
1004,Oren’in Hükümdarı
2001,Gludin Patika Sorumlusu
2002,Gludio Ovası Sorumlusu
2003,Windawood Köşkü Sorumlusu
2004,Çorak Diyar Sorumlusu
2005,Dion Ovası Sorumlusu
2006,Cruma Bataklığı Sorumlusu
2007,Uyumsuzluk Zirvesi Sorumlusu
2008,Uluyan Oyuk Sorumlusu
2009,Giran Bölgesi Sorumlusu
2010,Ölümcül Sis Kıyıları Sorumlusu
2011,Şeytan Adası Sorumlusu
2012,Lanetli Mezarşehir Sorumlusu
2013,Ejderha Vadisi Sorumlusu
2014,Kuzey Yeli Platosu Sorumlusu
2015,Ebedi Topraklar Sorumlusu
2016,Kibir Kulesi Sorumlusu
2017,Dolmen Harabeleri Sorumlusu
2018,Parçalanmış Topraklar Sorumlusu
2019,Zafer Dikilitaşı Sorumlusu
2020,Korunaklı Kamp Sorumlusu
2021,Fısıldayan Orman Sorumlusu
2022,Lanetli Orman Sorumlusu
2023,Batı İzci Karakolu Sorumlusu
2024,Elf Harabeleri Sorumlusu
