Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Liman Sorumlusu Psyche,Hoş geldin. Konuşkan Ada’ya ilk kez mi geliyorsun? Buraya dokunursan görevler otomatik olarak yapılır.
4001,,
4002,Lejyoner Yüzbaşısı Douglas,"Otomatik görev, görev tamamlandığında durur. Yeni göreve başlamak için dokun."
6001,@4002,"Tamam, doğuştan yeteneklisin. Hadi başka bir görev dene."
11001,Muhafız Yüzbaşısı Harold,Tüm eşyalarını envanterinde bulabilirsin.
11002,,
11003,@11001,"Oto-Kullan, en iyi ekipmanı kuşanman için hızlı ve kolay bir yöntemdir."
11004,,
11005,@11001,"Oto-Kullan senin gibi yeni maceracılar için çok yararlıdır, mutlaka kullanmalısın."
11006,,
12001,Feldheim,"<YellowBold>Güç Şerbeti</>, saldırılarını güçlendirir."
12002,@12001,Güç Şerbeti’ni otomatik kullanıma almakla başla.
12003,@12001,Güç Şerbeti sadece <YellowBold>saldırdığında</> kullanılır.
12004,@12001,Diğer zamanlar yanında öylece dururlar.
12005,@12001,Otomatik kullanmak istemiyor musun? Tekrar dokunman yeter.
12006,@12001,"<YellowBold>Güç Şerbeti'ni her zaman Dükkan’da bulabilirsin</>, yedeklemeyi unutma!"
12007,,
13001,Niah,Hadi Günlük Zindanları öğrenelim.
13002,@13001,Zindan menüsünden girebilirsin.
13003,@13001,Buraya dokun.
13004,@13001,Tüm zindanları görüyor musun?
13005,@13001,"Eğitimini tamamlarsan, yakında tümünü keşfedebilirsin!"
13006,@13001,Şimdi Günlük Zindan’a göz atalım.
13007,@13001,"<YellowBold>Günlük Zindan</> içinde, <YellowBold>her gün farklı canavarlarla karşılaşırsın</>."
13008,@13001,<YellowBold>Özel ödüller</> kazanmak için hepsini yenmelisin!
13009,@13001,"Daha güçlü canavarlar daha iyi ödüller düşürür, o yüzden güçlenmeye bak."
13010,@13001,Haydi içeri gir!
13011,,
13012,,
13013,,
13014,@13001,Yardım gerekirse Oto-Savaş açabilirsin.
13015,,
13016,,
13017,,
13018,@13001,Vay! Güçlü canavarlardan birini yendin!
13019,,
13020,@13001,Her gün sadece bir kaç kez girebilirsin ama merak etme! Giriş sayısı <YellowBold>her gün sıfırlanır</>.
13021,,
13022,,
13023,@13001,"Eğer başarısız olursan <YellowBold>giriş hakkın azalmaz</>, o yüzden kendini sınamaktan korkma!"
13024,@13001,İyi denemeydi. Belki gelecek sefere!
13025,,
14001,Hükümdar Daniel,"Başarımlarına bakıp, ödüllerini toplamanın vakti geldi."
14002,@14001,İlk adım Hedefler başlığına girmek.
14003,@14001,Böylece Başarımlar’a ulaşırsın.
14004,@14001,<YellowBold>Başarımları</> tamamladığını onayla ve <YellowBold>ödüllerini</> topla.
14005,@14001,Sıkı çalışıyorsun. Çoktan bazı <YellowBold>başarımları</> tamamlamışsın.
14006,@14001,Haydi bu ödülü al!
14007,,
14008,@14001,Tebrikler. Takdire şayan faaliyetlerine göre <YellowBold>unvan ve değerler</> kazanırsın.
14009,@14001,Ara sıra göz atmayı unutma.
14010,@14001,"Çalışmaya devam et, emeğinin karşılığını hızla alacaksın."
14011,@14001,"Başarım seviyen yükseldikçe, değerlerin de artacak ve günlük olarak destek eşyaları kazanacaksın."
14012,@14001,Tamamlanabilecek <YellowBold>farklı başarımlar</> olduğunu unutma ve hiçbirini göz ardı etme.
14013,,
15001,Tüccar Anais,"Dükkan, işine yarayabilecek bir sürü eşyayla dolu."
15002,@15001,@13003
