Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Doğu Konuşkan Ada,{ReplaceString1} Keşif,Doğu Konuşkan Ada,{ReplaceString2} Canavar Yen,Doğu Konuşkan Ada'da {TaskCount} canavar yen.
2,Batı Konuşkan Ada,@1,Batı Konuşkan Ada,@1,Batı Konuşkan Ada'da {TaskCount} canavar yen.
3,Gludin Yolu,@1,Gludin Yolu,@1,Gludin Yolu'nda {TaskCount} canavar yen.
4,Gludio Ovası,@1,Gludio Ovası,@1,Gludio Ovası'nda {TaskCount} canavar yen.
5,Windawood Köşkü,@1,Windawood Köşkü,@1,Windawood Köşkü'nde {TaskCount} canavar yen.
6,Çorak Diyar,@1,Çorak Diyar,@1,Çorak Diyar'da {TaskCount} canavar yen.
7,Dion Ovası,@1,Dion Ovası,@1,Dion Ovası'nda {TaskCount} canavar yen.
8,Cruma Bataklığı,@1,Cruma Bataklığı,@1,Cruma Bataklığı'nda {TaskCount} canavar yen.
9,Uyumsuzluk Zirvesi,@1,Uyumsuzluk Zirvesi,@1,Uyumsuzluk Zirvesi'nde {TaskCount} canavar yen.
10,Uluyan Oyuk,@1,Uluyan Oyuk,@1,Uluyan Oyuk'da {TaskCount} canavar yen.
11,Giran Bölgesi,@1,Giran Bölgesi,@1,Giran Bölgesi'nde {TaskCount} canavar yen.
12,Ölümcül Sis Kıyıları,@1,Ölümcül Sis Kıyıları,@1,Ölümcül Sis Kıyıları'nda {TaskCount} canavar yen.
13,Şeytan Adası,@1,Şeytan Adası,@1,Şeytan Adası'nda {TaskCount} canavar yen.
14,@13,@1,@13,@1,@13
15,Lanetli Mezarşehir,@1,Lanetli Mezarşehir,@1,Lanetli Mezarşehir'de {TaskCount} canavar yen.
16,@15,@1,@15,@1,@15
101,Elf Harabeleri Kat 1,Oto-Temizleme {ReplaceString1},Elf Harabeleri Kat 1,@1,Elf Harabeleri Kat 1'de {TaskCount} canavar yen.
102,Elf Harabeleri Kat 2,@101,Elf Harabeleri Kat 2,@1,Elf Harabeleri Kat 2'de {TaskCount} canavar yen.
103,Karınca Yuvası Dehliz 1,@101,Karınca Yuvası Dehliz 1,@1,Karınca Yuvası Dehliz 1'de {TaskCount} canavar yen.
104,Karınca Yuvası Dehliz 2,@101,Karınca Yuvası Dehliz 2,@1,Karınca Yuvası Dehliz 2'de {TaskCount} canavar yen.
105,Cruma Kulesi Kat 2,@101,Cruma Kulesi Kat 2,@1,Cruma Kulesi Kat 2'de {TaskCount} canavar yen.
106,Cruma Kulesi Kat 3,@101,Cruma Kulesi Kat 3,@1,Cruma Kulesi Kat 3'de {TaskCount} canavar yen.
107,Fildişi Kulesi Dehliz 1,@101,Fildişi Kulesi Dehliz 1,@1,Fildişi Kulesi Dehliz 1'de {TaskCount} canavar yen.
108,@107,@101,@107,@1,@107
109,Fildişi Kulesi Dehliz 2,@101,Fildişi Kulesi Dehliz 2,@1,Fildişi Kulesi Dehliz 2'de {TaskCount} canavar yen.
110,@109,@101,@109,@1,@109
111,Fildişi Kulesi Dehliz 3,@101,Fildişi Kulesi Dehliz 3,@1,Fildişi Kulesi Dehliz 3'de {TaskCount} canavar yen.
112,@111,@101,@111,@1,@111
201,Kayıp Hatıralar Sığınağı,{ReplaceString1} Araştırma,Günlük Zindan,@1,Günlük Zindan'da {TaskCount} canavar yen.
202,@201,@201,@201,@1,@201
203,Botanik Zindanı,@201,Botanik Zindanı,@1,Botanik Zindanı'nda {TaskCount} canavar yen.
204,@203,@201,@203,@1,@203
205,Su Tapınağı,{ReplaceString1} Koru.,Ekipman Zindanı,@1,Ekipman Zindanı'nda {TaskCount} canavar yen.
206,@205,@205,@205,@1,@205
207,Kresous’un Kasası,{ReplaceString1} Salla,Adena Zindanı,@1,Adena Zindanı'nda {TaskCount} canavar yen.
208,@207,@207,@207,@1,@207
209,Yer Altı Yarığı,{ReplaceString1} Fetih,TP Zindanı,@1,TP Zindanı'nda {TaskCount} canavar yen.
210,@209,@209,@209,@1,@209
211,Mühürlü Giriş,@201,Binek Zindanı,@1,Çağırma Taşı zindanlarında {TaskCount} canavar yen.
212,@211,@201,@211,@1,@211
301,Kötülük Çağırma Taşı (Nadir),Arındırma {ReplaceString1},Nadir Canavar Çağırma Taşı,@1,Zindanda Nadir Canavar Çağırma Taşı kullanarak {TaskCount} canavar yen.
302,@301,@301,@301,@1,@301
303,Kötülük Çağırma Taşı (Baş Düşman),@301,Baş Düşman Çağırma Taşı,@1,Zindanda Baş Düşman Çağırma Taşı kullanarak {TaskCount} canavar yen.
351,,Kasap,,Oyuncu Pk,{TaskCount} kez başka bir oyuncuyu saldır.
352,,@351,,@351,@351
401,Hayalet Çoban,{ReplaceString1} Yen,@2,{ReplaceString2} Saha Baş Düşmanını yen,Batı Konuşkan Ada'da {TaskCount} Hayalet Çoban yen.
402,Zodyak,@401,@3,@401,Gludin Yolu'nda {TaskCount} Zodyak yen.
403,Gümüşsakal,@401,@4,@401,Gludio Ovası'nda {TaskCount} Gümüşsakal yen.
404,Vapar,@401,@5,@401,Windawood Köşkü'nde {TaskCount} Vapar yen.
405,Kazir,@401,@6,@401,Çorak Diyar'da {TaskCount} Kazir yen.
