MissionInfoId,TaskName,TaskDescription
3101,Bir Klan Kur ya da Bir Klana Katıl,{0} kez bir Klan kur ya da bir Klana katıl. ({1} / {2})
3102,Klan Girişi,{0} kez Klana giriş yap. ({1} / {2})
3103,Klan Dükkanı,{0} kez Klan Dükkanından alım yap. ({1} / {2})
3104,Klan Bağışı,Klana {0} Adena bağışla. ({1} / {2})
3105,Klan Selamlaması,{0} kez Klan üyelerini selamla. ({1} / {2})
3201,Klan Başarımı,{0} kez Klan Başarım Ödülü al. ({1} / {2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,Klana {0} Kan Nişanı bağışla. ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,Klana {0} Kırmızı Yıldıztaşı bağışla. ({1} / {2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,Ekipman Seviyesi Yükseltme,Ekipman Seviyesi Yükseltmeyi {0} kez dene ({1}/{2})
2102,Güçlendirmeyi Dene,Ekipman Güçlendirmeyi {0} kez dene ({1}/{2})
2103,Ruh Kristali Geliştirme, {0}x Ruh Kristali geliştir ({1}/{2})
2104,Ekipman Zindanı'nı Tamamla,Ekipman Zindanı'nı {0} kez tamamla ({1}/{2})
2105,Ekipman Çekilişi,Ekipman Çekilişini {0} kez dene ({1}/{2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,Ekipman Birleştirme,Ekipman Birleştirmeyi {0} kez dene ({1}/{2})
2404,@2104,@2104
2405,Altdeğer Değiştirme,Altdeğer Değiştirmeyi {0} kez dene ({1}/{2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
