Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
Zulmün Sonu,Lucien'i Beklemek,,,,
Zulmün Sonu,Lucien'i Takip Et,,,,
Zulmün Sonu,Sadık Askerleri Yen,,,,
Zulmün Sonu,Muhafız Odası'nı Yok Et,,,,
Zulmün Sonu,Meydana Gir,,,,
Zulmün Sonu,Sadık Destek Kuvvetlerini Yen,,,,
Zulmün Sonu,Kontrol Kulesi'ne Yaklaş,,,,
Zulmün Sonu,Yaşlı Marlow Yen,,,,
Zulmün Sonu,Yaşlı Marlow Yen,,,,
Zulmün Sonu,Merkez Kule Yok Edildi,,,,
Zulmün Sonu,Muhafız Odası'na Git,,,,
Yolculuk Başlıyor,Lejyoner Yüzbaşısı'nı Bul,Liman Sorumlusu Psyche,"Burası maceracıların tecrübe kazanması için harika bir yer.
<p>Bölgeyi tanımak için birkaç görev almalısın.
<p>Lejyoner Yüzbaşı Douglas'ın yardıma ihtiyacı var. Gidip onu bulmalısın.",,
Yetenek Nişanı,Kara Kurt Avı,Lejyoner Yüzbaşısı Douglas,"Yetenekli bir maceracıya benziyorsun! Bu harika!
<P>Demek iş arıyorsun, ha? Pekala, çok çalışırım diyorsan işe alındın.
<p>Yakınlarda sorun yaratan kurtlar var. Benim için onlardan kurtulabilirsin.",,
Uygun Bir İş,Kırmızı Ayı Avı,Lejyoner Yüzbaşısı Douglas,"Kurtların icabına çok çabuk baktın. Gerçekten de işe yarıyormuşsun.
<p>Zorlu bir iş ile nasıl başa çıkacağını görelim. Kurtların etrafındaki kırmızı ayıları gördün mü? Sanırım bu civardaki ayılar artık insanlardan korkmuyor.
<p>Halka saldırmadan önce kırmızı ayıların sayısını azaltacak birine ihtiyacım var. Sen yapabilir misin?",Lejyoner Yüzbaşı Douglas,Bir sorunumuz var! Akıncı bir ork grubu limana saldırıyor!
Uygun Bir İş,Lejyoner Yüzbaşısı'nı Bul,,,,
Uygun Bir İş,Ork Pususu,,,,
Uygun Bir İş,Ork Pususu,,,,
Acil Durum!,Muhafız Yüzbaşını Bul,Lejyoner Yüzbaşısı Douglas,"Adamlarım ile kasaba halkını koruyacağız. Limana gitmeniz gerek.
Muhafız Yüzbaşına seni benim gönderdiğimi söyle. Bana bu iyiliği yaparsan, sana yardım edebilirim.",,
