Id,Name,EffectTypeName,Desc
1001,Sıradan Yere Yıkma,Yere Yıkma,
1002,@1001,@1001,Normal Saldırı ile Son vuruş
1003,@1001,@1001,
1004,Sıradan Yenilmezlik,Yenilmez,Hasar alamazsın.
1005,Dirilme Güçlendirmesi,@1004,Hasar alamazsın. Düşmana saldırdığında yenilmezlik güçlendirmen kalkar.
1011,Sıradan Sersemletme,Sersemletme,Sersemletme
10111,Hücum Darbesi: Yere Yıkma,@1001,
10122,Güçlü Saplama: Yavaşlatma,Yavaşlatma,Hız %-{1%}
11211,Yere Vurma,Aggro Çekme Artışı,Aggro Çekme %+50
112124,İntikam,Hedefe Kitlen (Oyuncu),Zorunlu Saldırı
112125,@112124,Sldr. Düşürme,Sldr. -{1}
112126,@112124,Hedefe Kitlen (NPC),
11213,Haşmetli,"Haşmetli: Tehdit seviyesi yükseltme, F. Svn./M. Svn. Yükseltme, Kaçınma Düşürme","Svn. %+{2%}, Tüm saldırılardan alınan aggro %+{1%}, Hasar Yansıtma: %{1%}"
11221,Hüküm,Savunma Düşürme,
11222,Yıldırım Fırtınası,Sersemlet,@1011
112231,Geniş Savuruş,"Çoklu Vuruş: Toplu Vuruş Güçlendirme, Sldr. Hızı Artışı","Bir kerede saldırabildiğin düşman sayısını +{1} artırır, +%{2%} Sldr. Hızı"
11231,Kum Bulutu,Kör Etme,İsabet Oranı: %{1%}
11232,Geri Adım: Sersemletme,@11222,@1011
112331,Hızlandır,Hızlandır: Sldr. Hızı Artışı,Sldr. Hızı +%{1%}
112332,@112331,Hızlandır: Kaçınma Artışı,Kaçınma +%{1%}
11242,Ok Yağmuru,F. Sldr. Düşürme,Sldr. Düşürme
11243,Sırtlan,"Nişancı: Saldırı Menzili, Sldr., İsabet Artışı, Hareketsizlik",Sldr: %{2%} İsabet +{3}. Saldırı Menzili Artar. Hızı Düşürür.
11244,Keskingöz,"Keskingöz: Kritik Artışı, Svn. Düşürme",Krit. Oranı +{1}. ve Hasar %+{2%}.
11251,Lav Topu,Süreli Hasar,Süreli Hasar
112531,Manayı Artır,Mana Desteği: Maks Mana Artışı,"Mana Kullanımı +%{1%}, Yetenek Hasarı +%{2%}"
11261,Ulvi Ceza: Sersemletme,@1001,
11262,Restorasyon,Süreli İyileştirme,Süreli İyileştirme
12211,Mahkeme,Hedefe Kitlen,Aggro Çekme +%30
12212,Eva’nın Lütfu,Sldr. Hızı Düşürme,Can Yenilemeyi %50 Azaltır.
122131,Aegis Duruşu,Aegis Duruşu: Geçici Hasar Bağışıklığı,Hasardan Korunma
122132,@122131,Aegis Duruşu: Hız Artışı,Hız +%{1%}
