Id,Name,Description
1,Günlük Zindan,Kuvvetlendirme için her gün gereken malzemeleri topla.
2,Kibir Kulesi,Yükseğe daha yükseğe! Limitleri zorla!
3,Elit Zindan,Güçlü düşmanları yen ve tonla TP kazan!
4,Botanik Zindanı,İksir üretmek için büyülü bitkiler topla!
5,Ekipman Zindanı,Ekipman tedarikleri için önemli noktalardaki Kutsal Kristalleri koru.
6,Adena Zindanı,Açgözlü ejderhanın ininden Adena çal!
7,TP Zindanı,Aradığınız şey tonlarca TP ise doğru yere geldiniz!
8,Binek Zindanı,"Kutsal Kristal'in mührünü kır
ve Çağırma Taşı elde et!"
9,Saflaştırma Taşı Zindanı,Ödüller için sıkı korunan boyut geçidini yok et!
10,Varkaron'un İzi,Varkaron'un keskin kılıçları ağır kanamaya yol açar.
11,Kraliçe Karınca'nın Mağarası,Kraliçe Karınca karanlık mağarasının derinliklerinde yaşar.
12,Cruma Çekirdeği Odası,"Cruma Kulesi Gözcü'sü
zihinleri kontrol edebilir."
13,Maliss,Baştan Çıkarıcı Maliss
14,Delilik Sunağı,"Delirmiş Ork
köyüne git!"
15,Kan Kontesi'nin Yatak Odası,"Kayıp Giran askerleri
ve Kontes'i bul!"
