Id,PlaceName
1,Çınlayan Kapı
2,Dolmen Harabeleri
3,Konuşkan Ada Kasabası
4,Parçalanmış Topraklar
5,Zafer Dikilitaşı
6,Korunaklı Kamp
7,Einhovant’ın Arcane Akademisi
8,Rüzgar Ormanı
9,Lanetli Orman
10,Batı İzci Karakolu
11,Elf Harabeleri
12,Gludin Limanı
13,Gludin Kasabası
14,Değirmen Ovası
15,Sessiz Mezarlık
16,Yağmacı Kampı
17,Gludio Kasabasının Kalesi
18,Canavar İmha Alanı
19,Harap Tarlalar
20,Maille Kertenkeleadam Evleri
21,Turek Ork Kamp Alanı
22,Fellmere Gölü
23,Gludio Kalesi Etekleri
24,Gludio Kalesi
25,Windawood Harabeleri
26,Savaş Alanı
27,Yitik Elf Tapınağı
28,Turek Ork Karakolu
29,Tozçanağı
30,Çorak Diyar
31,Staris’in Kamp Alanı
32,Kırmızı Kaya Tepesi
33,Dion Kalesi Etekleri
34,Dion Kalesi Kasabası
35,Ağaç Kesim Bölgesi
36,Dion Tarım Bölgesi
37,Sığınak
38,Dion Ovası
39,Ürkütücü Topraklar
40,Arkeolog Kampı
41,Kazı Alanı
42,Bataklık
43,Cruma Kulesi Girişi
44,Gölge Bataklığı
45,Huzur Ormanı
46,Ol Mahum’un Sığınağı
47,Tanor Karakolu
48,Çatışma Bölgesi
49,Mandragora’nın Tarlası
50,İnfaz Alanı
51,Agoni Kalesi
52,Kale Harabeleri
53,Külleyici
54,Giran Kasabası
55,Gorgon Çiçek Bahçesi
56,Giran Kalesi Etekleri
57,Şakıyan Orman
58,Langk Kertenkeleadam Kampı
59,Terk Edilmiş Arsa
60,Giran Kalesi
61,Ticaret Yolu
62,Ölüadam Kıyısı
63,Devlerin Ormanı
64,Giran Limanı
65,Ol Mahum Haydutları Sığınağı
66,Devlerin Sunağı
67,Tuzyeli Bataklığı
68,Altın Madeni
69,Nefret Çukuru
70,Breka Ork Hisarı
71,Ölüadam Geçidi
72,Unutulmuş Yarık
73,Avcı Vadisi
74,Oren Kasabası
75,Oren Kalesi Etekleri
76,Kertenkeleadam Bataklığı
77,Timak Karakolu
78,Öfkeli Tanor Platosu
79,Kırık Mühür
80,Mantar Denizi
81,Cadı Ormanı
82,Kanunsuzlar Ormanı
83,Kötülük Ormanı
84,Timak Ork Kampı
85,Fildişi Kulesi Krateri
90,Şeytani Yarık
91,Umutsuzluk Şatosu
92,Avcı’nın Mezarı
93,Ejderha Diyarı
94,Antharas İni'nin Girişi
95,Elf Harabeleri Dehliz 1
96,Elf Harabeleri Dehliz 2
97,Karınca Yuvası Dehliz 1
98,Karınca Yuvası Dehliz 2
99,Cruma Kulesi Kat 2
100,Cruma Kulesi Kat 3
101,Fildişi Kulesi Dehliz 1
102,Fildişi Kulesi Dehliz 2
103,Fildişi Kulesi Dehliz 3
104,Fildişi Kulesi Yer Altı Laboratuvarı
105,Sırların Ormanı Tepe Tacı
106,Sırların Ormanı Yeşillik Alanı
107,Sırların Ormanı Katliam Alanı
1001,Varkaron'un İzi
1002,Kraliçe Karınca'nın Mağarası
1003,Fildişi Kulesi Dehliz 1
30000004,Gludin Limanı
30000005,Bodrum
30000006,Kötülük Çağırma Taşı İçerisi
30000007,Dış Dünya
30000008,Cruma Kulesi Kat 2
30000009,Zaken’in Hiçliği
30000010,Zaken’in Hiçliği
30000011,Kannı Kralın Bölgesi
30000012,Cruma Kulesi Kat 3
