Id,Title,Name
19,,Şifa Pınarı
31,,Kırmızı Takım Batı Kulesi
32,,Kırmızı Takım Doğu Kulesi
33,,Kırmızı Takım Kutsal Kristal Kulesi
34,,Mavi Takım Batı Kulesi
35,,Mavi Takım Doğu Kulesi
36,,Mavi Takım Kutsal Kristal Kulesi
20,,@19
37,,@31
38,,@32
39,,@33
40,,@34
41,,@35
42,,@36
43,,Sınıf Geçişi İncelmesi
44,,@43
45,,Rüzgar Sunağı
46,,Toprak Sunağı
101,,Merkez Kuşatma Kampı
102,,Doğu Kuşatma Kampı
103,,Batı Kuşatma Kampı
104,,Ana Kapı Muhafız Odası
105,,Doğu Kapısı Muhafız Odası
106,,Batı Kapısı Muhafız Odası
107,,Ana Kapı Sol Savunma Kulesi
108,,Ana Kapı Sağ Savunma Kulesi
109,,Kabul Salonu Sol Savunma Kulesi
110,,Kabul Salonu Sağ Savunma Kulesi
115,,Ateş Kapısı Sol Savunma Kulesi
116,,Ateş Kapısı Sağ Savunma Kulesi
117,,Su Kapısı Sol Savunma Kulesi
118,,Su Kapısı Sağ Savunma Kulesi
119,,Kutsal Kristal Salonu Sol Kule
120,,Kutsal Kristal Salonu Sağ Kule
121,,Kutsal Kristal Sol Kule
122,,Kutsal Kristal Sağ Kule
123,,Sol Tuzak
124,,Sağ Tuzak
201,Görev Sorumlusu,Lloyd
202,Yadigar Sorumlusu,Feldheim
203,Yenileyici Sorumlusu,Jackie
204,Ziyafet Sorumlusu,Emma
205,Tüccar,Pan
211,,Birlik Kristali
212,,Şömine
301,,Yeşil Gürbüz Ratel
302,,Gümüş Gürbüz Ratel
303,,Altın Gürbüz Ratel
304,,Mandragora
305,,Bahçe Nöbetçisi
401,계정 창고지기,Nigel
402,Ay Işığı Lejyonerleri,Aymel
403,@205,@205
404,,Ay Işığı Lejyoneri
405,,마그나딘 경비병
406,Usta Demirci,Mobart
407,,İzleyici
408,,@407
409,Parşömen Tüccarı,Yolsuz
410,,Acemi Sihirbaz
411,Kütüphaneci,Farjane
412,,Okutman
413,,@412
414,Fırıncı,Bremen
415,,Fırıncının Çocuğu
416,,Aç Çocuk
417,,Sıkılmış Çocuk
418,Silah Tüccarı,Pondiac
419,,Maceracı
420,,@419
421,Balık Tüccarı,Tegma
422,,Balıkçı
423,,Sihirbaz
424,Evcil Hayvan Bakıcısı,Cuvi
425,,Soylu Genç Hanım
426,,Meraklı Çocuk
427,,Romi
428,,Julie
429,,Yaşlı Adam
430,,Heyecanlı Çocuk
431,,Çocuk
432,,Kara Ayı Yavrusu
433,,Kaşif
434,Izgara Tüccarı,Maduka
435,,Leah
436,,Mio
437,,Lejyoner Subayı
438,,İşçi
439,Ozan,Asiren
440,Işınlayıcı,@409
441,Ay Işığı Lejyonerleri'nin Lideri,Hardin
442,@402,Theodore
443,Bohçacı Kervanı Lideri,Felicia
444,@402,Russel
445,Rehber,Chau
446,@445,Lyncia
447,@445,Seikan
448,Kişisel Depo Muhafızı,Gattuso
449,미용사,Katrina
450,Mutluluk Veren,Lena
451,Kırmızı Zarf,Ada
452,Işınlayıcı,Agatha
453,@452,Catherine
454,@452,Grace
455,@452,Hanna
456,Klan Muhafızı,Hubert
457,Şato Muhafızı,James
458,Kale Kuşatması Muhafızı,Harry
459,Klan Meydanı Muhafızı,Jasmine
460,Klan Müzayedecisi,Courtney
461,Müzayedeci,Dario
462,@401,Dixie
463,캐릭터 창고지기,Edith
464,Savaş Alanı Muhafızı,Dustin
550,,Ay Işığı Lejyoneri
551,,@550
552,,Ay Işığı Lejyoneri Subayı
553,,Ay Işığı Lejyoneri Bilgini
554,,@553
555,,@553
556,,Kervan Üyesi
557,,@556
558,,@556
559,,Gludio Elçisi
560,,@559
561,,@559
562,,Dion Elçisi
563,,@562
564,,@562
565,,Giran Elçisi
566,,@565
567,,@565
568,,Oren Elçisi
569,,@568
570,,@568
571,,Innadril Elçisi
572,,@571
573,,@571
574,,Aden Elçisi
575,,@574
576,,@574
577,,Elmor Elçisi
578,,@577
579,,@577
580,,Gracia Elçisi
581,,@580
582,,@580
583,,Elf Elçisi
584,,@583
585,,@583
586,,Kara Elf Elçisi
587,,Üyenin Ailesi
588,,@587
589,,@587
590,,@587
591,,@587
1001,Yetenek test etmek için,Growler
1101,Savaşı dengelemek için,Svy. 1 Growler
1102,@1101,Svy. 2 Growler
1103,@1101,Svy. 3 Growler
1104,@1101,Svy. 4 Growler
1105,@1101,Svy. 5 Growler
1106,@1101,Svy. 6 Growler
1107,@1101,Svy. 7 Growler
1108,@1101,Svy. 8 Growler
1109,@1101,Svy. 9 Growler
1110,@1101,Svy. 10 Growler
1111,@1101,Svy. 11 Growler
1112,@1101,Svy. 12 Growler
1113,@1101,Svy. 13 Growler
1114,@1101,Svy. 14 Growler
1115,@1101,Svy. 15 Growler
1116,@1101,Svy. 16 Growler
1117,@1101,Svy. 17 Growler
1118,@1101,Svy. 18 Growler
1119,@1101,Svy. 19 Growler
1120,@1101,Svy. 20 Growler
1121,@1101,Svy. 21 Growler
1122,@1101,Svy. 22 Growler
1123,@1101,Svy. 23 Growler
1124,@1101,Svy. 24 Growler
1125,@1101,Svy. 25 Growler
1126,@1101,Svy. 26 Growler
1127,@1101,Svy. 27 Growler
1128,@1101,Svy. 28 Growler
1129,@1101,Svy. 29 Growler
1130,@1101,Svy. 30 Growler
1131,@1101,Svy. 31 Growler
1132,@1101,Svy. 32 Growler
1133,@1101,Svy. 33 Growler
1134,@1101,Svy. 34 Growler
1135,@1101,Svy. 35 Growler
1136,@1101,Svy. 36 Growler
1137,@1101,Svy. 37 Growler
1138,@1101,Svy. 38 Growler
1139,@1101,Svy. 39 Growler
1140,@1101,Svy. 40 Growler
1141,@1101,Svy. 41 Growler
1142,@1101,Svy. 42 Growler
1143,@1101,Svy. 43 Growler
1144,@1101,Svy. 44 Growler
1145,@1101,Svy. 45 Growler
1146,@1101,Svy. 46 Growler
1147,@1101,Svy. 47 Growler
1148,@1101,Svy. 48 Growler
1149,@1101,Svy. 49 Growler
1150,@1101,Svy. 50 Growler
1151,@1101,Svy. 51 Growler
1152,@1101,Svy. 52 Growler
1153,@1101,Svy. 53 Growler
1154,@1101,Svy. 54 Growler
1155,@1101,Svy. 55 Growler
1156,@1101,Svy. 56 Growler
1157,@1101,Svy. 57 Growler
1158,@1101,Svy. 58 Growler
1159,@1101,Svy. 59 Growler
1160,@1101,Svy. 60 Growler
1161,@1101,Svy. 61 Growler
1162,@1101,Svy. 62 Growler
1163,@1101,Svy. 63 Growler
1164,@1101,Svy. 64 Growler
1165,@1101,Svy. 65 Growler
1166,@1101,Svy. 66 Growler
1167,@1101,Svy. 67 Growler
1168,@1101,Svy. 68 Growler
1169,@1101,Svy. 69 Growler
1170,@1101,Svy. 70 Growler
1171,@1101,Svy. 71 Growler
1172,@1101,Svy. 72 Growler
1173,@1101,Svy. 73 Growler
1174,@1101,Svy. 74 Growler
1175,@1101,Svy. 75 Growler
1176,@1101,Svy. 76 Growler
1177,@1101,Svy. 77 Growler
1178,@1101,Svy. 78 Growler
1179,@1101,Svy. 79 Growler
1180,@1101,Svy. 80 Growler
1181,@1101,Svy. 81 Growler
1182,@1101,Svy. 82 Growler
1183,@1101,Svy. 83 Growler
1184,@1101,Svy. 84 Growler
1185,@1101,Svy. 85 Growler
1186,@1101,Svy. 86 Growler
1187,@1101,Svy. 87 Growler
1188,@1101,Svy. 88 Growler
1189,@1101,Svy. 89 Growler
1190,@1101,Svy. 90 Growler
1191,@1101,Svy. 91 Growler
1192,@1101,Svy. 92 Growler
1193,@1101,Svy. 93 Growler
1194,@1101,Svy. 94 Growler
1195,@1101,Svy. 95 Growler
1196,@1101,Svy. 96 Growler
1197,@1101,Svy. 97 Growler
1198,@1101,Svy. 98 Growler
1199,@1101,Svy. 99 Growler
1200,@1101,Svy. 100 Growler
1201,@1101,@1101
1202,@1101,@1102
1203,@1101,@1103
1204,@1101,@1104
1205,@1101,@1105
1206,@1101,@1106
1207,@1101,@1107
1208,@1101,@1108
1209,@1101,@1109
1210,@1101,@1110
1211,@1101,@1111
1212,@1101,@1112
1213,@1101,@1113
1214,@1101,@1114
1215,@1101,@1115
1216,@1101,@1116
1217,@1101,@1117
1218,@1101,@1118
1219,@1101,@1119
1220,@1101,@1120
1221,@1101,@1121
1222,@1101,@1122
1223,@1101,@1123
1224,@1101,@1124
1225,@1101,@1125
1226,@1101,@1126
1227,@1101,@1127
1228,@1101,@1128
1229,@1101,@1129
1230,@1101,@1130
1231,@1101,@1131
1232,@1101,@1132
1233,@1101,@1133
1234,@1101,@1134
1235,@1101,@1135
1236,@1101,@1136
1237,@1101,@1137
1238,@1101,@1138
1239,@1101,@1139
1240,@1101,@1140
1241,@1101,@1141
1242,@1101,@1142
1243,@1101,@1143
1244,@1101,@1144
1245,@1101,@1145
1246,@1101,@1146
1247,@1101,@1147
1248,@1101,@1148
1249,@1101,@1149
1250,@1101,@1150
1251,@1101,@1151
1252,@1101,@1152
1253,@1101,@1153
1254,@1101,@1154
1255,@1101,@1155
1256,@1101,@1156
1257,@1101,@1157
1258,@1101,@1158
1259,@1101,@1159
1260,@1101,@1160
1261,@1101,@1161
1262,@1101,@1162
1263,@1101,@1163
1264,@1101,@1164
1265,@1101,@1165
1266,@1101,@1166
1267,@1101,@1167
1268,@1101,@1168
1269,@1101,@1169
1270,@1101,@1170
1271,@1101,@1171
1272,@1101,@1172
1273,@1101,@1173
1274,@1101,@1174
1275,@1101,@1175
1276,@1101,@1176
1277,@1101,@1177
1278,@1101,@1178
1279,@1101,@1179
1280,@1101,@1180
1281,@1101,@1181
1282,@1101,@1182
1283,@1101,@1183
1284,@1101,@1184
1285,@1101,@1185
1286,@1101,@1186
1287,@1101,@1187
1288,@1101,@1188
1289,@1101,@1189
1290,@1101,@1190
1291,@1101,@1191
1292,@1101,@1192
1293,@1101,@1193
1294,@1101,@1194
1295,@1101,@1195
1296,@1101,@1196
1297,@1101,@1197
1298,@1101,@1198
1299,@1101,@1199
1300,@1101,@1200
1301,@1101,@1101
1302,@1101,@1102
1303,@1101,@1103
1304,@1101,@1104
1305,@1101,@1105
1306,@1101,@1106
1307,@1101,@1107
1308,@1101,@1108
1309,@1101,@1109
1310,@1101,@1110
1311,@1101,@1111
1312,@1101,@1112
1313,@1101,@1113
1314,@1101,@1114
