Id,Adventure,Difficulty
1,Tümü,Tümü
2,Elit Zindan,Elf Harabeleri Kat 1
3,@2,Elf Harabeleri Kat 2
4,@2,Karınca Yuvası Dehliz 1
5,@2,Karınca Yuvası Dehliz 2
6,@2,Cruma Kulesi Kat 2
7,@2,Cruma Kulesi Kat 3
8,@2,Fildişi Kulesi Dehliz 1
9,@2,Fildişi Kulesi Dehliz 2
10,Botanik Zindanı,Botanik Zindanı
11,Ekipman Zindanı,Kolay
12,@11,Normal
13,@11,Zor
14,@11,Çok Zor
15,Binek Zindanı,@11
16,@15,@12
17,@15,@13
101,Akın Baş Düşmanı,Hayalet Çoban
102,@101,Zodyak
103,@101,Kyrios
104,@101,Gümüşsakal
105,@101,Vapar
106,@101,Kazir
107,@101,Flagon
108,@101,Sina
109,@101,Amadeus
111,@101,Stenoa
112,@101,Marsha
118,@2,Fildişi Kulesi Dehliz 3
124,Zaman Yarığı,Delilik Sunağı - Kolay
125,@124,Delilik Sunağı - Normal
129,@124,Kan Kontesi'nin Yatak Odası - Kolay
130,@124,Kan Kontesi'nin Yatak Odası - Normal
140,Nadir Canavar Çağırma Taşı Zindanı,Konuşkan Ada
141,@140,Gludio
142,@140,Dion
143,@140,Giran
144,@140,Oren
145,Baş Düşman Çağırma Taşı Zindanı,@141
146,@145,@142
147,@145,@143
148,@145,@144
