Name,AlarmDesc
Yakında,
Etkinlik,Özel Fırsat Dükkanı açıldı.
Yakında,
Kuvvetlendirme I,İndirimdeki eşyalara göz at.
Yakında,
Binek,Özel Fırsat Dükkanı açıldı.
Yakında,
Kuvvetlendirme II,İndirimdeki eşyalara göz at.
Önerilen,
Şans Sandıkları,
Tek Kullanımlıklar,
Parşömen,
Elmas,
Adena,
Arkadaşlık Puanı,
Topaz,
Sadakat Puanı,
Yol Arkadaşı I,
Yol Arkadaşı II,
Yol Arkadaşı III,
Geldim Gördüm Yendim I,
Geldim Gördüm Yendim II,
Elmas I,
Giriş Elması,
Adena I,
Adena II,
Güncelleme Kutlaması,
Maceracı Paketi,
Ekipman Paketi,
Karakterin Paketi,
Klan Paketi,
Binek Paketi,
Hatıra,
