ItemGrade,EquipmentType,Level,RewardType1,MinRewardCount1
1,1,0,4,3
1,1,1,4,4
1,1,2,4,5
1,1,3,4,6
1,1,4,4,7
1,1,5,4,8
1,1,6,4,9
1,1,7,4,10
1,1,8,4,11
1,1,9,4,13
1,1,10,4,15
1,1,11,4,17
1,1,12,4,19
1,1,13,4,21
1,1,14,4,24
1,1,15,4,27
1,1,16,4,30
1,1,17,4,33
1,1,18,4,37
1,1,19,4,41
1,1,20,4,46
1,2,0,4,3
1,2,1,4,4
1,2,2,4,5
1,2,3,4,6
1,2,4,4,7
1,2,5,4,8
1,2,6,4,9
1,2,7,4,10
1,2,8,4,11
1,2,9,4,13
1,2,10,4,15
1,2,11,4,17
1,2,12,4,19
1,2,13,4,21
1,2,14,4,24
1,2,15,4,27
1,2,16,4,30
1,2,17,4,33
1,2,18,4,37
1,2,19,4,41
1,2,20,4,46
1,6,0,4,1
1,6,1,4,2
1,6,2,4,3
1,6,3,4,4
1,6,4,4,5
1,6,5,4,6
1,6,6,4,7
1,6,7,4,8
1,6,8,4,9
1,6,9,4,10
1,6,10,4,11
1,6,11,4,13
1,6,12,4,15
1,6,13,4,17
1,6,14,4,19
1,6,15,4,21
1,6,16,4,24
1,6,17,4,27
1,6,18,4,30
1,6,19,4,33
1,6,20,4,37
1,8,0,4,1
1,8,1,4,2
1,8,2,4,3
1,8,3,4,4
1,8,4,4,5
1,8,5,4,6
1,8,6,4,7
1,8,7,4,8
1,8,8,4,9
1,8,9,4,10
1,8,10,4,11
1,8,11,4,13
1,8,12,4,15
1,8,13,4,17
1,8,14,4,19
1,8,15,4,21
1,8,16,4,24
1,8,17,4,27
1,8,18,4,30
1,8,19,4,33
1,8,20,4,37
1,0,0,4,2
1,0,1,4,3
1,0,2,4,4
1,0,3,4,5
1,0,4,4,6
1,0,5,4,7
1,0,6,4,8
1,0,7,4,9
1,0,8,4,10
1,0,9,4,11
1,0,10,4,13
1,0,11,4,15
1,0,12,4,17
1,0,13,4,19
1,0,14,4,21
1,0,15,4,24
1,0,16,4,27
1,0,17,4,30
1,0,18,4,33
1,0,19,4,37
1,0,20,4,41
1,9,0,4,3
1,9,1,4,4
1,9,2,4,5
1,9,3,4,6
1,9,4,4,7
1,9,5,4,8
1,9,6,4,9
1,9,7,4,10
1,9,8,4,11
1,9,9,4,13
1,9,10,4,15
1,9,11,4,17
1,9,12,4,19
1,9,13,4,21
1,9,14,4,24
1,9,15,4,27
1,9,16,4,30
1,9,17,4,33
1,9,18,4,37
1,9,19,4,41
1,9,20,4,46
1,4,0,4,3
1,4,1,4,4
1,4,2,4,5
1,4,3,4,6
1,4,4,4,7
1,4,5,4,8
1,4,6,4,9
1,4,7,4,10
1,4,8,4,11
1,4,9,4,13
1,4,10,4,15
1,4,11,4,17
1,4,12,4,19
1,4,13,4,21
1,4,14,4,24
1,4,15,4,27
1,4,16,4,30
1,4,17,4,33
1,4,18,4,37
1,4,19,4,41
1,4,20,4,46
1,7,0,4,3
1,7,1,4,4
1,7,2,4,5
